location,day_of_week,is_payday,is_holiday,base_demand,demand_forecast
Windhoek_CBD,3,0,0,150,146
Oshakati,3,0,0,80,60
Windhoek_CBD,1,0,0,150,137
Windhoek_CBD,0,0,0,150,133
Walvis_Bay,1,0,0,100,116
Oshakati,0,0,0,80,70
Oshakati,1,0,0,80,83
Oshakati,5,0,0,80,81
Katima_Mulilo,6,1,0,60,188
Rundu,2,0,0,70,63
Windhoek_CBD,6,0,0,150,162
Walvis_Bay,4,0,0,100,106
Rundu,6,0,0,70,89
Rundu,1,0,0,70,43
Rundu,2,0,0,70,62
Rundu,1,0,0,70,72
Windhoek_CBD,2,0,0,150,147
Katima_Mulilo,3,0,0,60,59
Katima_Mulilo,1,0,0,60,79
Walvis_Bay,3,0,0,100,113
Rundu,4,0,1,70,94
Windhoek_CBD,5,0,0,150,201
Oshakati,3,0,0,80,78
Katima_Mulilo,4,0,0,60,64
Windhoek_CBD,5,0,0,150,178
Katima_Mulilo,5,0,0,60,75
Oshakati,1,0,0,80,83
Rundu,5,0,0,70,115
Windhoek_CBD,6,0,0,150,175
Katima_Mulilo,4,0,0,60,67
Walvis_Bay,2,0,0,100,121
Katima_Mulilo,6,1,0,60,175
Windhoek_CBD,4,0,0,150,137
Walvis_Bay,1,0,1,100,167
Rundu,4,0,0,70,51
Walvis_Bay,6,0,0,100,139
Windhoek_CBD,2,0,0,150,132
Windhoek_CBD,0,0,0,150,137
Rundu,3,0,0,70,76
Katima_Mulilo,4,0,0,60,39
Oshakati,2,0,0,80,87
Rundu,3,0,0,70,85
Katima_Mulilo,2,1,0,60,159
Rundu,4,0,0,70,61
Walvis_Bay,4,0,0,100,76
Katima_Mulilo,2,0,0,60,55
Windhoek_CBD,2,1,0,150,238
Walvis_Bay,2,0,0,100,79
Windhoek_CBD,0,0,0,150,143
Windhoek_CBD,4,0,0,150,156
Rundu,6,0,0,70,78
Windhoek_CBD,0,1,0,150,249
Windhoek_CBD,2,0,0,150,177
Oshakati,5,0,0,80,106
Walvis_Bay,4,0,0,100,103
Oshakati,2,0,0,80,75
Oshakati,2,0,0,80,83
Katima_Mulilo,3,0,0,60,66
Rundu,5,0,0,70,89
Windhoek_CBD,4,0,0,150,165
Katima_Mulilo,6,0,0,60,69
Katima_Mulilo,2,0,0,60,86
Oshakati,5,0,0,80,167
Rundu,6,0,0,70,119
Rundu,4,0,0,70,78
Windhoek_CBD,2,1,0,150,241
Windhoek_CBD,5,0,0,150,182
Walvis_Bay,1,0,0,100,103
Windhoek_CBD,2,0,0,150,173
Katima_Mulilo,3,0,1,60,138
Rundu,4,0,0,70,66
Oshakati,5,0,0,80,90
Katima_Mulilo,5,1,0,60,187
Katima_Mulilo,6,0,0,60,92
Windhoek_CBD,0,1,0,150,253
Windhoek_CBD,4,0,0,150,149
Walvis_Bay,5,0,0,100,102
Oshakati,6,0,0,80,121
Walvis_Bay,6,1,0,100,229
Oshakati,1,0,0,80,102
Oshakati,0,0,0,80,80
Oshakati,2,0,0,80,75
Katima_Mulilo,5,0,0,60,105
Katima_Mulilo,1,0,0,60,69
Katima_Mulilo,6,0,0,60,84
Katima_Mulilo,0,0,0,60,34
Oshakati,2,0,0,80,68
Rundu,5,0,0,70,100
Katima_Mulilo,5,0,0,60,66
Katima_Mulilo,2,1,0,60,148
Oshakati,3,0,0,80,67
Walvis_Bay,6,0,0,100,121
Rundu,3,0,0,70,52
Rundu,3,0,0,70,90
Rundu,3,0,0,70,79
Katima_Mulilo,4,0,0,60,50
Oshakati,0,0,0,80,73
Walvis_Bay,2,0,0,100,96
Katima_Mulilo,3,0,0,60,61
Walvis_Bay,2,0,0,100,95
Walvis_Bay,0,0,0,100,121
Rundu,6,0,0,70,101
Katima_Mulilo,0,0,0,60,57
Rundu,2,0,0,70,88
Rundu,5,0,0,70,94
Katima_Mulilo,0,0,0,60,45
Rundu,0,0,0,70,56
Rundu,4,0,0,70,46
Katima_Mulilo,3,0,0,60,43
Katima_Mulilo,2,0,0,60,70
Windhoek_CBD,6,0,0,150,190
Rundu,3,0,0,70,80
Windhoek_CBD,3,0,0,150,149
Oshakati,0,0,0,80,80
Katima_Mulilo,3,1,0,60,165
Walvis_Bay,5,0,0,100,123
Walvis_Bay,0,0,0,100,108
Oshakati,4,1,0,80,193
Rundu,4,0,0,70,78
Oshakati,3,0,0,80,93
Oshakati,3,0,0,80,75
Katima_Mulilo,6,0,0,60,84
Katima_Mulilo,6,0,0,60,55
Windhoek_CBD,2,1,0,150,253
Walvis_Bay,3,1,0,100,218
Rundu,6,0,0,70,90
Oshakati,1,0,0,80,109
Katima_Mulilo,0,0,0,60,67
Windhoek_CBD,1,0,0,150,155
Windhoek_CBD,0,0,0,150,172
Rundu,1,1,0,70,181
Walvis_Bay,3,0,0,100,100
Katima_Mulilo,3,0,0,60,53
Rundu,3,0,0,70,62
Windhoek_CBD,0,0,0,150,148
Katima_Mulilo,0,0,0,60,45
Katima_Mulilo,4,0,0,60,47
Windhoek_CBD,4,0,0,150,161
Rundu,2,0,0,70,61
Katima_Mulilo,6,0,0,60,90
Windhoek_CBD,1,0,0,150,156
Walvis_Bay,1,0,0,100,104
Oshakati,6,0,0,80,97
Oshakati,2,0,0,80,85
Windhoek_CBD,3,0,0,150,161
Rundu,1,1,0,70,176
Katima_Mulilo,1,0,0,60,70
Katima_Mulilo,0,0,0,60,40
Walvis_Bay,6,0,0,100,136
Oshakati,4,0,0,80,56
Rundu,1,0,0,70,77
Oshakati,2,0,0,80,78
Rundu,3,0,0,70,62
Walvis_Bay,0,0,0,100,68
Rundu,3,0,0,70,76
Windhoek_CBD,3,0,0,150,156
Windhoek_CBD,5,0,0,150,200
Walvis_Bay,5,0,0,100,120
Windhoek_CBD,0,0,0,150,140
Windhoek_CBD,4,0,0,150,178
Windhoek_CBD,1,0,0,150,140
Oshakati,6,0,0,80,116
Rundu,0,0,0,70,47
Windhoek_CBD,5,0,1,150,222
Katima_Mulilo,3,0,0,60,47
Windhoek_CBD,2,0,0,150,131
Rundu,4,0,0,70,72
Katima_Mulilo,6,0,0,60,111
Walvis_Bay,0,0,0,100,108
Rundu,6,0,0,70,101
Windhoek_CBD,6,1,0,150,264
Oshakati,4,0,0,80,62
Rundu,0,0,0,70,54
Oshakati,6,0,0,80,118
Rundu,0,0,0,70,49
Windhoek_CBD,4,0,0,150,166
Rundu,6,0,0,70,101
Katima_Mulilo,6,0,0,60,89
Katima_Mulilo,4,0,0,60,52
Rundu,1,0,0,70,51
Windhoek_CBD,2,0,0,150,167
Oshakati,2,0,0,80,82
Windhoek_CBD,4,0,0,150,136
Rundu,6,0,0,70,115
Rundu,6,0,0,70,93
Oshakati,2,0,1,80,143
Oshakati,5,0,0,80,120
Rundu,3,1,0,70,167
Oshakati,6,0,0,80,114
Walvis_Bay,2,0,0,100,130
Katima_Mulilo,1,0,0,60,68
Rundu,0,0,0,70,77
Oshakati,1,0,1,80,111
Windhoek_CBD,4,0,1,150,181
Katima_Mulilo,1,1,0,60,141
Rundu,1,0,0,70,48
Oshakati,6,0,0,80,128
Rundu,4,0,1,70,115
Katima_Mulilo,5,0,0,60,74
Rundu,6,0,0,70,88
Windhoek_CBD,0,0,0,150,154
Katima_Mulilo,4,1,0,60,168
Walvis_Bay,0,1,0,100,199
Walvis_Bay,5,0,0,100,133
Katima_Mulilo,5,0,0,60,94
Rundu,1,1,0,70,153
Walvis_Bay,6,0,0,100,145
Walvis_Bay,4,0,0,100,72
Walvis_Bay,5,0,0,100,157
Katima_Mulilo,6,0,0,60,72
Katima_Mulilo,3,0,0,60,65
Rundu,6,1,0,70,183
Oshakati,6,0,0,80,108
Windhoek_CBD,5,0,0,150,167
Walvis_Bay,3,0,0,100,95
Oshakati,6,0,0,80,81
Katima_Mulilo,0,0,0,60,61
Walvis_Bay,5,1,1,100,288
Oshakati,0,1,0,80,190
Windhoek_CBD,5,0,0,150,193
Katima_Mulilo,4,0,0,60,59
Katima_Mulilo,6,0,0,60,98
Walvis_Bay,3,0,0,100,98
Oshakati,3,0,0,80,75
Rundu,2,0,0,70,52
Oshakati,5,0,0,80,117
Walvis_Bay,4,1,0,100,214
Walvis_Bay,3,1,0,100,204
Windhoek_CBD,2,0,0,150,147
Katima_Mulilo,3,0,0,60,81
Windhoek_CBD,3,0,0,150,130
Windhoek_CBD,2,0,0,150,138
Katima_Mulilo,3,0,0,60,68
Walvis_Bay,1,0,0,100,129
Windhoek_CBD,5,0,0,150,187
Walvis_Bay,2,0,0,100,98
Walvis_Bay,6,0,0,100,124
Rundu,1,0,0,70,74
Windhoek_CBD,0,1,0,150,250
Oshakati,5,0,0,80,112
Rundu,3,0,0,70,63
Windhoek_CBD,2,0,0,150,203
Walvis_Bay,3,0,0,100,111
Rundu,1,0,1,70,141
Rundu,2,0,1,70,133
Walvis_Bay,0,0,0,100,91
Rundu,4,0,0,70,58
Oshakati,4,0,0,80,74
Oshakati,5,0,0,80,126
Katima_Mulilo,1,0,0,60,49
Windhoek_CBD,6,0,0,150,162
Rundu,1,0,0,70,54
Walvis_Bay,2,0,0,100,92
Windhoek_CBD,1,0,0,150,145
Rundu,2,0,0,70,91
Windhoek_CBD,0,0,0,150,165
Walvis_Bay,1,0,0,100,68
Rundu,3,0,0,70,67
Rundu,5,1,0,70,188
Walvis_Bay,4,0,1,100,146
Walvis_Bay,1,0,0,100,108
Katima_Mulilo,5,0,0,60,96
Katima_Mulilo,1,0,0,60,63
Windhoek_CBD,2,1,0,150,236
Oshakati,6,1,0,80,208
Walvis_Bay,3,0,0,100,95
Walvis_Bay,4,0,0,100,102
Rundu,5,0,0,70,105
Rundu,0,1,0,70,177
Oshakati,5,0,0,80,101
Rundu,4,0,0,70,75
Walvis_Bay,6,1,0,100,224
Windhoek_CBD,5,0,0,150,148
Katima_Mulilo,3,1,0,60,151
Windhoek_CBD,1,0,0,150,136
Katima_Mulilo,1,0,0,60,27
Katima_Mulilo,0,0,0,60,60
Katima_Mulilo,6,0,0,60,94
Oshakati,5,0,0,80,131
Rundu,0,1,0,70,191
Oshakati,6,0,0,80,104
Rundu,5,0,0,70,87
Walvis_Bay,6,0,0,100,138
Rundu,5,1,0,70,185
Katima_Mulilo,3,0,0,60,40
Oshakati,5,0,0,80,92
Windhoek_CBD,4,0,0,150,149
Windhoek_CBD,3,1,0,150,234
Oshakati,5,0,0,80,130
Walvis_Bay,2,0,0,100,74
Rundu,2,0,0,70,56
Katima_Mulilo,4,1,0,60,183
Rundu,1,0,0,70,57
Walvis_Bay,3,1,0,100,195
Katima_Mulilo,3,0,0,60,61
Rundu,3,0,0,70,90
Walvis_Bay,5,1,0,100,261
Rundu,2,1,0,70,169
Walvis_Bay,1,0,1,100,130
Walvis_Bay,3,0,0,100,125
Windhoek_CBD,5,1,0,150,290
Oshakati,6,1,0,80,195
Katima_Mulilo,4,0,0,60,54
Windhoek_CBD,1,0,0,150,155
Katima_Mulilo,1,0,0,60,70
Rundu,2,0,0,70,94
Katima_Mulilo,2,1,0,60,155
Windhoek_CBD,6,0,0,150,181
Windhoek_CBD,4,1,0,150,253
Windhoek_CBD,5,0,0,150,159
Katima_Mulilo,2,0,0,60,58
Rundu,0,0,0,70,89
Walvis_Bay,2,1,0,100,215
Oshakati,4,0,0,80,73
Walvis_Bay,0,0,0,100,85
Windhoek_CBD,4,0,0,150,164
Walvis_Bay,4,0,0,100,77
Walvis_Bay,4,0,0,100,118
Katima_Mulilo,0,0,0,60,54
Oshakati,6,0,0,80,102
Windhoek_CBD,5,0,0,150,208
Walvis_Bay,3,0,0,100,80
Rundu,1,0,0,70,88
Rundu,4,0,0,70,44
Walvis_Bay,0,0,0,100,115
Oshakati,2,0,0,80,92
Walvis_Bay,6,1,0,100,221
Katima_Mulilo,0,0,0,60,69
Rundu,0,0,0,70,58
Katima_Mulilo,0,0,0,60,52
Walvis_Bay,4,1,0,100,209
Oshakati,1,0,0,80,86
Rundu,6,0,0,70,102
Windhoek_CBD,3,0,1,150,197
Walvis_Bay,0,0,0,100,94
Katima_Mulilo,3,1,0,60,167
Katima_Mulilo,4,1,0,60,180
Rundu,4,0,0,70,58
Katima_Mulilo,2,0,0,60,73
Katima_Mulilo,2,0,0,60,42
Oshakati,5,0,0,80,94
Walvis_Bay,3,0,0,100,123
Rundu,6,0,0,70,93
Rundu,6,0,0,70,99
Katima_Mulilo,1,0,0,60,59
Oshakati,4,0,0,80,78
Katima_Mulilo,4,0,0,60,58
Oshakati,5,1,0,80,221
Walvis_Bay,5,1,0,100,240
Katima_Mulilo,1,0,0,60,66
Oshakati,0,0,0,80,89
Rundu,5,0,0,70,100
Rundu,5,0,0,70,107
Walvis_Bay,2,0,0,100,114
Walvis_Bay,3,1,0,100,223
Walvis_Bay,2,0,0,100,96
Windhoek_CBD,1,0,0,150,169
Windhoek_CBD,4,1,0,150,248
Walvis_Bay,5,0,0,100,124
Windhoek_CBD,1,1,0,150,251
Rundu,3,0,0,70,78
Walvis_Bay,4,0,0,100,102
Oshakati,5,0,0,80,84
Katima_Mulilo,4,0,0,60,51
Windhoek_CBD,6,0,0,150,188
Rundu,2,0,1,70,109
Walvis_Bay,3,0,0,100,110
Windhoek_CBD,2,0,0,150,144
Katima_Mulilo,5,0,0,60,109
Katima_Mulilo,6,1,0,60,205
Windhoek_CBD,0,0,0,150,150
Rundu,6,0,0,70,140
Rundu,0,0,0,70,65
Windhoek_CBD,4,0,0,150,168
Oshakati,5,1,0,80,211
Rundu,6,0,0,70,72
Walvis_Bay,2,0,0,100,103
Rundu,2,1,0,70,171
Oshakati,3,0,0,80,60
Katima_Mulilo,4,0,0,60,65
Windhoek_CBD,4,0,0,150,150
Windhoek_CBD,3,0,0,150,123
Rundu,0,1,0,70,173
Windhoek_CBD,2,0,0,150,135
Oshakati,0,0,0,80,100
Windhoek_CBD,1,0,0,150,132
Rundu,6,0,0,70,103
Walvis_Bay,6,0,0,100,145
Windhoek_CBD,0,1,0,150,223
Rundu,6,0,0,70,82
Windhoek_CBD,4,1,0,150,259
Oshakati,2,0,0,80,81
Rundu,2,0,0,70,91
Windhoek_CBD,5,0,1,150,232
Oshakati,0,0,0,80,93
Windhoek_CBD,4,0,0,150,160
Oshakati,2,0,1,80,100
Walvis_Bay,6,0,0,100,124
Katima_Mulilo,3,0,0,60,49
Rundu,4,0,0,70,59
Windhoek_CBD,0,1,0,150,244
Walvis_Bay,0,0,0,100,105
Rundu,1,0,0,70,102
Rundu,2,0,0,70,62
Rundu,4,1,0,70,183
Windhoek_CBD,2,0,0,150,153
Rundu,3,0,0,70,60
Oshakati,2,0,1,80,158
Walvis_Bay,4,0,0,100,119
Windhoek_CBD,2,0,0,150,151
Rundu,1,0,0,70,61
Walvis_Bay,5,0,0,100,124
Katima_Mulilo,0,0,0,60,69
Windhoek_CBD,3,0,0,150,140
Katima_Mulilo,6,0,0,60,69
Katima_Mulilo,6,0,0,60,98
Windhoek_CBD,6,0,0,150,180
Oshakati,0,0,0,80,84
Katima_Mulilo,5,0,0,60,87
Windhoek_CBD,3,1,0,150,234
Windhoek_CBD,5,0,0,150,178
Oshakati,5,0,0,80,120
Oshakati,5,0,0,80,95
Oshakati,6,1,0,80,196
Katima_Mulilo,3,0,0,60,48
Walvis_Bay,3,0,0,100,89
Rundu,5,0,0,70,111
Walvis_Bay,4,0,0,100,101
Walvis_Bay,6,0,0,100,114
Rundu,6,0,0,70,118
Oshakati,5,1,0,80,181
Oshakati,6,0,0,80,110
Rundu,5,0,0,70,89
Rundu,6,1,0,70,191
Walvis_Bay,2,0,0,100,99
Katima_Mulilo,3,0,0,60,38
Katima_Mulilo,1,0,1,60,96
Windhoek_CBD,4,1,0,150,232
Oshakati,3,0,0,80,112
Rundu,1,0,0,70,84
Walvis_Bay,1,1,0,100,196
Rundu,0,1,0,70,200
Katima_Mulilo,4,0,0,60,55
Katima_Mulilo,5,0,0,60,81
Katima_Mulilo,0,0,0,60,67
Walvis_Bay,5,1,0,100,244
Katima_Mulilo,0,0,0,60,62
Katima_Mulilo,2,0,0,60,65
Walvis_Bay,4,0,0,100,76
Rundu,6,0,0,70,103
Oshakati,4,0,0,80,86
Rundu,6,0,0,70,116
Windhoek_CBD,0,0,0,150,164
Walvis_Bay,3,0,0,100,80
Windhoek_CBD,4,0,1,150,189
Rundu,6,0,0,70,108
Windhoek_CBD,6,0,0,150,190
Walvis_Bay,1,0,0,100,99
Windhoek_CBD,1,1,0,150,269
Oshakati,2,0,0,80,95
Windhoek_CBD,0,0,0,150,153
Rundu,4,0,1,70,142
Oshakati,3,0,0,80,80
Walvis_Bay,6,1,0,100,202
Walvis_Bay,4,0,0,100,86
Walvis_Bay,5,0,0,100,130
Oshakati,2,0,0,80,76
Windhoek_CBD,0,0,0,150,140
Windhoek_CBD,5,0,0,150,198
Windhoek_CBD,6,1,0,150,279
Oshakati,5,0,0,80,122
Rundu,4,0,0,70,88
Katima_Mulilo,4,1,0,60,131
Walvis_Bay,4,1,0,100,202
Walvis_Bay,6,0,0,100,120
Walvis_Bay,6,0,0,100,116
Katima_Mulilo,4,1,0,60,181
Rundu,4,0,1,70,122
Windhoek_CBD,6,0,0,150,171
Oshakati,3,1,0,80,180
Rundu,3,0,0,70,75
Walvis_Bay,1,1,0,100,225
Katima_Mulilo,0,1,0,60,148
Rundu,3,0,0,70,70
Katima_Mulilo,2,0,0,60,73
Katima_Mulilo,3,0,0,60,86
Walvis_Bay,5,0,0,100,129
Windhoek_CBD,1,0,0,150,157
Windhoek_CBD,3,0,0,150,164
Rundu,2,0,0,70,66
Katima_Mulilo,2,0,0,60,38
Windhoek_CBD,4,0,0,150,149
Windhoek_CBD,2,0,0,150,149
Walvis_Bay,0,0,0,100,70
Oshakati,1,0,0,80,72
Oshakati,4,0,0,80,94
Windhoek_CBD,3,0,0,150,141
Rundu,6,1,0,70,204
Walvis_Bay,4,1,0,100,219
Windhoek_CBD,3,0,0,150,171
Oshakati,1,0,0,80,75
Rundu,1,0,0,70,81
Katima_Mulilo,5,0,0,60,89
Walvis_Bay,5,0,1,100,162
Oshakati,0,0,0,80,66
Oshakati,2,1,0,80,199
Katima_Mulilo,2,1,0,60,181
Oshakati,0,1,0,80,189
Windhoek_CBD,2,1,0,150,232
Rundu,6,0,0,70,98
Rundu,3,1,0,70,170
Rundu,1,1,0,70,171
Rundu,2,0,0,70,65
Katima_Mulilo,6,1,0,60,188
Windhoek_CBD,1,0,0,150,152
Katima_Mulilo,6,0,0,60,95
Windhoek_CBD,4,0,0,150,142
Oshakati,2,0,0,80,70
Windhoek_CBD,2,1,0,150,282
Katima_Mulilo,6,0,0,60,107
Katima_Mulilo,3,0,0,60,69
Rundu,6,1,0,70,180
Oshakati,0,0,0,80,80
Oshakati,5,0,0,80,102
Katima_Mulilo,0,0,0,60,64
Oshakati,4,0,0,80,59
Windhoek_CBD,2,0,0,150,145
Rundu,0,1,0,70,153
Oshakati,5,0,0,80,112
Windhoek_CBD,4,0,0,150,142
Windhoek_CBD,4,1,0,150,245
Katima_Mulilo,0,1,0,60,151
Rundu,1,0,0,70,67
Windhoek_CBD,2,0,1,150,233
Rundu,2,0,0,70,52
Katima_Mulilo,2,0,0,60,68
Katima_Mulilo,3,0,0,60,75
Oshakati,3,0,0,80,87
Windhoek_CBD,5,0,0,150,206
Oshakati,6,0,0,80,151
Windhoek_CBD,4,0,0,150,150
Oshakati,4,1,0,80,161
Oshakati,6,1,0,80,210
Katima_Mulilo,1,1,0,60,143
Katima_Mulilo,2,0,0,60,64
Oshakati,3,1,0,80,188
Oshakati,3,1,0,80,175
Katima_Mulilo,5,0,0,60,66
Oshakati,4,0,0,80,99
Katima_Mulilo,3,0,0,60,65
Rundu,5,0,0,70,102
Oshakati,2,0,0,80,76
Rundu,5,1,0,70,181
Walvis_Bay,0,0,0,100,124
Windhoek_CBD,3,1,0,150,254
Walvis_Bay,3,0,0,100,115
Rundu,4,0,0,70,66
Oshakati,1,1,0,80,170
Windhoek_CBD,3,0,0,150,155
Katima_Mulilo,5,0,0,60,120
Oshakati,3,0,0,80,84
Katima_Mulilo,2,1,0,60,163
Oshakati,1,0,0,80,74
Windhoek_CBD,6,0,0,150,173
Windhoek_CBD,5,0,0,150,184
Rundu,0,0,0,70,78
Oshakati,4,0,0,80,68
Windhoek_CBD,6,0,0,150,194
Rundu,4,0,0,70,67
Oshakati,3,0,0,80,64
Rundu,3,0,0,70,54
Katima_Mulilo,6,0,0,60,125
Oshakati,4,1,0,80,159
Windhoek_CBD,3,0,0,150,140
Windhoek_CBD,6,0,0,150,198
Windhoek_CBD,0,0,0,150,176
Oshakati,3,0,1,80,113
Katima_Mulilo,3,0,0,60,47
Katima_Mulilo,5,0,0,60,79
Rundu,5,1,0,70,198
Walvis_Bay,2,0,0,100,106
Oshakati,3,0,0,80,65
Windhoek_CBD,0,0,0,150,136
Walvis_Bay,3,0,0,100,65
Oshakati,4,0,1,80,131
Katima_Mulilo,6,0,0,60,111
Rundu,6,0,0,70,96
Windhoek_CBD,0,0,0,150,155
Oshakati,4,0,0,80,113
Oshakati,4,0,0,80,78
Walvis_Bay,1,0,0,100,93
Walvis_Bay,4,1,0,100,201
Katima_Mulilo,0,0,0,60,76
Oshakati,4,0,0,80,68
Windhoek_CBD,4,1,0,150,270
Rundu,2,0,0,70,76
Katima_Mulilo,2,0,0,60,58
Oshakati,5,1,0,80,229
Walvis_Bay,4,1,0,100,177
Katima_Mulilo,3,1,0,60,131
Walvis_Bay,3,0,0,100,113
Walvis_Bay,1,0,0,100,89
Katima_Mulilo,0,1,0,60,159
Rundu,2,1,0,70,162
Katima_Mulilo,1,0,0,60,75
Windhoek_CBD,4,0,0,150,160
Katima_Mulilo,5,0,0,60,108
Rundu,5,1,0,70,173
Rundu,3,0,0,70,75
Oshakati,3,0,0,80,85
Rundu,3,0,0,70,67
Walvis_Bay,5,0,0,100,128
Walvis_Bay,3,0,0,100,84
Oshakati,5,0,0,80,89
Oshakati,0,0,0,80,53
Walvis_Bay,6,0,0,100,146
Rundu,6,0,0,70,101
Walvis_Bay,1,0,0,100,78
Walvis_Bay,4,0,0,100,134
Oshakati,1,0,0,80,89
Oshakati,1,0,0,80,74
Katima_Mulilo,6,0,0,60,99
Rundu,5,0,0,70,85
Rundu,5,0,0,70,114
Katima_Mulilo,4,0,0,60,46
Katima_Mulilo,0,0,0,60,62
Oshakati,4,0,0,80,101
Windhoek_CBD,6,0,0,150,165
Oshakati,5,0,0,80,126
Katima_Mulilo,4,0,0,60,79
Windhoek_CBD,4,0,0,150,147
Oshakati,3,0,0,80,102
Walvis_Bay,4,0,0,100,97
Rundu,4,0,0,70,63
Katima_Mulilo,6,1,0,60,186
Rundu,2,0,0,70,73
Rundu,1,0,0,70,66
Katima_Mulilo,2,0,0,60,71
Rundu,5,0,0,70,116
Windhoek_CBD,0,0,0,150,161
Oshakati,3,0,0,80,62
Rundu,4,0,0,70,38
Walvis_Bay,1,0,0,100,99
Walvis_Bay,4,0,0,100,115
Rundu,2,0,0,70,54
Rundu,4,0,0,70,70
Oshakati,0,0,0,80,88
Walvis_Bay,0,0,1,100,158
Rundu,4,0,0,70,59
Walvis_Bay,4,0,0,100,69
Rundu,3,0,0,70,76
Walvis_Bay,4,0,0,100,99
Katima_Mulilo,5,1,0,60,170
Oshakati,0,0,0,80,57
Rundu,6,0,0,70,97
Windhoek_CBD,1,0,0,150,159
Walvis_Bay,6,0,0,100,131
Katima_Mulilo,3,0,0,60,74
Rundu,5,0,0,70,80
Katima_Mulilo,5,0,0,60,88
Walvis_Bay,3,0,0,100,85
Rundu,4,0,0,70,56
Oshakati,2,0,0,80,72
Windhoek_CBD,3,0,0,150,182
Oshakati,5,1,0,80,218
Oshakati,2,0,0,80,84
Katima_Mulilo,4,0,0,60,54
