amount,merchant_category,hour_of_day,day_of_week,device_type,location_type,account_age_days,category
159.76387454952734,7832,20,4,1,1,236,entertainment
985.3599513697565,5311,11,4,1,0,710,shopping
875.8440015618716,8011,14,0,1,2,696,healthcare
41.601087798790516,5812,15,6,1,1,130,dining
84.01406422246001,7832,18,0,1,1,36,entertainment
73.38933292137557,4121,15,5,0,2,650,transport
317.47369138706915,5411,8,0,1,3,1126,groceries
176.77860076431742,7832,22,6,1,0,1616,entertainment
412.61978588237395,5411,13,1,1,2,1430,groceries
1481.0987484428626,8299,15,6,1,0,1227,education
3116.8964366824907,8299,13,5,1,3,1571,education
888.4255165690093,5311,11,3,1,3,1659,shopping
206.25988354374704,7832,19,1,0,3,1493,entertainment
180.6028665811543,4121,16,2,1,1,877,transport
177.27930874039274,4121,10,1,1,1,49,transport
909.025338379396,4900,6,6,1,1,982,utilities
98.16785511646012,4121,7,4,1,3,1136,transport
133.23802796025785,5812,18,5,1,3,748,dining
223.189912013548,5812,14,2,0,2,11,dining
117.91408346280053,7832,21,2,1,2,510,entertainment
392.9743044648361,8011,15,3,1,1,291,healthcare
705.3993684216488,4900,9,5,2,2,321,utilities
497.1508231172522,5411,9,3,2,0,833,groceries
3843.9027423313287,8299,11,4,1,2,1197,education
145.98631687113476,4121,9,0,2,3,713,transport
1526.1992660381118,8011,9,4,1,1,1789,healthcare
80.33335312545915,7832,21,4,0,0,947,entertainment
157.34563351677278,5411,9,5,1,3,1319,groceries
233.1650248069277,8299,10,5,0,1,821,education
2673.612714411685,8299,10,2,1,1,1414,education
735.9152876087188,4900,10,3,2,2,1243,utilities
617.690047375425,5311,18,3,1,2,561,shopping
718.8115804097436,4900,13,2,1,1,111,utilities
196.6376679277055,7832,19,4,1,2,745,entertainment
114.82803818888178,4900,14,6,2,1,444,utilities
470.18833509340016,4900,11,0,0,2,1811,utilities
128.53948778402992,7832,21,1,1,0,75,entertainment
369.15923344400164,4900,6,4,1,3,925,utilities
485.12073574519854,5411,10,5,1,3,545,groceries
1902.461030731382,8011,15,5,0,2,1548,healthcare
146.68178357393757,4121,10,4,1,1,1283,transport
106.51430044390628,5812,12,0,1,1,1777,dining
59.47907978144754,5812,15,1,1,1,1723,dining
311.4762982386302,8011,12,6,2,3,73,healthcare
325.2295553968746,5311,19,1,1,3,268,shopping
1404.4713241181444,8299,14,1,1,1,333,education
970.5497611594957,8011,14,3,0,3,289,healthcare
258.8385711388411,5812,12,1,2,1,106,dining
1917.7299289975842,8011,10,4,1,0,712,healthcare
152.25906766489052,4900,19,3,1,3,151,utilities
1918.9850723153224,8299,15,4,1,3,1335,education
1279.9376657237744,8299,14,6,0,1,41,education
104.86943120928296,4121,13,6,0,1,1375,transport
38.352722012000754,5812,12,6,1,2,152,dining
1901.473436267173,8011,13,6,1,3,817,healthcare
113.14765277902146,7832,18,6,1,1,738,entertainment
433.557748341883,4900,6,1,1,0,436,utilities
108.30726131632923,5812,15,3,1,0,1166,dining
352.8193674792347,5411,15,4,1,1,993,groceries
1867.585517052672,8011,13,4,0,1,1068,healthcare
65.62791593354368,7832,18,2,1,3,241,entertainment
184.7119366859101,7832,22,6,1,1,1752,entertainment
145.57803522967055,7832,21,1,1,1,1166,entertainment
1927.9581643372424,8299,9,4,1,3,446,education
145.81424113399487,5812,12,5,1,3,225,dining
152.53759347115584,5411,15,3,0,2,1006,groceries
2806.5308486927775,8299,12,1,1,2,128,education
1807.3753013454077,8299,11,5,1,0,950,education
3808.433966028713,8299,13,2,1,2,1137,education
1009.5495070433824,8011,10,3,1,1,653,healthcare
246.56339694369237,5812,20,3,1,3,909,dining
211.17265369920668,5812,11,5,1,2,716,dining
541.2103700832985,4900,14,2,1,2,1703,utilities
2991.1772252577707,8299,9,2,1,0,936,education
806.951538249742,5311,13,5,1,2,392,shopping
270.80619946409377,5812,16,5,1,1,972,dining
376.114618429675,5311,14,2,2,2,1402,shopping
263.9470032640493,5812,18,3,1,1,1113,dining
79.55715618435721,5812,20,3,1,1,833,dining
377.90396214354166,5411,15,4,2,3,439,groceries
325.1995672324452,5411,17,0,1,0,917,groceries
525.7593092161565,5311,19,6,1,1,1643,shopping
254.51794865270514,5812,20,6,1,2,1634,dining
209.001209645303,5812,19,3,1,1,1648,dining
951.3404705101638,5311,19,3,1,1,1775,shopping
771.4858048040087,4900,17,0,0,1,166,utilities
197.1005794072592,4900,19,0,1,1,148,utilities
3395.095609642836,8299,8,1,2,1,172,education
3983.569141679591,8299,8,5,1,1,332,education
51.438667336243896,5411,10,4,0,0,1466,groceries
137.7646153247229,7832,19,2,1,3,1738,entertainment
157.64228568610451,5812,18,5,1,1,853,dining
175.92379751253438,5411,10,2,1,3,1691,groceries
657.9275905753734,4900,17,5,1,1,1761,utilities
209.03270594408357,5411,13,3,1,2,360,groceries
250.69391964346042,5411,17,2,1,1,1402,groceries
281.82778047192176,5812,11,4,1,1,1214,dining
4632.661017716719,8299,15,5,1,1,1467,education
286.27647338835385,7832,22,3,1,2,1439,entertainment
292.7654976413933,5311,16,0,1,1,1008,shopping
346.1194270259981,4900,9,4,2,3,158,utilities
360.22813896399015,5311,16,3,1,2,830,shopping
105.79371314800044,7832,19,4,1,2,1435,entertainment
37.26196510640714,4121,14,2,1,2,1511,transport
423.44464660781733,8299,12,3,1,1,1263,education
243.81042656854507,7832,20,4,1,1,544,entertainment
31.15773805005674,4121,10,5,1,1,1199,transport
530.3681180728337,4900,13,5,1,2,146,utilities
310.94346958471516,5411,17,1,1,0,520,groceries
238.43460882006585,5812,18,1,1,2,1741,dining
3905.6682075417352,8299,8,1,1,3,73,education
149.2221602215736,4121,12,2,2,2,412,transport
367.67874743320215,5311,12,6,1,3,124,shopping
666.2910455558582,5311,12,6,2,0,1234,shopping
133.82509160885778,4121,17,3,1,3,1436,transport
664.9368859550559,5311,10,4,2,1,1017,shopping
888.7433451643712,8011,9,0,1,1,930,healthcare
198.52884074987588,5812,20,0,1,1,430,dining
2701.754219012387,8299,9,4,1,1,511,education
149.41627747765244,7832,22,1,1,2,474,entertainment
1110.235099704472,8011,15,3,1,1,411,healthcare
1771.0777535490652,8011,9,4,1,2,1663,healthcare
959.1425329492822,4900,15,1,1,2,1033,utilities
433.3663529565812,5411,11,5,0,3,1604,groceries
47.24768129842514,5812,18,3,0,2,1507,dining
102.51058126111923,5812,16,3,1,0,148,dining
622.1894760013315,4900,14,1,1,1,252,utilities
99.94560677000584,4121,7,5,1,3,1481,transport
430.40380223730136,5411,17,1,1,0,452,groceries
811.536348902237,5311,11,0,1,2,324,shopping
252.73008766273247,5411,8,1,1,3,1268,groceries
1447.714282766113,8299,12,6,1,2,1639,education
350.25020419503164,8011,14,2,1,1,1093,healthcare
230.50688530873768,5812,12,5,0,0,620,dining
2546.953122541843,8299,9,2,1,0,451,education
149.9606099089168,4121,11,4,1,1,946,transport
892.8003621123861,8011,15,0,0,2,31,healthcare
76.25226880349926,7832,19,5,1,2,1090,entertainment
101.99952647469996,7832,21,5,0,1,1729,entertainment
217.49926179196746,7832,18,0,2,1,932,entertainment
105.08177169567311,4121,11,5,1,3,1268,transport
592.7603053517946,4900,7,3,1,0,1475,utilities
447.65387824677106,4900,16,5,1,2,1335,utilities
443.3743792432863,4900,12,1,1,2,1222,utilities
234.14990755296068,5411,17,2,1,3,1463,groceries
770.6142337251881,5311,15,5,0,1,545,shopping
601.4134071604057,8299,12,0,1,1,1776,education
129.51812895598567,4121,9,1,1,2,1430,transport
238.81662217713438,5311,18,4,1,1,877,shopping
4861.460574074942,8299,10,2,1,1,1419,education
168.98260760445112,4900,11,4,0,3,1706,utilities
484.57615567701174,8299,12,2,1,2,485,education
110.7465643928504,4121,16,1,1,3,981,transport
143.57818405395702,4121,11,0,1,1,969,transport
1375.6088210138041,8299,10,5,2,2,1436,education
1155.3956248067198,8299,11,1,1,1,641,education
69.21970925061825,4121,14,4,1,1,1196,transport
60.1503891433552,5812,15,5,2,1,683,dining
981.2886833090757,5311,14,2,1,2,1016,shopping
4920.252205064385,8299,10,4,1,1,363,education
27.006335299657415,4121,13,5,0,3,842,transport
155.0881085846499,8011,8,3,1,1,1621,healthcare
393.54137052465524,5411,9,5,1,0,1503,groceries
295.83821344656,7832,19,4,1,3,220,entertainment
252.80095488814422,5311,12,5,1,1,1217,shopping
73.81034073850674,7832,22,6,1,1,1717,entertainment
295.9693410013727,7832,19,0,1,0,203,entertainment
159.05733336248548,5812,12,0,0,1,497,dining
244.42043921104786,7832,21,1,2,0,630,entertainment
224.19013436540038,8011,11,2,1,1,1735,healthcare
242.13401327623708,5411,11,1,1,2,1219,groceries
1399.2450606423165,8011,11,5,2,1,1240,healthcare
219.75812720825203,5411,10,1,1,1,251,groceries
167.00464877975872,4900,8,0,1,1,1424,utilities
3478.956051503219,8299,10,2,1,1,677,education
564.4393498554568,5311,17,5,0,1,1169,shopping
1029.9734006326105,8011,12,5,1,1,1073,healthcare
211.52330561265165,8299,11,4,1,1,1424,education
151.2339796525717,5411,12,5,1,1,1626,groceries
4208.96962548391,8299,12,6,1,3,377,education
923.1132002881982,8299,11,3,1,1,1712,education
80.35835747028234,4121,13,2,1,3,1279,transport
805.413458606963,8299,10,2,2,1,819,education
355.0772173019299,5411,13,1,1,1,1330,groceries
35.04738781596395,5812,20,6,1,2,1679,dining
395.8168807724796,4900,6,6,0,1,721,utilities
139.2120401372451,5812,17,2,1,0,1455,dining
1812.4176332124093,8011,11,3,1,3,1146,healthcare
402.5106454868036,5311,17,5,2,3,754,shopping
198.27556201828804,5812,14,0,1,2,1682,dining
288.4078975520458,5812,17,1,1,1,913,dining
129.6451526971105,5812,11,4,1,1,1441,dining
268.80594156109817,7832,21,4,1,1,1123,entertainment
114.9937308563186,4121,10,2,0,1,1276,transport
4731.293160118553,8299,14,1,0,2,225,education
56.82981710192528,5311,17,6,1,1,172,shopping
31.221665042719888,5812,12,0,1,2,1731,dining
89.29092573040047,5812,19,5,1,3,59,dining
125.36875598136784,5812,11,1,1,1,1449,dining
87.86202516587899,4121,18,2,1,2,1571,transport
1348.0435292361672,8011,8,6,1,2,595,healthcare
376.62836682375564,5411,11,2,1,1,515,groceries
381.9019233154394,5311,17,5,1,1,29,shopping
95.99935608981514,4121,13,0,0,3,1380,transport
262.8901983646159,7832,18,5,1,3,1049,entertainment
90.30024729139838,5311,11,0,1,2,617,shopping
49.410562507837554,4121,17,3,0,2,1780,transport
415.0619646707546,5411,16,5,1,2,109,groceries
638.7291751465734,4900,12,5,0,0,1251,utilities
192.8374034738418,4121,17,1,1,3,1593,transport
188.71759653870035,7832,19,0,1,1,897,entertainment
115.3366261393707,4121,8,2,1,2,1017,transport
955.4325016696481,5311,18,6,1,2,1483,shopping
87.48008871532161,5812,12,6,0,1,616,dining
374.8576412895092,8011,15,4,1,1,1700,healthcare
1404.567237210352,8011,15,3,1,0,312,healthcare
180.32361694494887,4121,6,1,1,1,1684,transport
76.3413699276646,5411,15,4,0,3,609,groceries
41.042027950358666,4121,7,5,1,1,41,transport
1485.1642177536148,8011,12,5,1,3,425,healthcare
822.9856268218693,5311,18,0,1,1,366,shopping
3588.7436058170683,8299,14,2,1,2,374,education
363.336939494702,5311,11,2,1,1,1133,shopping
116.3700779405115,4121,6,5,1,2,656,transport
1886.451724341633,8299,15,6,1,3,706,education
235.36648182481883,5411,11,3,1,1,1211,groceries
43.12854478341244,4121,13,5,0,1,875,transport
792.3831968950251,8299,10,2,2,1,1247,education
848.5710574814979,5311,12,4,1,3,1353,shopping
98.48365998720118,5812,18,1,1,2,718,dining
74.38440102504316,5812,17,6,1,0,244,dining
102.0139361633151,5812,14,3,1,1,174,dining
770.308434293549,4900,12,4,1,3,1178,utilities
72.35687930472088,7832,22,1,1,3,1598,entertainment
238.83676460924787,5812,16,1,1,2,1069,dining
151.0883369975759,7832,22,3,1,2,581,entertainment
272.98409114558257,5812,13,5,1,1,1412,dining
288.34687799480815,5812,20,3,1,2,1079,dining
292.4256704304813,8011,9,1,1,2,732,healthcare
660.7301273906737,4900,18,4,1,1,1233,utilities
288.84936581410955,5411,16,4,1,1,901,groceries
351.8759954377849,5411,12,4,2,1,1613,groceries
61.21609205374849,7832,21,2,1,0,174,entertainment
1736.8285173279144,8011,16,2,1,0,438,healthcare
4515.983983891127,8299,14,3,2,2,609,education
427.04203814160013,4900,10,2,1,0,807,utilities
3020.755137649593,8299,8,1,1,1,54,education
195.88264447726752,5812,19,2,2,0,1221,dining
168.18568653109517,4121,8,2,1,1,1808,transport
705.467165522938,5311,13,5,1,1,814,shopping
825.6942734978912,4900,9,2,1,1,636,utilities
135.00964647286534,4121,13,0,1,1,660,transport
81.20825441853381,5311,15,3,1,0,107,shopping
21.22019199160799,4121,8,1,1,1,973,transport
407.4819909294656,5411,12,4,1,1,736,groceries
804.1482052058827,8299,11,3,1,2,627,education
1595.6593372299574,8011,15,3,1,3,420,healthcare
298.3327809274871,7832,18,5,1,1,379,entertainment
99.57326470459428,4121,9,2,1,1,1363,transport
574.0561740686244,5311,15,2,1,1,1023,shopping
4169.452191425649,8299,11,0,0,3,1435,education
3076.1153597890734,8299,13,0,1,1,1688,education
252.63050666701722,5411,12,6,1,2,138,groceries
1540.9143275505958,8011,14,6,1,2,863,healthcare
78.7254489552703,7832,18,0,0,1,187,entertainment
1893.7120348126075,8011,16,4,1,3,1358,healthcare
1709.7760337202346,8011,16,2,2,3,951,healthcare
1405.0269887924383,8011,12,0,1,3,241,healthcare
795.9209966005154,8011,11,3,2,2,12,healthcare
265.97947083500384,5812,12,4,1,2,354,dining
1297.3102444178912,8011,13,3,2,1,909,healthcare
304.7821536725077,5411,11,0,1,3,1369,groceries
145.21216133706508,4121,16,2,1,1,1387,transport
136.09464458263852,4121,13,6,1,1,1213,transport
73.764508567698,4121,17,2,1,3,524,transport
56.65020964316686,4121,15,4,1,1,254,transport
81.30878873280211,5812,14,2,1,2,1630,dining
167.8227005234809,5812,16,4,1,0,1410,dining
199.7805367486199,5311,13,3,2,2,802,shopping
187.71446877292837,7832,20,2,1,3,1170,entertainment
152.08864170273267,5812,11,3,1,2,1122,dining
848.1524456292952,5311,15,2,2,3,1396,shopping
112.57073230062932,7832,20,1,1,1,660,entertainment
103.67052620414734,5411,16,3,1,3,690,groceries
283.64626021296067,4900,11,5,1,1,946,utilities
190.10431543028795,4121,10,4,1,3,1562,transport
264.7784240606195,5311,18,2,1,1,1509,shopping
378.9477031874041,8299,9,0,1,0,368,education
454.9092661846872,5311,11,1,1,3,734,shopping
33.33461100953232,5812,12,0,1,1,793,dining
198.21705538847468,5411,13,6,0,3,1482,groceries
52.602044156320424,7832,18,4,1,0,808,entertainment
220.4924286523094,5812,14,2,1,2,1545,dining
3676.2689037123305,8299,13,0,0,1,428,education
396.67795792223137,5411,15,2,1,0,1275,groceries
204.1929910099033,7832,20,3,1,1,176,entertainment
125.36259720215769,4121,18,4,1,3,614,transport
60.465342829896784,5411,16,1,1,3,1716,groceries
844.2716036433429,5311,14,5,0,1,308,shopping
73.77018516981957,5411,14,6,1,1,875,groceries
253.46296114658318,4900,6,3,1,1,87,utilities
178.8494846718649,4121,7,5,1,1,1064,transport
1615.963286168822,8011,16,3,1,1,78,healthcare
1703.2349037320173,8011,8,0,1,2,502,healthcare
165.3639949111154,5812,16,2,1,1,1540,dining
4123.839976002167,8299,13,5,1,2,1154,education
819.9444358919956,4900,11,0,0,2,1775,utilities
438.8617487359856,5411,11,1,0,2,474,groceries
108.41737481599249,7832,19,5,0,2,1224,entertainment
83.5447446678091,4121,18,1,1,1,463,transport
1635.3701231922644,8299,10,6,0,1,243,education
542.4243659945514,5311,18,2,1,2,574,shopping
483.1817145032157,5411,9,4,2,2,625,groceries
1754.8856133514257,8299,10,4,1,1,1348,education
204.84271122516728,7832,21,0,1,2,1306,entertainment
268.3987038703726,7832,20,5,1,1,1513,entertainment
128.2536063752274,4121,13,1,1,0,521,transport
361.4157124784341,5411,9,2,2,1,1679,groceries
210.8999370006537,7832,21,0,1,1,281,entertainment
129.2075512001877,5411,13,5,1,1,1705,groceries
145.09028999717427,4121,16,0,1,1,758,transport
137.6683911321831,5812,12,2,1,3,529,dining
88.04917009660213,5411,17,4,1,1,1500,groceries
97.27896753693342,5311,14,0,1,2,1791,shopping
974.5436355516382,4900,6,4,1,2,1472,utilities
522.6055464578822,4900,11,2,1,0,1567,utilities
82.97025015406604,4121,11,0,1,3,860,transport
488.99255510929316,4900,15,6,1,3,1446,utilities
89.26316962383201,4121,11,3,1,3,807,transport
182.61720736986547,5411,13,4,1,2,103,groceries
178.75038385711164,7832,19,4,1,2,124,entertainment
37.456621489393974,4121,11,4,1,1,1436,transport
144.5280916584345,4121,8,3,1,2,15,transport
257.0577697364527,5411,10,5,1,1,1751,groceries
41.41590683983865,4121,9,3,2,2,616,transport
962.6833041679845,5311,14,6,1,2,1398,shopping
4206.659803984064,8299,11,2,1,2,1298,education
146.35543067667692,4121,17,0,1,1,1155,transport
92.45666367869306,4121,8,1,0,3,995,transport
138.73620792435912,7832,18,3,0,1,877,entertainment
170.42188047105483,4121,9,6,1,1,1802,transport
226.09339988392293,5411,10,3,1,1,205,groceries
101.67863476414773,5812,20,5,1,3,754,dining
671.3107008359311,5311,14,3,1,2,1784,shopping
158.59620502223063,7832,20,1,1,2,1583,entertainment
104.75391030881083,4121,17,2,1,0,1141,transport
281.3216578035062,5812,18,4,1,0,732,dining
96.201672660769,5411,13,5,1,3,1082,groceries
398.2132307731845,5311,13,0,1,2,1776,shopping
375.4712176708332,5411,16,2,1,1,850,groceries
55.432167572581776,7832,22,1,0,0,1421,entertainment
153.1793160137508,7832,18,0,1,3,1332,entertainment
338.51120401404904,4900,19,3,1,3,623,utilities
431.82183293163445,5411,11,5,1,2,415,groceries
1648.9262964932523,8011,12,4,1,1,796,healthcare
164.77951341448602,5411,11,4,1,2,782,groceries
127.22445535695275,7832,20,1,1,1,213,entertainment
817.3436506466646,4900,10,6,1,1,1665,utilities
1890.8605398615514,8011,11,1,1,1,53,healthcare
726.4866662433875,5311,14,6,1,2,1434,shopping
415.1760043149948,5411,13,0,1,2,726,groceries
154.39432271824612,4121,11,1,1,1,570,transport
176.32660288205935,5311,17,0,1,2,1247,shopping
39.57950427640403,5812,13,4,1,1,58,dining
1399.3785880792386,8299,11,3,1,0,384,education
320.47784354933304,5411,9,2,1,1,394,groceries
723.297011479934,4900,11,2,1,2,766,utilities
4092.518447170441,8299,11,6,1,1,1195,education
595.5840884901302,5311,17,4,1,2,212,shopping
165.51548767431223,7832,21,0,1,1,737,entertainment
48.40046382845703,5812,17,4,0,0,1568,dining
183.7992766393003,4121,13,0,1,3,1139,transport
167.04895153097175,5311,11,0,1,1,1695,shopping
233.69402577781096,7832,18,3,2,3,1192,entertainment
3700.6512200997095,8299,9,2,1,2,265,education
770.7229862581025,4900,9,2,0,2,1389,utilities
388.0411229339674,5411,9,1,1,1,506,groceries
441.7785862695871,5311,13,4,1,3,975,shopping
1321.0035919165052,8011,9,6,0,3,537,healthcare
3390.1360286819054,8299,9,5,1,2,1592,education
285.26696911836245,5812,20,4,1,1,1366,dining
102.435891055401,7832,20,2,1,1,820,entertainment
946.0949564241001,5311,18,5,1,1,198,shopping
76.9974344095972,5411,12,6,1,1,871,groceries
51.89457297668219,7832,21,2,1,3,1241,entertainment
981.180509891818,4900,12,4,1,1,561,utilities
87.71616629798721,7832,19,6,1,1,1571,entertainment
3302.1539938228834,8299,8,1,1,0,1702,education
191.18557137810095,5311,15,3,1,1,1215,shopping
54.69965879232559,4121,17,0,1,2,884,transport
53.130778499035934,5812,13,4,1,2,1727,dining
72.35632093280817,4121,11,3,1,1,124,transport
1837.5071492284033,8011,13,4,1,2,471,healthcare
689.277767622763,4900,16,2,1,1,1586,utilities
979.7560692394333,8299,13,5,1,2,8,education
1628.8584030012466,8011,16,5,1,1,945,healthcare
835.527486420313,5311,16,1,1,1,85,shopping
152.48481561748503,7832,22,3,0,3,1019,entertainment
224.52365635190304,4900,7,3,1,3,635,utilities
169.44164447203028,4121,11,2,2,1,310,transport
658.7954790789707,4900,17,4,0,2,450,utilities
402.48158306501335,5311,17,3,0,1,198,shopping
1027.03033603765,8011,9,4,2,2,212,healthcare
569.353204433117,4900,9,1,0,1,379,utilities
184.28936324004997,8011,13,4,1,2,281,healthcare
66.59830527605861,5411,15,6,1,1,480,groceries
290.9074416593409,7832,19,5,1,0,1173,entertainment
1718.2717001925014,8011,11,4,1,2,1567,healthcare
97.39525223770585,7832,20,5,2,1,539,entertainment
48.03096617237207,4121,12,4,2,2,511,transport
483.7593028562202,4900,9,5,1,0,1395,utilities
181.9264810861529,4121,16,2,1,2,1013,transport
3100.5295468429845,8299,13,0,1,2,124,education
204.76850184551904,7832,19,6,1,3,1771,entertainment
118.29563925799683,5812,11,2,1,1,1112,dining
169.07868806680256,4121,16,4,0,0,1633,transport
4071.7157443251963,8299,15,5,1,1,173,education
220.61420756672396,5812,17,2,1,1,1031,dining
74.44492826107353,4121,18,2,1,3,1253,transport
1100.579939785984,8011,14,3,2,1,181,healthcare
197.9772432134084,4900,13,6,1,1,909,utilities
988.7363504422044,5311,10,3,0,1,1312,shopping
129.2771831955932,5812,16,2,1,0,1274,dining
1810.8115322303177,8011,15,4,1,2,606,healthcare
296.41925013052037,5812,12,1,1,1,369,dining
171.87593902458994,7832,18,2,1,1,682,entertainment
75.70430191389426,5411,10,4,1,1,381,groceries
111.95834393064577,4900,12,4,2,2,892,utilities
951.3603402468823,5311,18,1,0,1,1548,shopping
33.744506539910105,4121,11,3,0,1,1421,transport
136.43543305091276,5812,19,4,1,3,1059,dining
60.7414696980934,4121,10,1,1,1,1378,transport
258.6696678719267,5311,14,2,1,1,1494,shopping
156.60124959498037,4900,7,1,2,1,873,utilities
107.32430648279228,4121,15,4,1,0,1396,transport
320.7109952174299,5311,17,5,0,1,1391,shopping
35.082527697929955,4121,10,6,1,3,1143,transport
167.7716284849044,7832,18,3,1,3,1078,entertainment
147.35344739363683,4121,14,3,1,1,7,transport
762.9293740930642,4900,17,5,2,2,1549,utilities
151.16700853711595,7832,19,2,1,3,687,entertainment
767.8843488334957,8011,15,1,1,3,379,healthcare
428.98709240666,5411,11,0,1,1,392,groceries
1156.0714762021519,8299,11,4,1,2,1152,education
24.227314267704113,4121,14,1,0,3,1110,transport
543.1808813304374,8011,13,3,1,2,14,healthcare
79.25264639056228,4121,17,6,1,2,1185,transport
4177.115627461289,8299,12,1,1,2,537,education
102.43673532139759,4121,10,5,1,1,32,transport
4858.213964616087,8299,11,0,1,1,1213,education
590.0613595427109,4900,8,3,1,3,396,utilities
1397.4809751135435,8299,9,2,1,3,1337,education
4824.536510240252,8299,9,3,1,2,1201,education
214.65428159426554,5411,8,0,1,3,1456,groceries
61.98819698725086,5411,8,2,1,3,154,groceries
189.81316751186577,4121,9,3,1,2,1258,transport
411.02045727420096,5311,12,5,1,3,1198,shopping
77.42461021995565,5311,15,4,2,3,440,shopping
261.0104779087048,5411,12,4,1,1,242,groceries
518.853281424401,8011,11,1,1,3,275,healthcare
744.8604540593878,4900,17,5,2,3,395,utilities
137.98371676091833,5311,15,4,1,1,663,shopping
120.47346668692009,4121,15,6,1,1,1452,transport
3153.2665443500605,8299,11,5,1,1,884,education
308.1064491785838,4900,12,6,1,1,850,utilities
116.30827925231812,5411,17,1,1,2,1486,groceries
723.4771694180379,4900,10,1,1,1,848,utilities
776.5875368637326,8011,9,0,1,2,1087,healthcare
243.79616365022986,4900,17,3,1,2,1229,utilities
649.4510722152421,5311,10,6,1,3,463,shopping
1818.9086627053546,8299,12,2,1,2,754,education
451.702162992221,4900,11,2,1,1,941,utilities
74.72030424581047,5411,16,5,1,2,564,groceries
447.67219152412974,5411,16,5,1,1,425,groceries
366.94749317788023,5411,15,4,1,3,424,groceries
85.61978885217174,4121,13,4,1,3,969,transport
31.775115218143508,4121,16,4,1,2,1092,transport
294.91823057580604,5311,14,4,1,0,1533,shopping
306.374246548611,4900,8,2,1,1,74,utilities
4608.126102550281,8299,11,2,2,2,1340,education
4810.5346212096565,8299,12,2,1,1,115,education
2939.918284014711,8299,11,1,1,2,26,education
728.8908747162614,4900,14,6,1,3,384,utilities
964.9777879453468,5311,18,5,1,0,949,shopping
797.0234149784235,8299,14,0,1,3,15,education
302.32831966725576,5311,14,3,1,3,1265,shopping
355.8720618077479,4900,18,2,1,2,205,utilities
236.88310049041735,5812,16,4,2,1,1359,dining
152.25561442267934,4900,12,3,1,1,1015,utilities
406.89123849646313,5411,15,4,0,3,470,groceries
