user_id,tx_count_30d,tx_count_trend,days_since_last_tx,voucher_redemption_count_30d,days_since_last_redemption,avg_tx_amount_30d,notification_read_rate,wallet_balance_trend,login_frequency_30d,session_count_30d,unique_merchants_30d,has_savings_goal,has_active_autopay,account_age_days,region_encoded,is_churned
USR_00017,3,0.1765,7,0,55,721.12,0.9194,0.0605,3,6,1,1,0,179,3,0
USR_00018,15,0.5769,16,2,6,1599.11,0.6926,0.3202,13,17,5,0,0,1012,0,0
USR_00019,19,0.95,7,2,39,1454.44,0.9827,-0.0202,16,20,6,1,0,556,7,0
USR_00020,9,1.0,24,1,12,678.5,0.6673,0.1149,8,8,3,1,1,615,1,0
USR_00021,3,0.4286,20,0,80,2079.34,0.6968,-0.5293,3,4,1,1,0,463,1,0
USR_00022,3,0.2,10,0,49,433.32,0.7058,0.0625,2,6,1,0,0,243,2,0
USR_00023,6,0.3333,13,0,116,1280.57,0.0715,0.179,5,7,2,0,1,1114,12,0
USR_00024,14,0.5833,16,1,11,448.68,0.4016,0.1814,12,16,4,0,0,944,9,0
USR_00025,23,0.697,24,3,43,372.14,0.7066,-0.5138,19,19,7,1,1,783,12,0
USR_00026,6,0.375,14,0,59,1271.18,0.3434,-0.1123,5,8,2,1,1,500,6,0
USR_00027,1,0.2,20,0,45,940.21,0.7437,-0.2389,1,2,0,0,0,992,6,0
USR_00028,10,0.5,14,1,12,1100.64,0.4054,-0.0136,8,10,3,0,0,668,4,0
USR_00029,7,0.4375,8,0,97,202.19,0.1807,-0.6456,6,8,2,1,1,548,12,0
USR_00030,4,0.8,18,0,63,1515.05,0.2301,-0.2201,3,7,1,0,1,557,4,0
USR_00031,4,0.2353,23,0,123,1143.36,0.7368,0.0227,4,8,1,1,0,295,2,0
USR_00032,21,0.6562,29,2,36,481.9,0.7595,-0.14,18,18,7,0,0,137,6,0
USR_00033,5,0.625,1,0,100,1060.37,0.8832,0.5057,4,8,1,0,0,678,4,0
USR_00034,21,0.84,29,2,29,1598.71,0.828,-0.1115,17,21,7,1,0,1068,0,0
USR_00035,9,0.4737,22,1,16,369.17,0.863,-0.0225,8,11,3,0,0,104,3,0
USR_00036,15,0.8333,8,2,10,371.11,0.2669,-0.5133,13,14,5,1,1,1034,2,0
USR_00037,8,0.4,11,1,2,528.05,0.7981,-0.3019,6,8,2,1,0,998,10,0
USR_00038,17,0.7083,20,2,25,112.49,0.7153,0.2512,14,18,5,0,1,353,3,0
USR_00039,6,0.8571,9,0,143,866.17,0.8465,-0.1806,5,8,2,0,0,769,10,0
USR_00040,12,0.5455,10,1,10,1378.38,0.3309,-0.0359,10,11,4,0,1,223,3,0
USR_00041,6,0.3,15,0,111,1049.48,0.8882,-0.1648,5,7,2,1,1,916,8,0
USR_00042,8,0.6667,20,1,2,975.94,0.6798,0.2043,7,11,2,1,0,849,0,0
USR_00043,12,0.4615,27,1,24,1508.38,0.8451,-0.3614,10,11,4,0,0,444,12,0
USR_00044,21,0.6774,25,2,42,613.89,0.6147,-0.1786,18,19,7,1,0,109,4,0
USR_00045,10,0.5,7,1,29,189.18,0.9631,0.1265,8,10,3,1,1,1165,1,0
USR_00046,11,0.6875,5,1,3,737.71,0.6552,-0.1003,9,13,3,0,0,551,1,0
USR_00047,14,0.6667,29,1,20,1883.93,0.2611,-0.5835,12,12,4,1,0,1074,1,0
USR_00048,7,0.7,28,0,190,888.01,0.6328,-0.0275,5,9,2,0,0,823,2,0
USR_00049,13,0.5909,17,1,7,493.96,0.3771,-0.5114,11,15,4,0,0,940,7,0
USR_00050,12,0.5,20,1,11,1245.54,0.8091,-0.0216,10,13,4,0,0,919,12,0
USR_00051,17,0.6538,7,2,36,905.87,0.6064,0.2492,14,16,5,0,0,257,6,0
USR_00052,7,0.35,18,1,30,559.68,0.395,-0.1852,6,10,2,1,0,455,4,0
USR_00053,9,0.8182,20,1,7,731.62,0.9677,0.298,8,10,3,0,0,576,3,0
USR_00054,19,0.6786,8,2,0,515.99,0.4504,0.1944,16,17,6,0,0,612,10,0
USR_00055,21,0.84,22,2,5,1087.75,0.7576,0.2418,18,20,7,0,0,81,10,0
USR_00056,5,0.3846,11,0,102,323.79,0.2421,-0.5118,4,8,1,0,0,669,2,0
USR_00057,13,0.9286,15,1,14,866.07,0.8077,-0.091,11,15,4,0,0,210,13,0
USR_00058,24,0.8276,1,3,7,1333.3,0.3813,0.1829,20,22,8,1,1,899,3,0
USR_00059,21,0.8077,3,2,2,804.59,0.5774,-0.173,17,17,7,0,0,829,9,0
USR_00060,14,0.6667,18,1,4,811.93,0.8973,-0.5439,12,14,4,1,0,1109,13,0
USR_00061,11,0.5,24,1,15,703.46,0.7022,0.2914,9,11,3,1,1,901,7,0
USR_00062,12,0.6,17,1,10,1020.12,0.7325,0.2625,10,14,4,1,0,458,0,0
USR_00063,1,0.0714,24,0,171,498.99,0.6363,0.3945,1,2,0,1,0,1161,5,0
USR_00064,5,0.5556,24,0,125,599.19,0.7507,-0.5811,4,7,1,0,1,510,0,0
USR_00065,18,0.7826,22,2,35,323.5,0.3303,-0.0744,15,16,6,0,1,411,9,0
USR_00066,7,0.5,24,1,32,535.97,0.7491,-0.1436,6,7,2,0,0,1089,2,0
USR_00067,9,0.5,22,1,20,133.8,0.4464,-0.3118,8,12,3,1,0,463,7,0
USR_00068,7,0.3684,24,0,30,680.5,0.785,0.0369,6,9,2,1,1,119,12,0
USR_00069,4,0.3333,11,0,115,1088.77,0.6718,0.0803,3,6,1,0,0,579,1,0
USR_00070,5,0.2632,11,0,100,630.43,0.7542,-0.098,4,8,1,0,0,960,3,0
USR_00071,12,0.6316,14,1,43,1389.87,0.3296,0.4799,10,13,4,1,1,251,6,0
USR_00072,14,0.6667,16,1,33,1935.85,0.7342,-0.6118,11,14,4,0,1,571,3,0
USR_00073,5,0.3333,19,0,187,656.64,0.6152,0.1172,4,4,1,0,0,182,0,0
USR_00074,7,0.7778,16,1,37,299.71,0.5401,-0.4056,6,9,2,0,0,833,0,0
USR_00075,6,0.75,4,0,36,1592.68,0.4115,0.0216,5,8,2,0,1,586,3,0
USR_00076,6,0.5455,11,0,171,1354.75,0.5121,0.1203,5,5,2,1,0,416,6,0
USR_00077,9,0.9,18,1,27,952.57,0.5319,0.3852,7,8,3,0,0,295,5,0
USR_00078,16,0.7273,0,2,39,437.22,0.5793,-0.0978,13,15,5,1,1,690,0,0
USR_00079,12,0.7059,3,1,42,899.96,0.5576,0.0383,10,13,4,0,0,813,3,0
USR_00080,9,0.5,28,1,5,518.45,0.7993,-0.6869,7,8,3,0,1,1130,2,0
USR_00081,11,0.44,25,1,41,369.83,0.7903,0.3348,9,11,3,0,0,541,2,0
USR_00082,18,0.6923,17,2,24,886.54,0.8988,0.1682,15,17,6,1,1,218,7,0
USR_00083,12,0.4615,3,1,17,305.35,0.8779,0.0391,10,11,4,0,0,1004,2,0
USR_00084,15,0.625,7,2,43,1217.68,0.2966,0.0402,13,16,5,0,0,766,4,0
USR_00085,7,0.4375,23,0,109,833.18,0.4857,-0.2057,6,8,2,0,0,849,12,0
USR_00086,3,0.2,21,0,47,608.39,0.3233,-0.1456,2,6,1,1,1,143,4,0
USR_00087,1,0.1111,6,0,38,643.37,0.4511,-0.2268,1,3,0,0,1,395,5,0
USR_00088,7,0.3333,1,0,152,281.88,0.2935,-0.2735,5,8,2,0,0,928,0,0
USR_00089,13,0.5909,27,1,32,295.74,0.635,0.0482,11,13,4,0,0,1003,0,0
USR_00090,11,0.6875,21,1,15,2660.5,0.29,0.4193,9,10,3,1,1,539,0,0
USR_00091,3,0.3333,19,0,89,589.5,0.71,-0.1453,2,6,1,0,1,971,8,0
USR_00092,5,0.3571,26,0,166,212.9,0.3676,0.0349,4,5,1,1,0,1014,10,0
USR_00093,15,0.7895,12,2,20,1386.89,0.6469,-0.0581,13,15,5,0,0,483,1,0
USR_00094,10,0.5,3,1,23,293.11,0.706,-0.0619,8,10,3,0,0,1080,1,0
USR_00095,14,1.0,1,1,2,1054.99,0.6842,-0.0904,12,16,4,1,0,367,2,0
USR_00096,25,0.7143,29,3,4,2163.21,0.4252,0.4691,20,20,8,0,0,310,5,0
USR_00097,12,1.0,18,1,32,559.09,0.3185,-0.0323,10,12,4,1,0,828,5,0
USR_00098,8,0.8,22,1,17,1679.41,0.8398,0.2682,7,9,2,1,0,775,6,0
USR_00099,10,0.4167,11,1,42,1196.4,0.508,-0.0167,8,12,3,0,0,193,12,0
USR_00100,11,0.4783,3,1,19,2341.69,0.6922,0.5154,9,11,3,0,1,1004,2,0
USR_00101,14,0.56,23,1,39,1059.42,0.6328,0.3864,11,13,4,1,1,263,6,0
USR_00102,12,0.48,23,1,32,435.75,0.4662,0.2397,10,12,4,0,0,971,4,0
USR_00103,24,0.7059,23,3,1,125.66,0.871,0.2148,20,22,8,1,1,38,2,0
USR_00104,9,0.9,15,1,15,352.96,0.4254,0.1888,7,7,3,0,1,962,12,0
USR_00105,26,0.6842,20,3,39,445.06,0.4304,-0.1455,22,23,8,1,0,950,0,0
USR_00106,12,0.8,9,1,35,1471.64,0.4571,0.0739,10,10,4,0,0,943,7,0
USR_00107,5,0.3571,8,0,189,1756.94,0.6048,0.7025,4,8,1,0,1,807,7,0
USR_00108,5,0.2778,0,0,75,276.77,0.7752,0.1301,4,8,1,0,0,581,12,0
USR_00109,14,0.5833,5,1,44,1769.29,0.5976,-0.1797,12,14,4,1,0,855,4,0
USR_00110,7,1.0,13,0,192,358.27,0.4932,-0.4387,6,7,2,0,0,354,2,0
USR_00111,20,0.6452,14,2,33,341.49,0.5706,-0.1447,16,17,6,1,1,943,10,0
USR_00112,5,0.2941,13,0,130,219.89,0.8416,-0.3468,4,8,1,0,0,680,9,0
USR_00113,3,0.75,13,0,59,871.49,0.5051,0.11,2,4,1,1,1,566,4,0
USR_00114,4,0.2222,6,0,139,416.32,0.6634,-0.4102,3,7,1,0,0,621,8,0
USR_00115,19,0.9048,20,2,4,1901.53,0.6505,-0.4512,16,19,6,0,0,695,1,0
USR_00116,3,1.0,13,0,53,321.66,0.2851,0.0579,3,3,1,0,0,73,5,0
USR_00117,16,0.6667,15,2,12,1194.84,0.6675,-0.4573,13,16,5,0,1,193,10,0
USR_00118,17,0.6296,17,2,37,252.18,0.2968,0.0591,14,14,5,1,0,317,2,0
USR_00119,21,0.9545,14,2,10,1518.54,0.7779,0.4779,17,17,7,1,0,164,4,0
USR_00120,18,0.9,16,2,3,730.48,0.3732,0.1197,15,16,6,1,0,544,13,0
USR_00121,8,0.4706,14,1,0,840.81,0.2424,0.2106,7,7,2,0,0,812,9,0
USR_00122,14,0.9333,11,1,4,499.33,0.4307,0.1783,12,14,4,1,0,795,11,0
USR_00123,16,0.5714,15,2,40,477.21,0.4542,-0.5774,13,14,5,0,1,581,3,0
USR_00124,19,0.8261,20,2,4,989.72,0.8667,-0.6628,16,17,6,0,1,1030,13,0
USR_00125,2,0.1429,26,0,50,2826.53,0.5701,0.1314,1,3,0,1,1,691,0,0
USR_00126,4,0.2667,2,0,173,287.23,0.9737,0.2031,3,3,1,0,0,122,4,0
USR_00127,8,0.6667,5,1,44,506.48,0.6409,0.1385,6,7,2,1,0,925,4,0
USR_00128,10,0.4762,3,1,36,407.45,0.222,0.0887,8,11,3,0,0,702,9,0
USR_00129,21,0.875,0,2,11,198.46,0.5094,-0.2067,18,22,7,0,0,772,12,0
USR_00130,13,0.65,24,1,19,196.47,0.6769,0.1178,11,14,4,1,0,691,8,0
USR_00131,11,0.44,6,1,25,370.18,0.6643,0.2646,9,13,3,0,0,677,5,0
USR_00132,13,0.5,8,1,12,484.57,0.6324,-0.1463,11,15,4,0,1,135,3,0
USR_00133,15,0.5357,9,2,31,2064.97,0.2462,-0.2438,12,12,5,0,0,684,4,0
USR_00134,12,0.8571,25,1,12,1467.7,0.9581,-0.41,10,10,4,0,0,960,4,0
USR_00135,17,0.8095,18,2,13,345.04,0.4278,-0.396,14,14,5,1,0,385,0,0
USR_00136,7,0.875,3,0,181,1234.32,0.8083,-0.13,6,9,2,0,0,735,4,0
USR_00137,16,0.5517,25,2,20,350.91,0.9096,0.0519,14,17,5,0,1,66,10,0
USR_00138,2,0.1538,29,0,72,620.01,0.341,0.419,2,4,0,0,0,436,7,0
USR_00139,7,0.35,21,0,149,861.8,0.5097,-0.1798,6,9,2,0,0,540,9,0
USR_00140,25,0.9615,14,3,14,3597.53,0.4753,-0.3639,21,22,8,0,0,1179,3,0
USR_00141,16,0.7619,29,2,2,824.72,0.7542,0.0779,14,17,5,0,0,281,4,0
USR_00142,20,0.6667,1,2,6,203.89,0.857,-0.1628,17,21,6,0,0,353,0,0
USR_00143,14,0.7368,0,1,16,1206.35,0.9167,0.3688,12,15,4,0,0,507,3,0
USR_00144,15,0.7895,23,2,33,1652.02,0.6399,0.2159,12,13,5,1,0,1191,4,0
USR_00145,18,0.5806,5,2,35,1354.07,0.8586,0.1708,15,19,6,0,1,1028,1,0
USR_00146,10,0.5556,1,1,18,300.25,0.6223,-0.4196,8,10,3,0,0,70,0,0
USR_00147,7,0.3889,2,1,14,734.7,0.8138,-0.1836,6,8,2,0,1,303,7,0
USR_00148,6,0.3529,13,0,33,655.67,0.6156,0.3024,5,8,2,0,1,991,3,0
USR_00149,15,0.625,19,2,2,2739.73,0.7352,-0.0708,13,14,5,0,0,98,3,0
USR_00150,3,0.2143,13,0,171,1089.41,0.6583,-0.6666,2,2,1,0,0,1031,1,0
USR_00151,14,0.5,12,1,8,2626.41,0.5422,0.4993,12,16,4,0,0,359,4,0
USR_00152,21,0.75,4,2,30,377.1,0.6459,-0.0947,17,19,7,0,0,1103,3,0
USR_00153,6,0.3333,9,0,134,559.26,0.7036,0.0926,5,9,2,0,0,373,4,0
USR_00154,9,0.9,28,1,38,432.66,0.6185,0.1237,7,11,3,1,0,538,5,0
USR_00155,14,0.9333,9,1,43,1455.29,0.8293,-0.0393,11,11,4,0,1,804,0,0
USR_00156,4,0.4444,10,0,170,1655.19,0.645,0.3551,4,6,1,0,0,177,12,0
USR_00157,12,0.6316,26,1,10,909.27,0.4798,-0.0506,10,11,4,0,1,681,0,0
USR_00158,15,0.7895,1,2,18,717.53,0.5002,-0.0972,12,13,5,1,1,620,3,0
USR_00159,10,0.4348,2,1,23,929.13,0.1255,0.7355,8,8,3,0,1,947,1,0
USR_00160,16,1.0,26,2,32,220.07,0.4048,-0.4888,13,15,5,1,1,1195,4,0
USR_00161,19,0.95,9,2,10,478.68,0.4603,0.0481,16,17,6,0,0,807,2,0
USR_00162,5,0.3571,7,0,50,510.47,0.9074,0.1138,4,5,1,1,0,508,10,0
USR_00163,16,0.9412,14,2,41,657.95,0.4061,0.1831,13,16,5,1,0,505,3,0
USR_00164,10,0.8333,1,1,3,394.81,0.5015,0.5851,8,12,3,0,1,519,6,0
USR_00165,12,0.5,12,1,40,337.16,0.6405,0.0415,10,11,4,1,1,982,1,0
USR_00166,5,0.2941,0,0,32,185.23,0.6336,-0.3314,4,8,1,1,1,405,0,0
USR_00167,14,0.56,20,1,17,939.8,0.6754,0.0739,11,11,4,0,0,225,3,0
USR_00168,8,0.6154,25,1,6,221.99,0.9378,-0.0157,7,11,2,0,0,421,4,0
USR_00169,12,0.8571,18,1,1,1479.66,0.6892,0.3522,10,10,4,0,0,56,3,0
USR_00170,10,0.7143,5,1,12,861.91,0.4319,0.2109,8,11,3,1,0,154,13,0
USR_00171,13,0.8667,24,1,27,1351.74,0.8782,-0.0616,11,11,4,1,0,135,7,0
USR_00172,20,0.8696,19,2,16,325.9,0.495,-0.1397,17,18,6,0,0,932,13,0
USR_00173,17,0.5862,25,2,28,2954.34,0.5959,0.1215,14,15,5,1,1,875,2,0
USR_00174,17,0.85,27,2,33,3927.51,0.7787,0.0831,14,14,5,1,0,845,9,0
USR_00175,11,0.7857,11,1,27,681.32,0.8493,-0.4771,9,12,3,0,0,570,4,0
USR_00176,11,0.7857,29,1,30,911.18,0.9115,-0.4222,9,11,3,1,0,868,5,0
USR_00177,2,0.5,25,0,178,658.37,0.0973,0.1415,1,1,0,0,0,218,13,0
USR_00178,10,0.4545,17,1,36,1489.0,0.667,-0.2939,8,12,3,0,1,1083,6,0
USR_00179,16,0.5517,18,2,1,1254.05,0.5613,-0.4163,14,17,5,0,0,616,11,0
USR_00180,21,0.875,13,2,38,160.73,0.3124,0.0952,17,19,7,0,0,1127,7,0
USR_00181,19,0.6129,25,2,1,343.33,0.2365,-0.3627,15,15,6,0,1,208,0,0
USR_00182,3,0.4286,1,0,94,910.69,0.9525,-0.0831,2,3,1,1,0,611,7,0
USR_00183,4,0.4,13,0,77,1235.18,0.5066,0.2221,3,7,1,0,0,844,4,0
USR_00184,9,0.3913,3,1,40,749.56,0.3177,-0.3486,8,9,3,0,0,609,12,0
USR_00185,22,0.7097,0,3,23,171.17,0.7205,0.1558,19,23,7,1,0,552,9,0
USR_00186,3,0.2,28,0,171,1038.22,0.0811,0.2389,2,2,1,1,0,224,0,0
USR_00187,14,0.7,19,1,12,2863.72,0.4301,-0.3083,11,13,4,1,1,475,0,0
USR_00188,11,0.55,13,1,13,105.96,0.6328,0.4514,9,10,3,0,0,309,0,0
USR_00189,13,0.7647,28,1,41,1410.13,0.6579,-0.2366,11,13,4,1,1,382,4,0
USR_00190,14,0.56,2,1,24,2880.37,0.8165,0.0907,11,13,4,0,1,829,0,0
USR_00191,5,0.2632,27,0,125,1414.94,0.4837,-0.3192,4,5,1,0,0,767,7,0
USR_00192,6,0.75,14,0,35,623.55,0.5642,-0.2481,5,5,2,1,0,740,4,0
USR_00193,14,0.6364,4,1,36,1363.08,0.4572,0.4305,11,13,4,0,0,453,10,0
USR_00194,11,0.7333,8,1,7,620.61,0.7747,0.5112,9,12,3,0,0,1152,2,0
USR_00195,16,0.64,14,2,27,1026.21,0.6213,0.2785,13,14,5,0,1,132,4,0
USR_00196,9,0.6,24,1,9,710.99,0.7831,-0.1496,8,12,3,0,1,430,0,0
USR_00197,23,0.7931,26,3,27,727.08,0.823,-0.3155,19,22,7,0,1,168,11,0
USR_00198,11,0.6875,3,1,14,361.59,0.2977,-0.5506,9,11,3,0,0,426,0,0
USR_00199,19,0.7308,12,2,23,459.13,0.6124,0.054,15,19,6,1,1,1155,0,0
USR_00200,6,0.6667,12,0,112,2440.03,0.6442,-0.5349,5,9,2,1,0,458,1,0
USR_00201,7,0.6364,15,1,8,405.11,0.5763,-0.1137,6,7,2,1,0,1093,9,0
USR_00202,15,0.9375,16,2,32,139.13,0.88,0.1417,12,16,5,0,0,609,0,0
USR_00203,10,0.625,29,1,32,5000.0,0.4399,-0.2896,8,10,3,1,0,848,5,0
USR_00204,12,0.5714,8,1,14,469.07,0.4509,-0.034,10,11,4,0,0,565,8,0
USR_00205,28,0.7568,14,3,23,536.56,0.5581,-0.1489,23,27,9,0,0,341,8,0
USR_00206,15,0.8333,8,2,40,482.19,0.3819,0.1371,12,14,5,1,1,924,1,0
USR_00207,11,0.4783,5,1,24,673.67,0.9256,-0.0101,9,10,3,1,0,1163,0,0
USR_00208,16,0.7273,11,2,6,362.38,0.273,-0.2134,13,14,5,1,1,338,3,0
USR_00209,15,0.5556,1,2,30,2189.77,0.2799,-0.4195,12,13,5,1,1,941,1,0
USR_00210,15,0.5556,23,2,5,566.99,0.5415,0.5758,13,15,5,1,0,335,7,0
USR_00211,9,1.0,13,1,16,288.17,0.5204,-0.2018,7,10,3,1,0,868,2,0
USR_00212,8,1.0,13,1,37,67.02,0.7577,-0.2772,7,11,2,1,0,953,3,0
USR_00213,4,0.3333,15,0,75,1597.03,0.8494,0.349,3,4,1,1,1,555,0,0
USR_00214,7,0.3684,15,0,41,467.52,0.4753,-0.0502,5,7,2,0,0,892,5,0
USR_00215,11,0.6875,27,1,11,898.35,0.8054,0.279,9,12,3,0,0,348,1,0
USR_00216,15,0.625,17,2,0,316.33,0.2925,-0.0064,13,14,5,1,0,122,6,0
USR_00217,21,0.7,23,2,38,716.97,0.3226,0.069,17,20,7,0,0,142,0,0
USR_00218,0,0.0,38,0,162,650.78,0.5735,0.1395,0,1,0,1,0,553,13,0
USR_00219,2,0.1333,1,0,171,1389.5,0.5651,-0.0186,1,2,0,1,0,1086,6,0
USR_00220,2,0.2,24,0,149,759.33,0.3886,-0.3074,2,3,0,0,0,179,1,0
USR_00221,19,0.6333,24,2,26,270.88,0.8278,-0.1405,16,19,6,1,1,563,0,0
USR_00222,15,0.625,19,2,31,4545.71,0.8131,-0.6541,13,16,5,0,1,853,2,0
USR_00223,11,0.7333,2,1,17,941.67,0.2916,0.1945,9,10,3,1,0,266,0,0
USR_00224,9,0.5294,0,1,35,312.34,0.5553,-0.2288,7,10,3,0,0,874,1,0
USR_00225,15,0.5769,0,2,12,773.78,0.8752,-0.3765,13,15,5,1,0,387,11,0
USR_00226,7,0.35,21,0,37,909.47,0.3643,0.1861,6,9,2,0,0,976,5,0
USR_00227,3,0.75,16,0,141,979.73,0.3838,-0.0097,2,6,1,0,0,707,0,0
USR_00228,22,0.8148,11,3,14,889.47,0.6016,0.336,18,19,7,0,0,669,4,0
USR_00229,12,0.9231,15,1,14,809.39,0.4411,-0.6407,10,14,4,1,0,236,1,0
USR_00230,6,0.75,13,0,143,1385.97,0.7748,-0.1109,5,9,2,1,0,571,13,0
USR_00231,9,0.75,9,1,36,1190.7,0.6752,-0.1821,7,9,3,0,0,1032,0,0
USR_00232,18,0.5806,22,2,2,1208.54,0.4512,0.231,15,19,6,1,1,52,8,0
USR_00233,15,0.75,13,2,18,160.57,0.7191,0.0525,13,13,5,0,1,917,9,0
USR_00234,7,0.35,16,0,88,166.09,0.9057,0.4827,5,7,2,0,0,606,0,0
USR_00235,7,0.5,27,0,78,352.64,0.53,0.5087,5,8,2,0,1,871,0,0
USR_00236,20,1.0,27,2,21,545.25,0.4289,0.2055,17,17,6,1,0,806,3,0
USR_00237,14,0.7368,20,1,19,362.14,0.8013,0.0839,12,15,4,1,0,535,10,0
USR_00238,15,0.6,27,2,23,295.11,0.9142,-0.4201,12,12,5,0,1,391,4,0
USR_00239,6,0.4,10,0,34,805.21,0.7264,0.1738,5,9,2,0,0,763,6,0
USR_00240,2,0.2857,11,0,75,330.88,0.7435,0.6358,2,6,0,1,0,194,9,0
USR_00241,8,0.8889,28,1,5,97.24,0.7457,0.3907,7,7,2,0,0,713,10,0
USR_00242,11,0.5,26,1,7,224.4,0.5298,-0.1651,9,9,3,1,1,140,4,0
USR_00243,16,0.6957,4,2,43,408.38,0.3702,-0.0859,13,15,5,1,0,790,4,0
USR_00244,11,0.5,0,1,2,540.98,0.6818,0.5358,9,11,3,1,1,765,7,0
USR_00245,1,0.2,5,0,185,1365.06,0.4928,-0.3388,1,3,0,0,0,128,1,0
USR_00246,15,0.8824,22,2,33,941.65,0.6171,0.0788,12,15,5,0,0,916,10,0
USR_00247,11,0.6875,6,1,27,133.73,0.6946,-0.1984,9,12,3,0,0,516,0,0
USR_00248,5,0.625,29,0,74,2126.14,0.5255,-0.1409,4,4,1,1,0,950,1,0
USR_00249,14,0.6667,6,1,5,567.1,0.4814,0.1209,11,12,4,0,0,78,9,0
USR_00250,25,0.7812,5,3,17,702.98,0.4133,0.1766,21,22,8,0,0,239,2,0
USR_00251,19,0.95,2,2,31,732.88,0.8119,-0.1448,16,20,6,1,0,607,0,0
USR_00252,20,0.7407,28,2,2,336.25,0.1959,0.2612,17,17,6,0,0,250,1,0
USR_00253,6,0.5455,9,0,47,1043.92,0.8233,0.2196,5,7,2,1,0,415,4,0
USR_00254,13,0.65,24,1,35,139.96,0.5308,0.2322,11,11,4,0,0,802,10,0
USR_00255,1,0.0833,16,0,132,1943.19,0.3633,0.0648,1,2,0,1,0,199,0,0
USR_00256,10,0.625,4,1,35,772.8,0.465,0.4495,8,9,3,0,0,822,0,0
USR_00257,12,0.75,6,1,21,889.44,0.048,-0.2996,10,11,4,1,0,150,3,0
USR_00258,14,0.5185,2,1,4,1013.63,0.5895,0.0529,12,16,4,1,1,234,13,0
USR_00259,15,0.5769,3,2,24,467.24,0.5414,-0.1068,12,14,5,0,1,717,2,0
USR_00260,14,0.5,24,1,18,1838.9,0.4425,0.105,12,16,4,0,1,958,13,0
USR_00261,7,0.7,19,0,160,372.35,0.3586,0.3342,5,6,2,1,0,229,11,0
USR_00262,8,0.4706,4,1,37,298.73,0.8597,-0.3899,7,8,2,1,0,380,2,0
USR_00263,11,0.5,12,1,15,749.35,0.2787,0.0018,9,10,3,0,0,1112,10,0
USR_00264,11,0.4583,6,1,40,220.91,0.3243,-0.1639,9,13,3,0,0,1187,6,0
USR_00265,27,0.931,19,3,39,422.83,0.8102,0.359,22,26,9,0,1,709,4,0
USR_00266,17,0.85,3,2,21,819.44,0.7517,0.4733,14,18,5,0,1,553,3,0
USR_00267,7,0.3333,7,0,101,1197.56,0.2492,-0.3449,6,7,2,1,1,435,10,0
USR_00268,15,0.6522,20,2,32,645.53,0.6213,0.1803,13,13,5,0,0,746,9,0
USR_00269,1,0.3333,22,0,165,322.66,0.6196,1.0,1,1,0,0,1,721,8,0
USR_00270,11,0.8462,29,1,29,507.88,0.3944,0.0644,9,10,3,0,0,374,13,0
USR_00271,5,0.2632,29,0,31,389.77,0.7363,-0.0081,4,4,1,0,0,56,4,0
USR_00272,12,0.48,21,1,34,615.16,0.4925,0.125,10,14,4,1,0,207,9,0
USR_00273,12,0.8,7,1,43,404.96,0.2723,0.2761,10,14,4,0,0,1151,10,0
USR_00274,16,0.6667,24,2,14,304.34,0.7797,0.4206,13,15,5,0,0,519,1,0
USR_00275,14,0.5833,19,1,17,275.49,0.6651,0.4716,12,15,4,1,0,594,0,0
USR_00276,1,0.1429,28,0,184,152.83,0.528,-0.2962,0,0,0,0,0,576,3,0
