beneficiary_id,age_bracket,region_encoded,grant_type_encoded,dependant_count,has_proxy,redemption_channel_pref_encoded,avg_redemption_amount,redemption_frequency,days_since_last_payment,digital_literacy_score,household_size_estimate,enrollment_duration_days
BEN_00106,4,3,1,1,1,1,1143.07,0,0,0.4534,3,1182
BEN_00107,5,4,0,1,1,1,1327.32,0,48,0.3079,2,946
BEN_00108,4,13,4,1,1,2,1199.63,1,56,0.3501,2,1386
BEN_00109,5,1,0,1,1,0,1259.18,1,35,0.4312,2,229
BEN_00110,4,0,1,3,0,0,1251.25,0,7,0.5824,4,715
BEN_00111,5,7,0,3,1,0,1343.27,1,34,0.0347,6,260
BEN_00112,5,5,1,0,0,1,1283.09,1,39,0.1165,1,621
BEN_00113,3,0,3,1,0,4,281.29,1,39,0.597,4,249
BEN_00114,3,2,4,1,0,0,1284.41,1,3,0.5613,3,1456
BEN_00115,5,1,2,2,1,3,282.44,2,16,0.24,3,364
BEN_00116,5,4,4,0,0,0,1264.22,1,77,0.4273,1,713
BEN_00117,3,1,0,0,1,4,1200.46,2,0,0.5334,2,1439
BEN_00118,4,7,1,0,0,0,1238.31,0,49,0.2734,3,1405
BEN_00119,3,4,1,1,1,4,1171.89,2,68,0.3514,2,958
BEN_00120,4,0,0,3,0,2,1122.16,1,13,0.5746,4,598
BEN_00121,3,4,4,4,0,1,1144.88,3,55,0.5563,7,1178
BEN_00122,2,5,2,1,0,4,275.96,1,30,0.6498,4,1002
BEN_00123,3,4,2,1,0,3,293.2,0,31,0.661,3,359
BEN_00124,4,1,0,2,0,2,1148.45,0,53,0.4548,3,1135
BEN_00125,5,12,1,1,0,4,1299.05,1,16,0.1269,2,679
BEN_00126,2,1,0,0,1,4,1299.79,0,63,0.7322,2,509
BEN_00127,3,1,1,1,0,2,1238.1,0,63,0.6684,4,81
BEN_00128,3,3,0,0,0,0,1314.25,0,13,0.3525,2,1204
BEN_00129,2,2,2,2,0,2,264.48,0,73,0.6776,4,1259
BEN_00130,5,9,2,2,1,0,274.35,0,38,0.344,3,235
BEN_00131,4,0,0,1,0,3,1344.53,1,80,0.543,3,496
BEN_00132,2,10,0,5,1,3,1240.0,1,15,0.463,6,1447
BEN_00133,3,5,3,0,0,4,272.12,1,29,0.3892,2,405
BEN_00134,3,10,1,2,0,1,1139.6,1,35,0.613,3,262
BEN_00135,5,0,4,1,0,2,1307.2,1,54,0.2867,4,525
BEN_00136,3,3,0,2,0,0,1224.16,0,21,0.6978,6,1231
BEN_00137,4,11,0,1,0,1,1197.42,1,22,0.4243,3,1404
BEN_00138,4,11,1,1,0,1,1354.32,0,17,0.3313,3,416
BEN_00139,5,2,2,1,0,1,242.26,1,21,0.6137,3,1430
BEN_00140,3,9,2,2,0,0,272.99,1,61,0.354,3,55
BEN_00141,1,6,0,3,0,1,1226.79,1,47,0.851,5,1264
BEN_00142,5,3,1,1,0,0,1233.38,2,82,0.3783,3,129
BEN_00143,2,8,0,2,0,4,1174.97,0,63,0.474,4,796
BEN_00144,5,4,2,1,0,1,276.42,0,16,0.0453,2,1317
BEN_00145,5,2,4,1,0,0,1341.53,2,46,0.4724,2,969
BEN_00146,5,3,2,1,1,4,279.38,2,64,0.1536,3,1194
BEN_00147,5,12,4,1,0,1,1377.45,2,37,0.1445,5,786
BEN_00148,5,3,3,0,0,2,251.83,1,80,0.3036,2,898
BEN_00149,5,1,0,1,0,4,1138.69,0,25,0.5499,6,460
BEN_00150,3,5,0,2,0,2,1332.21,0,80,0.382,4,515
BEN_00151,4,12,0,1,0,4,1334.29,0,79,0.1889,2,1032
BEN_00152,4,5,2,1,0,4,246.52,1,78,0.4825,3,1120
BEN_00153,3,9,1,1,0,1,1246.99,0,13,0.6061,2,1438
BEN_00154,5,10,1,2,0,4,1373.88,0,16,0.1279,4,409
BEN_00155,4,11,1,6,0,3,1292.98,0,52,0.3286,8,678
BEN_00156,3,0,0,1,0,2,1369.47,1,2,0.6072,4,820
BEN_00157,2,5,0,1,1,1,1307.13,0,7,0.7882,3,690
BEN_00158,5,9,3,0,0,2,298.83,2,79,0.1225,2,1323
BEN_00159,3,5,4,2,0,2,1141.68,2,29,0.5392,4,182
BEN_00160,5,8,1,1,0,1,1251.59,1,61,0.2669,4,902
BEN_00161,5,6,0,2,1,1,1192.2,0,88,0.0361,4,1183
BEN_00162,2,3,0,4,0,1,1261.55,1,3,0.5267,6,226
BEN_00163,2,12,0,2,1,1,1363.11,1,50,0.5615,4,886
BEN_00164,3,3,1,1,0,1,1371.95,0,6,0.4783,2,322
BEN_00165,4,8,4,2,1,4,1297.67,2,62,0.417,4,942
BEN_00166,3,2,0,2,0,3,1200.74,0,47,0.8824,5,88
BEN_00167,3,3,0,1,0,4,1122.73,1,10,0.529,2,405
BEN_00168,5,9,2,0,0,0,258.38,0,41,0.2359,2,904
BEN_00169,4,10,0,1,0,1,1160.49,0,24,0.398,3,811
BEN_00170,3,1,2,1,0,3,251.19,2,56,0.6348,3,1260
BEN_00171,4,13,1,3,0,1,1326.48,1,29,0.3974,6,646
BEN_00172,5,0,0,2,1,0,1190.99,1,3,0.3418,4,1113
BEN_00173,5,9,0,1,0,4,1206.97,1,11,0.2583,3,1010
BEN_00174,4,3,1,1,0,1,1213.8,0,52,0.3545,4,686
BEN_00175,4,4,4,1,0,0,1129.29,0,65,0.2694,3,877
BEN_00176,4,6,3,2,0,2,245.26,0,58,0.2322,3,1356
BEN_00177,4,3,0,3,0,0,1319.34,1,64,0.2302,4,607
BEN_00178,4,13,0,1,0,1,1383.04,0,36,0.3367,4,816
BEN_00179,2,2,4,1,0,1,1274.39,1,17,1.0,2,1496
BEN_00180,4,0,3,4,0,0,280.44,2,3,0.5474,7,1422
BEN_00181,3,11,2,2,1,2,266.98,3,57,0.5969,3,1330
BEN_00182,3,2,2,1,1,1,280.1,0,60,0.812,2,781
BEN_00183,5,13,1,1,1,1,1391.92,0,36,0.1285,4,686
BEN_00184,3,11,0,1,0,0,1216.71,1,31,0.5983,4,1113
BEN_00185,4,2,0,0,0,0,1216.6,0,8,0.6046,3,563
BEN_00186,5,5,3,0,0,4,267.42,1,4,0.0996,3,641
BEN_00187,1,12,0,3,1,1,1127.42,0,51,0.8822,4,133
BEN_00188,1,0,2,0,0,3,249.19,1,41,1.0,1,1363
BEN_00189,4,5,2,2,0,0,240.28,0,48,0.3556,5,532
BEN_00190,3,9,2,3,0,1,295.06,0,82,0.4306,6,68
BEN_00191,5,0,3,1,1,1,282.52,1,87,0.2946,3,1340
BEN_00192,2,4,1,5,1,0,1191.81,1,44,0.6027,7,389
BEN_00193,4,4,3,1,0,1,266.31,0,63,0.2526,3,1278
BEN_00194,4,12,0,1,0,3,1220.23,2,26,0.3299,2,1366
BEN_00195,3,13,0,2,0,3,1166.97,2,30,0.5657,3,1443
BEN_00196,4,0,2,2,1,2,281.53,0,76,0.5747,3,1257
BEN_00197,4,0,0,3,0,2,1397.4,1,4,0.7588,6,1188
BEN_00198,5,3,2,3,0,1,291.05,0,62,0.3029,6,1006
BEN_00199,3,4,0,0,0,3,1398.78,1,75,0.5154,3,334
BEN_00200,2,1,2,1,0,4,250.79,0,50,0.8413,3,1319
BEN_00201,5,8,3,2,0,1,297.39,0,66,0.1985,3,441
BEN_00202,2,1,4,0,0,2,1140.17,1,38,0.8577,2,757
BEN_00203,5,9,4,1,1,3,1190.64,0,24,0.1881,3,1215
BEN_00204,2,1,0,2,1,0,1222.39,2,83,0.8577,4,783
BEN_00205,4,11,1,1,0,0,1387.52,1,85,0.2125,3,969
BEN_00206,4,0,1,2,0,4,1167.46,2,38,0.536,4,1129
BEN_00207,3,6,2,0,0,1,258.96,1,67,0.4685,1,1333
BEN_00208,5,4,0,1,0,0,1285.52,0,2,0.2447,2,181
BEN_00209,2,0,0,4,1,1,1275.34,4,89,0.7684,7,1324
BEN_00210,5,1,0,4,0,0,1250.86,1,67,0.5601,5,1308
BEN_00211,4,5,1,2,0,0,1330.66,3,62,0.4185,4,427
BEN_00212,4,6,0,0,0,1,1172.77,0,41,0.2927,1,545
BEN_00213,4,7,2,0,0,1,249.78,2,77,0.2411,3,477
BEN_00214,3,9,4,0,0,1,1304.77,1,86,0.3618,2,1270
BEN_00215,2,11,3,3,0,2,269.78,0,28,0.6046,4,1463
BEN_00216,5,13,3,3,0,1,267.25,1,65,0.3226,4,1062
BEN_00217,4,12,2,4,0,4,279.99,1,76,0.4389,6,225
BEN_00218,5,12,2,0,0,3,286.35,1,54,0.3287,3,219
BEN_00219,2,5,2,1,0,0,243.63,1,34,0.5135,3,1433
BEN_00220,3,3,2,3,1,0,266.5,0,65,0.3466,5,96
BEN_00221,5,13,1,1,0,2,1305.32,3,68,0.1783,2,30
BEN_00222,3,1,4,1,0,0,1268.83,0,82,0.7193,5,122
BEN_00223,5,0,0,1,0,0,1297.42,2,57,0.3308,2,326
BEN_00224,3,6,0,2,0,2,1325.84,1,19,0.3883,4,752
BEN_00225,4,13,0,1,1,1,1345.91,1,71,0.4613,2,716
BEN_00226,5,6,0,0,1,1,1165.16,2,15,0.252,1,1300
BEN_00227,2,10,2,0,0,4,242.67,0,44,0.567,3,503
BEN_00228,3,5,1,2,0,1,1310.93,3,8,0.562,5,271
BEN_00229,3,4,0,0,0,3,1355.6,3,61,0.3404,1,804
BEN_00230,5,0,0,1,0,2,1385.45,0,22,0.4302,3,1377
BEN_00231,5,3,3,0,0,1,264.11,0,51,0.1684,3,36
BEN_00232,4,3,3,1,0,4,297.39,0,6,0.2326,4,281
BEN_00233,5,0,0,1,0,0,1195.91,1,55,0.3307,2,1201
BEN_00234,4,9,1,2,0,3,1320.59,1,50,0.1801,4,958
BEN_00235,3,3,1,1,0,0,1326.14,1,35,0.4321,2,777
BEN_00236,4,8,2,3,0,1,253.96,0,36,0.5427,5,154
BEN_00237,4,6,4,1,0,3,1164.09,2,16,0.3544,2,985
BEN_00238,3,5,0,0,1,4,1303.04,1,51,0.3998,4,470
BEN_00239,3,2,1,1,0,0,1340.2,0,38,0.7064,2,40
BEN_00240,5,13,2,2,0,2,278.8,0,89,0.1068,4,961
BEN_00241,5,0,4,0,0,0,1244.8,1,1,0.4445,4,718
BEN_00242,4,5,0,3,0,2,1289.59,0,47,0.2381,5,505
BEN_00243,3,1,2,1,0,3,248.92,0,78,0.6307,4,605
BEN_00244,4,3,3,1,0,1,285.82,0,32,0.503,5,370
BEN_00245,5,2,0,2,1,0,1396.2,2,25,0.3076,5,1009
BEN_00246,3,8,1,4,0,1,1319.16,1,68,0.5799,6,1077
BEN_00247,4,2,1,7,0,0,1277.36,1,4,0.7085,8,1365
BEN_00248,4,12,2,2,0,1,286.89,0,35,0.3589,4,1005
BEN_00249,3,1,0,1,0,0,1381.83,0,50,0.8582,3,1293
BEN_00250,3,0,2,1,1,0,261.54,1,80,0.8669,4,831
BEN_00251,4,0,0,2,1,1,1398.75,1,8,0.5663,6,218
BEN_00252,4,9,0,0,0,1,1350.42,0,54,0.3254,2,629
BEN_00253,2,0,0,3,0,0,1250.95,0,60,0.7442,5,389
BEN_00254,2,0,2,3,0,0,255.64,2,46,0.9063,6,1101
BEN_00255,1,4,0,4,1,4,1386.85,0,62,0.7512,6,516
BEN_00256,3,4,1,1,0,1,1346.38,1,50,0.7121,3,376
BEN_00257,4,10,1,5,0,4,1247.84,4,83,0.4557,6,733
BEN_00258,1,4,2,1,1,4,265.62,0,28,1.0,4,463
BEN_00259,4,5,1,1,1,1,1336.57,0,67,0.4038,3,711
BEN_00260,2,4,2,2,1,3,290.67,2,51,0.5591,5,499
BEN_00261,4,3,2,1,0,4,284.28,1,68,0.4497,3,1255
BEN_00262,2,1,2,0,1,3,248.28,0,34,0.7193,5,543
BEN_00263,4,3,0,3,0,1,1364.49,0,6,0.5597,6,424
BEN_00264,5,6,0,1,0,2,1377.17,0,33,0.1393,5,608
BEN_00265,5,5,0,1,1,4,1252.02,2,80,0.1744,2,1326
BEN_00266,3,0,2,1,0,0,283.16,2,64,0.7849,3,1306
BEN_00267,5,0,1,0,0,4,1250.76,1,25,0.6268,1,577
BEN_00268,4,13,1,0,0,4,1291.6,2,71,0.2719,1,159
BEN_00269,4,10,0,1,0,4,1304.6,1,78,0.1934,2,1022
BEN_00270,3,1,2,2,0,4,247.33,1,60,0.6238,4,1353
BEN_00271,5,4,0,1,1,1,1222.14,2,2,0.1401,4,912
BEN_00272,2,0,2,2,1,0,260.69,4,37,0.941,3,781
BEN_00273,3,0,2,2,0,2,281.33,0,49,0.7023,5,726
BEN_00274,4,0,0,1,0,0,1125.3,0,76,0.6502,2,1142
BEN_00275,4,0,2,1,0,1,288.95,3,48,0.708,3,1333
BEN_00276,3,0,2,0,0,2,274.75,1,12,0.6862,4,576
BEN_00277,5,4,1,1,0,1,1311.79,0,23,0.318,5,1372
BEN_00278,3,1,1,1,0,2,1200.7,0,86,0.887,3,313
BEN_00279,3,0,2,1,0,2,252.16,0,87,0.6822,5,68
BEN_00280,4,9,3,2,1,1,275.23,1,19,0.4387,3,619
BEN_00281,3,3,4,1,0,4,1151.78,0,24,0.5244,2,394
BEN_00282,3,3,1,1,1,4,1130.64,1,53,0.3575,3,720
BEN_00283,4,2,1,2,0,0,1147.63,3,16,0.5227,3,1232
BEN_00284,3,10,0,4,0,1,1208.86,0,2,0.3445,7,1161
BEN_00285,4,0,2,2,1,3,281.18,1,48,0.3814,6,362
BEN_00286,5,4,2,0,1,4,256.54,0,58,0.1973,1,729
BEN_00287,3,12,0,0,0,4,1191.56,0,39,0.5383,3,609
BEN_00288,3,13,2,5,1,2,255.56,0,0,0.5271,6,1137
BEN_00289,4,0,2,2,1,0,263.03,2,45,0.5138,3,578
BEN_00290,2,0,2,0,1,0,269.73,1,22,1.0,2,467
BEN_00291,5,11,3,4,0,2,293.24,2,46,0.2312,7,305
BEN_00292,4,13,2,1,0,1,273.3,1,17,0.2995,3,1376
BEN_00293,5,5,2,2,0,4,243.41,0,2,0.1728,5,753
BEN_00294,5,6,0,2,0,4,1121.04,3,53,0.1334,5,89
BEN_00295,4,6,0,3,1,1,1333.4,0,75,0.4655,6,512
BEN_00296,5,5,2,0,0,1,240.08,2,28,0.067,2,411
BEN_00297,2,10,2,5,0,4,255.1,1,58,0.5788,7,931
BEN_00298,4,2,4,2,0,0,1314.77,4,61,0.7059,5,603
BEN_00299,2,13,2,1,0,1,260.68,0,55,0.5499,5,237
BEN_00300,2,12,1,3,0,3,1230.06,0,56,0.6233,4,704
BEN_00301,4,0,1,0,0,0,1334.81,0,27,0.4338,3,884
BEN_00302,2,4,3,0,0,1,256.69,3,73,0.7027,2,1342
BEN_00303,3,6,1,1,0,1,1132.6,1,65,0.5467,3,835
BEN_00304,5,2,1,0,0,4,1387.98,2,61,0.4574,2,468
BEN_00305,2,6,0,1,0,1,1286.9,1,84,0.8878,3,1437
BEN_00306,4,4,0,3,0,1,1386.08,0,8,0.2629,5,1492
BEN_00307,5,3,3,0,0,0,240.59,2,64,0.0491,3,806
BEN_00308,4,9,0,5,0,1,1199.42,1,26,0.2841,8,585
BEN_00309,3,0,2,2,1,4,247.17,0,9,0.8457,3,1276
BEN_00310,3,4,4,1,0,0,1325.89,0,68,0.4721,2,1143
BEN_00311,5,1,2,0,1,0,241.78,1,11,0.257,1,1137
BEN_00312,4,2,2,1,0,3,271.12,1,39,0.6278,5,1168
BEN_00313,5,5,4,1,0,3,1246.75,1,33,0.25,4,751
BEN_00314,5,2,4,0,0,4,1382.19,1,88,0.2862,1,1251
BEN_00315,3,5,2,0,1,4,252.36,1,45,0.3809,2,656
BEN_00316,1,12,3,0,1,4,299.33,1,41,0.9774,1,389
BEN_00317,4,7,0,1,0,2,1244.02,1,5,0.2737,3,1431
BEN_00318,4,1,2,1,1,0,260.15,3,75,0.4585,2,927
BEN_00319,5,13,4,4,0,1,1214.41,0,67,0.1479,9,176
BEN_00320,4,1,0,1,0,0,1224.07,0,40,0.6779,3,1383
BEN_00321,5,6,0,1,0,1,1134.75,2,10,0.1593,2,617
BEN_00322,3,0,3,1,0,1,260.26,0,76,0.6779,4,830
BEN_00323,5,4,2,1,0,1,271.52,0,63,0.1444,2,348
BEN_00324,4,0,2,3,0,0,256.07,3,23,0.455,7,846
BEN_00325,5,9,0,2,0,1,1316.7,0,55,0.1399,3,682
BEN_00326,5,5,1,1,0,1,1343.53,1,25,0.2969,4,187
BEN_00327,1,0,0,2,0,1,1155.78,1,37,1.0,4,611
BEN_00328,4,0,2,0,0,0,298.42,2,22,0.4509,2,328
BEN_00329,4,1,0,2,0,0,1133.28,1,4,0.4077,4,1053
BEN_00330,3,1,1,2,0,2,1266.17,0,17,0.5331,3,245
BEN_00331,3,9,4,1,1,1,1132.15,1,44,0.3365,3,81
BEN_00332,3,2,2,1,0,1,262.17,3,33,0.5665,4,1414
BEN_00333,4,0,1,0,0,0,1258.11,1,7,0.4826,2,165
BEN_00334,5,4,4,1,1,0,1165.3,1,35,0.364,2,1486
BEN_00335,3,0,2,4,0,2,253.85,2,16,0.624,6,505
BEN_00336,2,4,2,4,1,4,254.15,0,12,0.5167,6,348
BEN_00337,3,10,2,2,0,1,267.79,3,20,0.3998,3,234
BEN_00338,4,2,0,1,1,3,1181.26,1,43,0.5478,4,860
BEN_00339,4,11,0,1,0,0,1262.77,2,49,0.3963,3,1443
BEN_00340,4,1,1,1,0,1,1330.73,0,33,0.4437,4,490
BEN_00341,3,6,0,2,0,4,1370.16,1,80,0.6847,4,1437
BEN_00342,5,4,2,1,1,1,241.54,0,6,0.2154,3,1488
BEN_00343,5,4,0,0,0,1,1201.77,0,89,0.3967,1,1345
BEN_00344,4,2,1,1,1,0,1201.96,0,37,0.5656,2,547
BEN_00345,3,5,0,0,0,1,1289.92,1,32,0.575,2,417
BEN_00346,5,0,0,2,0,0,1199.7,0,3,0.283,4,796
BEN_00347,1,3,4,2,0,4,1244.56,1,62,0.8094,5,1203
BEN_00348,5,4,1,1,0,1,1291.31,2,60,0.2524,5,400
BEN_00349,5,4,0,0,1,1,1283.25,1,66,0.1976,2,107
BEN_00350,2,0,2,2,1,1,290.44,1,14,0.6919,4,279
BEN_00351,2,7,2,0,0,4,246.43,0,10,0.6043,3,481
BEN_00352,5,4,1,5,0,1,1324.65,2,71,0.3512,7,143
BEN_00353,4,0,1,1,1,0,1284.5,0,33,0.4205,3,499
BEN_00354,4,11,1,4,0,1,1274.15,1,72,0.4875,7,195
BEN_00355,3,11,2,1,1,2,253.33,0,72,0.5043,5,1364
BEN_00356,3,0,1,1,1,1,1259.18,1,60,0.7196,3,1169
BEN_00357,3,1,1,2,0,0,1238.67,0,9,0.7448,5,488
BEN_00358,2,5,4,2,0,4,1346.4,0,44,0.7011,3,449
BEN_00359,5,6,3,4,0,3,269.54,1,53,0.1773,5,1105
BEN_00360,2,10,1,1,1,0,1367.31,2,66,0.4605,3,741
BEN_00361,2,6,1,1,0,3,1398.95,0,34,0.792,2,764
BEN_00362,4,9,1,2,0,2,1269.35,0,5,0.2408,3,41
BEN_00363,4,5,4,0,0,1,1303.83,0,54,0.3003,1,570
BEN_00364,2,13,0,2,0,2,1283.49,1,76,0.6331,4,548
BEN_00365,3,11,0,1,0,4,1317.86,4,44,0.5625,6,688
BEN_00366,2,7,0,1,0,4,1150.75,1,44,0.5665,3,1278
BEN_00367,3,3,0,3,0,4,1237.45,1,22,0.4872,5,1119
BEN_00368,5,0,4,1,0,0,1177.46,2,27,0.3876,3,750
BEN_00369,5,3,4,1,1,4,1165.33,0,70,0.1175,3,457
BEN_00370,5,0,4,1,0,2,1165.8,0,11,0.5295,2,161
BEN_00371,5,7,4,4,1,2,1235.05,0,82,0.121,7,1054
BEN_00372,3,0,1,1,0,0,1349.04,1,52,0.8236,4,947
BEN_00373,2,12,2,1,0,1,279.65,2,37,0.5293,2,91
