region_encoded,day_of_week,day_of_month,is_payday_week,agent_count_in_region,active_beneficiaries_in_region,avg_historical_daily_demand,seasonal_index,recent_7d_avg_demand,pending_voucher_value_in_region,daily_demand_nad
11,6,27,0,11,504,7076.84,0.9546,7678.72,13160.44,1163.31
4,4,30,0,12,519,4375.41,0.9926,4085.4,39178.77,500.0
0,1,2,1,6,480,13811.54,1.0623,16371.85,51386.51,24158.72
2,0,10,0,11,500,16306.16,1.0901,15347.36,14705.23,8321.87
2,0,7,0,8,500,2760.6,1.1257,2518.07,12805.77,1284.22
3,3,3,1,10,499,8524.45,1.1393,6864.61,12264.99,17810.85
3,6,1,1,10,472,8698.93,1.0403,9705.75,22202.07,16304.14
7,2,14,0,11,536,11927.23,1.0622,10629.14,5000.0,9744.28
1,6,26,0,12,512,10792.32,0.9649,11927.64,9160.2,5645.71
7,3,1,1,3,504,8864.86,0.8816,9374.59,22868.1,7978.07
1,5,15,0,5,509,12417.99,0.9484,11810.8,14912.6,4635.49
0,1,2,1,6,487,5145.45,1.0304,5871.38,20037.92,7816.47
3,1,6,0,7,499,6567.94,1.0904,6677.67,22656.57,5493.62
0,0,26,0,7,537,8751.28,0.8637,9642.6,5000.0,9598.62
2,4,11,0,8,503,14754.24,1.1082,15782.8,10447.55,12263.13
2,1,12,0,6,509,22126.1,1.1086,20115.56,5000.0,10706.07
13,3,14,0,8,523,7337.3,1.0827,6403.92,7156.68,4718.9
8,0,1,1,6,523,4118.81,1.0693,3868.65,14644.75,1274.09
10,3,28,0,12,470,10375.69,0.8308,8775.27,7925.95,5500.14
1,4,4,1,3,488,8668.73,1.0758,8853.65,5393.95,12752.66
4,1,28,0,8,512,17919.05,0.9613,18021.52,9951.56,11569.15
5,1,10,0,6,471,4174.23,1.0746,4149.51,37897.47,12176.73
4,4,18,0,4,506,8045.82,0.8885,8124.8,6449.6,6052.46
8,5,17,0,8,486,4867.89,0.8951,4581.9,11892.17,500.0
3,5,19,0,10,519,13401.7,0.9225,14904.97,21091.23,12227.96
0,4,11,0,14,505,4642.56,1.0776,4924.19,38034.0,4013.31
6,5,30,0,12,475,4512.82,0.9687,4360.06,23838.48,2251.44
9,4,3,1,15,544,8078.81,0.9599,9577.03,26323.35,12628.29
0,0,26,0,12,498,7020.55,0.9196,6912.11,5000.0,4387.7
0,3,9,0,5,421,7803.46,1.0563,8269.58,41075.48,5450.1
7,2,6,0,12,510,12954.1,1.0006,14643.27,32999.04,3943.91
9,4,25,0,9,489,4797.22,0.9003,5361.96,46561.65,2901.45
3,2,12,0,10,508,8049.0,1.0815,8837.49,25130.79,8269.47
2,4,10,0,11,520,3202.72,1.0341,2693.1,29522.75,6488.94
5,4,18,0,11,515,6399.05,0.9876,5280.34,9752.53,1410.4
2,0,6,0,7,467,6041.77,1.1432,5520.16,15632.41,4536.62
1,0,27,0,7,529,19254.84,0.8747,16687.53,15184.13,12169.29
4,4,11,0,7,518,17874.13,1.0724,14508.75,15912.9,4427.71
11,0,12,0,8,551,14871.69,1.0568,14255.58,42076.96,11438.34
7,0,27,0,8,487,6370.87,0.9022,6429.8,63606.97,6854.93
0,6,25,0,9,481,11950.51,0.9684,13158.51,24430.9,8043.56
2,3,5,1,8,503,6271.35,1.1637,5857.17,55451.35,7982.47
9,4,18,0,8,487,9320.98,0.9253,11053.16,46251.26,9240.6
11,0,26,0,8,505,2053.16,0.9721,2293.84,21658.82,500.0
0,6,15,0,5,466,4778.56,0.9859,4647.52,6943.03,11095.84
1,4,13,0,11,460,11170.94,1.0521,12291.66,46594.63,5592.72
12,6,7,0,6,519,5738.22,1.1991,5834.52,5972.65,6433.72
5,5,16,0,8,513,8638.05,1.0618,9027.75,32194.04,7834.56
0,2,13,0,7,499,9603.38,1.026,10409.68,64752.75,6685.23
7,0,13,0,2,484,12216.3,1.0597,14421.01,36979.65,10907.35
0,1,27,0,10,534,11285.09,0.9382,9242.65,36215.86,5651.0
12,2,13,0,4,497,9630.46,1.0012,9425.04,54975.17,6291.11
0,5,6,0,6,470,2738.77,1.0538,2800.64,15349.36,604.14
8,4,24,0,9,477,2539.95,0.8698,2504.31,5171.12,500.0
0,6,20,0,11,527,16193.44,0.9208,13580.14,29612.68,6712.48
3,3,26,0,14,539,8578.11,0.9214,8526.6,10301.33,4159.87
0,5,19,0,3,487,8557.74,0.9543,9005.81,137500.97,6480.92
11,3,3,1,11,524,8456.53,1.0433,9553.84,23535.67,13520.64
8,0,16,0,8,467,5979.79,0.9191,5781.57,21457.85,2976.3
2,3,11,0,12,531,13159.84,1.1134,12889.86,8578.33,10834.91
0,1,5,1,6,482,3062.19,1.0487,3370.23,25469.84,8467.76
0,6,28,0,6,514,10356.66,0.8454,10622.57,6989.01,2090.08
0,5,15,0,3,507,7874.86,1.033,7924.28,5503.29,6861.94
10,1,26,0,7,503,15334.73,0.8506,13134.51,33450.36,7156.76
0,1,12,0,4,461,8025.66,1.0555,7523.36,57062.47,500.0
2,5,14,0,12,548,16599.72,1.0189,14188.14,28381.72,10149.19
3,4,20,0,8,515,7066.76,0.9334,7478.96,20406.15,5690.59
2,3,28,0,13,481,13128.77,0.9928,11269.86,25698.8,9838.99
0,4,17,0,2,501,9693.58,1.0081,10211.76,17493.98,7245.73
3,1,13,0,4,505,4277.9,1.0774,3615.67,28911.16,3913.37
0,6,24,0,7,553,13241.9,0.8756,11338.37,15293.52,8876.39
3,3,23,0,5,472,16756.48,0.8754,16598.01,16336.48,10817.2
0,5,5,1,6,494,14785.86,1.1396,17074.84,59154.9,19833.95
1,6,30,0,11,477,10192.62,0.9526,11746.7,23641.66,7427.77
3,6,9,0,9,499,14380.47,1.1641,16360.98,24792.62,11887.33
7,0,26,0,10,512,11555.52,0.9204,11535.22,59145.93,7088.45
4,2,13,0,4,525,10288.88,1.0094,10006.64,19545.9,2547.79
0,0,26,0,6,492,9246.85,0.9123,9198.36,48489.53,4175.01
5,3,1,1,13,511,7509.94,0.9462,6309.21,25282.57,6941.2
1,6,3,1,5,514,7614.44,1.0534,7211.7,5000.0,12287.98
3,4,29,0,6,533,10080.74,0.9524,8679.54,20638.53,4972.55
5,6,4,1,6,496,4484.36,1.0719,5112.29,5000.0,5559.6
0,5,29,0,16,484,7078.47,0.9599,6711.51,10525.75,4196.16
2,0,9,0,9,493,9536.1,1.0779,8786.73,110433.58,5125.1
3,1,12,0,7,478,10631.7,1.0606,9690.94,24191.56,8759.89
5,0,7,0,6,491,3542.21,1.0889,3992.46,32350.34,5188.74
6,0,8,0,9,512,19297.4,1.1083,16286.54,24750.31,17629.54
2,3,26,0,10,480,5071.41,0.8872,4287.49,21945.94,4595.36
10,4,25,0,4,453,9504.42,0.8985,10474.82,35220.49,8381.54
13,2,27,0,8,535,35203.63,0.9504,29861.23,41412.19,19541.41
4,2,9,0,7,503,5666.15,1.097,4611.96,20881.1,2032.69
10,6,19,0,9,493,9205.0,0.9046,9937.92,27008.39,6845.19
12,0,6,0,7,537,7331.48,1.1422,8736.46,33907.73,2421.88
13,6,22,0,6,504,10469.55,0.8966,9672.31,10247.18,6681.2
10,1,18,0,6,529,14565.22,0.9562,13880.42,30987.84,15077.97
9,0,24,0,8,488,11946.46,0.9037,12568.02,17920.73,8597.79
13,1,24,0,13,508,10100.13,0.8845,8179.07,5051.83,7793.47
3,2,20,0,7,507,7936.98,0.878,7324.32,17394.32,10256.41
3,2,13,0,14,494,17595.04,1.0125,18638.4,17478.92,8920.22
1,3,24,0,4,506,9189.23,0.8609,11011.19,22509.83,500.0
9,4,8,0,7,490,6498.42,1.0284,7634.1,25030.25,6272.61
3,2,19,0,10,493,16994.46,0.9227,17242.62,19812.71,14018.25
0,2,19,0,5,509,4217.38,0.9681,3758.42,36531.18,9196.18
10,5,8,0,11,484,9821.12,1.1121,9793.47,13464.0,7434.04
8,4,22,0,10,508,6243.25,1.0197,6241.01,25038.34,4438.72
8,3,8,0,4,500,13921.92,1.0721,16622.0,68099.94,11979.53
9,5,27,0,12,463,8899.63,0.9285,7569.02,37316.31,8654.95
4,2,29,0,14,510,15472.74,0.9585,16954.16,23596.8,11940.53
4,4,18,0,5,498,7969.27,0.8954,7709.93,10944.97,6664.0
7,5,27,0,6,504,13170.13,0.8447,12646.61,23217.67,4909.87
3,6,8,0,11,531,12344.08,1.1786,13567.0,16940.09,8262.16
4,0,5,1,11,509,7742.51,1.1484,7499.43,11296.97,7294.5
0,0,29,0,13,532,6374.64,1.0088,5154.16,26550.63,2711.95
1,4,17,0,6,481,8338.57,0.9404,8706.25,21880.18,6526.34
3,3,8,0,6,513,8199.07,1.1151,8110.46,34455.21,7728.58
1,1,7,0,6,518,3821.23,0.9906,4256.02,6561.67,3802.75
2,5,20,0,5,501,16294.88,0.8857,17556.26,16504.48,7336.01
3,6,11,0,10,479,16301.98,1.0468,18288.68,30105.55,8082.78
13,6,22,0,7,501,8703.46,0.8063,10005.39,23995.71,1454.76
1,4,19,0,4,496,3504.84,1.0286,4041.87,68689.76,5836.44
1,4,18,0,11,463,13945.56,0.9981,11903.61,37715.95,7049.4
13,0,18,0,7,518,6502.46,0.9399,7530.66,20414.0,4264.92
3,6,5,1,7,522,4227.39,1.1188,5028.31,19261.18,6092.18
13,4,25,0,12,503,5947.97,0.9768,5550.86,35694.82,5542.5
10,1,10,0,11,506,6708.96,1.0677,6292.51,62816.95,5606.47
4,3,20,0,13,526,3900.57,0.8097,4050.75,46544.73,500.0
10,3,26,0,11,512,7194.22,0.9315,7376.27,8778.79,1062.73
8,0,3,1,7,517,15799.38,1.0927,17310.29,16164.71,20503.38
5,3,1,1,10,472,19407.15,0.9353,16354.71,26386.26,26358.9
3,6,3,1,7,505,9542.36,1.0473,8606.56,21151.96,19699.65
12,1,29,0,10,503,9024.0,0.9435,7964.64,37810.86,3295.81
12,4,30,0,5,510,14369.38,0.9622,15820.79,16971.26,6365.14
4,0,20,0,7,487,5621.44,0.9655,5047.75,27355.59,10711.89
6,2,14,0,3,518,4476.89,1.1027,4587.57,11047.57,3317.07
9,5,26,0,8,529,5041.1,0.8948,4927.51,98212.31,2923.66
3,0,6,0,8,481,5643.25,1.1068,5377.46,12239.77,9243.14
9,4,19,0,10,494,5582.34,0.903,5834.05,37309.09,6523.19
0,3,2,1,5,504,19029.4,1.0457,16443.5,45429.25,32405.8
2,5,27,0,10,520,9847.7,0.8537,9503.4,52619.42,7991.61
0,5,18,0,6,473,6600.11,1.0113,6494.73,15092.74,1359.37
0,6,24,0,8,464,3901.69,0.7999,3529.5,18346.96,500.0
13,4,22,0,10,488,17093.91,0.8615,19028.55,27228.45,9908.79
4,4,27,0,11,484,8342.01,0.9477,6909.4,11926.5,6650.96
11,5,20,0,12,448,8374.96,0.9569,9896.82,29484.3,4602.97
12,3,11,0,12,500,13124.26,1.0764,12543.84,8161.67,6850.09
2,0,26,0,8,515,9950.47,0.8889,11239.4,33637.34,4640.14
7,1,14,0,4,478,5010.94,1.0795,5516.54,21473.98,6953.29
8,0,12,0,8,534,15373.93,1.0092,13838.16,8731.93,8471.34
7,4,23,0,7,473,14607.2,0.8643,15067.13,30743.88,7937.35
1,0,21,0,12,442,12121.91,0.8989,13185.84,21663.81,1236.39
13,1,30,0,7,522,9392.0,1.0133,10544.08,12383.61,2961.28
8,0,26,0,6,555,5172.1,0.9425,5644.42,20225.8,500.0
3,5,8,0,7,531,8936.49,1.0002,9850.24,12145.13,7777.91
13,0,3,1,8,484,13477.51,1.0941,14592.59,27139.67,23597.11
2,0,26,0,8,498,10673.25,0.9817,9809.41,26815.56,14055.07
4,5,28,0,9,495,9947.02,0.9722,8967.84,11969.26,7019.45
3,3,14,0,4,542,7100.35,0.9777,6485.44,21437.91,6585.49
4,3,1,1,12,497,4263.54,1.0095,4100.96,32698.61,5880.14
13,3,26,0,7,489,10902.95,0.9418,11676.29,11351.2,9090.74
4,1,3,1,6,489,10606.85,1.0628,8903.01,85046.58,20799.34
0,5,22,0,5,508,6609.85,0.8162,6123.2,32752.82,7739.33
3,0,15,0,7,481,3811.68,0.9448,4165.23,19051.24,6340.08
4,3,13,0,5,545,9745.21,1.0587,10575.36,21519.42,4305.11
0,1,11,0,12,501,13175.24,1.1157,14625.51,51469.0,13312.18
2,6,25,0,7,472,9388.94,1.0105,8826.89,23590.96,500.0
5,0,8,0,5,509,10508.83,1.0795,11330.94,20868.79,3252.21
3,0,27,0,4,497,10416.54,0.9058,12295.24,13429.05,7658.48
5,3,15,0,5,464,7200.24,0.9863,7268.25,5000.0,3162.87
6,1,30,0,14,489,12494.74,1.0873,10046.27,15933.43,9293.73
4,4,12,0,7,527,7239.57,0.9449,6442.9,14567.64,6426.62
2,3,19,0,6,524,3896.17,0.8933,3468.0,30737.62,2770.98
3,1,8,0,13,474,8210.5,1.1093,7715.04,19878.15,5718.37
2,0,25,0,5,490,10326.34,0.9638,10331.91,23681.96,5495.54
1,3,9,0,8,476,4904.17,1.0808,5853.85,16571.53,6422.25
2,0,3,1,3,477,7446.5,1.0436,8062.02,16229.85,13275.41
3,0,6,0,13,526,8598.1,1.1164,8818.43,40332.67,5189.71
0,2,28,0,5,492,15268.39,0.901,15542.18,31407.26,10538.42
5,5,18,0,7,473,9703.54,0.9489,10596.01,6136.6,8613.76
8,6,5,1,8,550,9668.21,1.1451,9655.14,7921.81,19087.0
4,1,12,0,7,492,7898.04,1.0633,7729.13,101567.05,2919.39
13,3,16,0,7,493,21573.42,1.0287,23913.4,10193.08,16975.73
