user_id,tx_success_rate,avg_response_time_ms,support_ticket_count_30d,complaint_count_90d,notification_read_rate,feature_adoption_score,session_frequency,tx_volume_30d,failed_tx_count_30d,days_since_last_complaint,onboarding_complete,account_age_days,nps_score
USR_00052,0.8283,572.2,0,0,0.7734,0.21,7,1446.08,0,155,1,289,37
USR_00053,0.5589,606.2,0,1,0.6347,0.4008,11,1865.77,0,99,0,36,23
USR_00054,0.9168,1055.3,1,2,0.3176,0.559,5,3638.28,0,347,1,903,23
USR_00055,0.8246,923.0,0,0,0.6362,0.4312,8,9616.08,1,24,1,579,49
USR_00056,0.7134,907.2,0,2,0.9574,0.7395,4,1144.63,0,172,0,621,46
USR_00057,0.9892,601.9,0,0,0.7376,0.6039,8,6682.1,1,88,1,748,67
USR_00058,0.7914,869.4,0,0,0.2205,0.2913,7,2826.04,0,29,1,530,34
USR_00059,0.8273,780.0,0,1,0.6049,0.4303,7,4084.26,0,300,1,554,30
USR_00060,0.7991,1312.0,2,0,0.4019,0.3968,14,10767.52,0,15,1,729,38
USR_00061,0.7647,394.0,0,1,0.3789,0.3671,10,2903.43,0,183,1,425,37
USR_00062,0.7836,329.9,1,1,0.968,0.8055,6,2608.74,1,305,1,394,42
USR_00063,0.9064,1675.4,1,0,0.6931,0.3621,8,848.71,0,2,1,495,36
USR_00064,0.9654,354.9,0,0,0.5232,0.3282,16,849.0,0,38,0,540,49
USR_00065,0.8308,374.8,0,0,0.6046,0.6335,14,6212.83,0,33,1,894,38
USR_00066,0.8661,1154.4,0,0,0.9733,0.5315,7,23002.3,0,308,0,642,34
USR_00067,0.9739,430.8,1,0,0.8659,0.55,6,858.31,0,127,1,820,51
USR_00068,0.7592,343.3,0,0,0.7451,0.352,8,1189.21,1,112,1,133,48
USR_00069,0.7784,1748.8,1,0,0.389,0.5482,10,14756.42,0,182,1,734,37
USR_00070,0.7797,417.0,0,0,0.7474,0.4793,13,1261.16,0,178,1,959,42
USR_00071,0.933,970.0,3,0,0.73,0.5557,6,2476.55,0,362,1,641,42
USR_00072,0.9459,775.3,0,0,0.2796,0.0994,5,944.71,0,208,1,715,36
USR_00073,0.643,784.7,0,0,0.3159,0.1791,7,4571.31,1,227,1,374,36
USR_00074,0.688,754.1,1,1,0.3823,0.6205,3,1080.48,0,110,0,348,18
USR_00075,0.7946,1196.2,0,1,0.9704,0.433,9,10053.98,0,347,1,260,24
USR_00076,0.8125,671.1,0,1,0.6918,0.2886,7,18442.33,0,152,1,877,31
USR_00077,0.863,533.2,0,0,0.4342,0.1637,13,1185.5,0,143,1,906,29
USR_00078,0.7952,815.2,1,0,0.5529,0.4258,6,2198.32,0,67,1,394,42
USR_00079,0.7089,377.3,2,0,0.9857,0.1705,6,20893.05,0,138,1,404,36
USR_00080,0.739,748.8,1,0,0.531,0.4514,9,3352.99,0,198,1,320,41
USR_00081,0.9059,762.2,0,0,0.9025,0.5794,8,6707.8,0,224,1,829,53
USR_00082,0.9774,506.0,0,0,0.6366,0.5717,8,2671.25,2,211,0,448,37
USR_00083,0.4618,524.8,0,0,0.6524,0.4174,11,2731.53,0,102,1,785,36
USR_00084,0.9711,816.2,1,0,0.6187,0.4822,9,2381.7,1,134,1,743,30
USR_00085,0.7483,496.1,0,0,0.8553,0.2677,9,20640.84,0,361,1,960,30
USR_00086,0.6655,235.5,0,0,0.5816,0.444,10,17554.18,0,32,1,811,41
USR_00087,0.9011,655.1,2,1,0.3113,0.4714,6,1109.34,1,328,1,757,27
USR_00088,0.7877,715.6,0,0,0.0914,0.3036,10,3265.55,0,124,1,45,41
USR_00089,0.9757,487.1,1,0,0.3736,0.361,6,435.95,1,69,1,677,24
USR_00090,0.6535,1719.2,1,0,0.5085,0.684,5,3652.48,0,154,1,936,36
USR_00091,0.955,501.4,1,0,0.4462,0.1994,5,5372.06,0,35,1,244,38
USR_00092,0.9586,996.1,1,1,0.3881,0.2941,11,3127.14,0,87,0,317,25
USR_00093,0.9855,327.2,0,1,0.9065,0.7435,10,3637.36,0,124,1,594,39
USR_00094,0.7036,1367.6,0,0,0.8574,0.0964,11,9168.59,1,278,1,210,50
USR_00095,0.8399,266.7,1,0,0.4024,0.4963,3,4504.66,0,29,0,769,33
USR_00096,0.7321,234.5,0,0,0.6945,0.5115,12,2777.15,0,8,1,627,42
USR_00097,0.9883,673.9,0,0,0.464,0.3983,8,3606.31,0,36,1,153,49
USR_00098,0.5814,715.6,1,0,0.5459,0.4511,8,7619.74,0,334,1,364,18
USR_00099,0.9729,675.3,0,0,0.8109,0.56,11,867.17,0,363,0,931,60
USR_00100,0.889,735.8,0,1,0.7713,0.9305,5,7261.72,0,253,0,335,48
USR_00101,0.8223,916.2,2,1,0.4888,0.1412,8,374.02,2,10,1,896,0
USR_00102,0.553,436.8,0,0,0.7054,0.867,13,10401.95,0,94,1,769,48
USR_00103,0.8843,1154.9,0,0,0.4069,0.7655,7,1823.15,0,66,1,73,45
USR_00104,0.8516,498.4,0,1,0.1635,0.4336,16,5100.73,0,347,1,39,41
USR_00105,0.8245,318.6,1,1,0.4345,0.7434,10,28517.7,1,239,1,995,43
USR_00106,0.8898,677.0,0,1,0.6096,0.3687,7,2830.0,1,231,1,476,31
USR_00107,0.9852,481.0,0,0,0.6935,0.8258,8,703.55,1,13,1,88,54
USR_00108,0.9188,679.3,1,0,0.4267,0.6336,6,1586.71,1,278,1,997,53
USR_00109,0.9657,1665.8,1,1,0.9072,0.8205,9,6833.71,0,180,1,70,45
USR_00110,0.691,721.5,0,0,0.5849,0.2143,8,8731.35,0,268,1,669,36
USR_00111,0.9364,600.2,1,0,0.7882,0.5536,8,1326.9,0,292,1,323,41
USR_00112,0.5412,743.1,1,0,0.5913,0.0635,10,7286.19,2,142,1,659,24
USR_00113,0.9446,812.4,1,0,0.3439,0.5967,9,965.65,0,301,0,219,35
USR_00114,0.8073,462.1,0,0,0.5523,0.7108,17,788.86,0,326,1,212,39
USR_00115,0.7246,479.3,2,1,0.5893,0.2793,9,4036.13,0,348,1,654,19
USR_00116,0.5929,1162.8,0,0,0.8322,0.4409,4,1048.49,0,137,1,156,40
USR_00117,0.6543,1705.5,0,0,0.8531,0.3865,4,4285.34,0,79,1,954,41
USR_00118,0.7541,528.6,0,0,0.5947,0.5528,6,4068.74,1,152,1,590,35
USR_00119,0.809,168.1,0,0,0.8352,0.2853,4,3084.47,0,98,1,679,35
USR_00120,0.8245,705.9,0,0,0.4022,0.3587,13,3926.15,0,259,1,994,48
USR_00121,0.9564,585.3,1,1,0.7827,0.3685,11,792.11,0,233,1,693,27
USR_00122,0.9129,1150.2,1,1,0.5997,0.3694,7,4231.38,1,115,1,58,25
USR_00123,0.6789,965.9,0,0,0.709,0.3365,5,1848.04,0,258,1,477,30
USR_00124,0.9839,1211.3,1,0,0.7469,0.7492,7,1639.55,0,223,0,163,45
USR_00125,0.8903,616.2,0,1,0.9506,0.7192,6,3435.61,0,329,1,326,46
USR_00126,0.8601,352.5,0,0,0.9119,0.5438,10,8316.24,1,70,1,135,44
USR_00127,0.9379,414.4,0,0,0.3208,0.3288,12,1107.65,0,64,0,797,45
USR_00128,0.8336,555.9,0,0,0.8069,0.8385,6,9452.76,0,8,1,575,56
USR_00129,0.9433,1113.8,0,1,0.5546,0.7832,6,3311.95,1,116,1,100,45
USR_00130,0.9281,424.2,0,0,0.461,0.4774,7,841.39,0,252,1,629,40
USR_00131,0.7017,1914.3,0,0,0.4199,0.315,8,7338.6,1,310,1,300,30
USR_00132,0.6971,867.4,1,0,0.2561,0.4733,7,929.87,0,269,1,408,20
USR_00133,0.9872,218.4,0,0,0.9427,0.1091,11,3130.04,1,282,1,291,53
USR_00134,0.7448,1926.0,0,0,0.1638,0.3035,9,3911.96,0,188,1,349,39
USR_00135,0.8317,778.5,2,0,0.8805,0.7289,5,270.85,1,120,1,932,40
USR_00136,0.8423,1177.1,0,0,0.4994,0.5818,9,4868.18,0,184,1,330,51
USR_00137,0.6469,505.0,1,1,0.5016,0.569,8,5544.31,1,75,1,347,28
USR_00138,0.7301,369.2,0,0,0.7777,0.6548,8,2844.04,0,299,1,967,43
USR_00139,0.8754,601.2,1,0,0.8805,0.4002,9,824.64,0,269,1,348,39
USR_00140,0.7854,1310.9,0,0,0.7506,0.5081,5,956.1,0,44,1,134,47
USR_00141,0.8133,267.5,0,1,0.6001,0.8638,6,3118.68,0,268,1,326,42
USR_00142,0.9368,448.9,1,0,0.6879,0.5652,15,12485.73,0,256,1,104,52
USR_00143,0.6832,408.5,1,1,0.6544,0.5094,6,7116.29,1,60,1,607,43
USR_00144,0.9213,927.3,0,0,0.7865,0.4589,14,4932.88,0,135,1,105,38
USR_00145,0.8981,1162.6,0,0,0.4777,0.3305,10,6479.41,0,232,1,812,36
USR_00146,0.87,502.5,1,0,0.4099,0.5357,3,5665.79,1,32,1,214,29
USR_00147,0.6913,698.1,0,1,0.7713,0.6069,7,6094.44,0,14,1,592,37
USR_00148,0.8724,340.9,0,0,0.6225,0.2409,6,5121.45,0,256,0,633,21
USR_00149,0.8265,1027.2,0,0,0.3063,0.5069,12,1838.43,0,72,1,436,31
USR_00150,0.9037,253.5,0,0,0.6907,0.3837,10,5756.97,0,73,1,426,47
USR_00151,0.9506,448.6,1,0,0.8002,0.4296,10,2190.93,1,77,1,985,46
USR_00152,0.9577,575.2,1,0,0.7162,0.4755,8,2740.08,0,334,1,351,38
USR_00153,0.8202,659.0,0,0,0.4721,0.4726,9,1729.35,0,161,1,269,42
USR_00154,0.8934,2085.0,0,0,0.7202,0.6452,10,3657.99,2,89,1,569,61
USR_00155,0.9219,885.8,2,0,0.6632,0.8914,7,6067.85,0,355,1,546,51
USR_00156,0.7371,566.1,1,1,0.4334,0.0792,9,2020.61,0,293,1,662,23
USR_00157,0.9518,1336.9,0,0,0.5414,0.7105,5,3045.31,0,360,1,611,23
USR_00158,0.4773,1255.9,0,0,0.6021,0.5492,13,1020.53,1,350,1,51,42
USR_00159,0.8491,762.6,0,1,0.74,0.7481,10,444.18,1,12,1,53,40
USR_00160,0.4418,583.6,0,0,0.5761,0.4154,8,791.26,1,323,1,758,23
USR_00161,0.7533,2187.1,0,0,0.7905,0.7167,8,3462.45,0,231,1,527,48
USR_00162,0.5233,351.1,1,0,0.9209,0.5169,7,2619.08,1,171,1,640,30
USR_00163,0.9952,811.2,0,1,0.1801,0.8661,14,3810.46,0,3,1,467,34
USR_00164,0.8935,682.4,0,0,0.5673,0.8337,4,717.07,0,322,0,866,55
USR_00165,0.7474,571.5,1,1,0.5245,0.5095,8,8601.56,0,316,1,415,27
USR_00166,0.9061,669.5,1,1,0.3237,0.1813,4,3692.04,1,357,1,134,34
USR_00167,0.8751,436.5,0,1,0.604,0.5057,11,1441.08,1,262,0,355,18
USR_00168,0.9372,485.8,0,0,0.7809,0.4674,6,10659.88,0,308,1,32,54
USR_00169,0.7175,616.3,0,0,0.4388,0.3514,8,2386.94,0,272,0,842,29
USR_00170,0.6344,401.5,0,0,0.5761,0.6755,6,3122.95,1,146,0,124,42
USR_00171,0.8873,972.3,0,0,0.4439,0.5978,3,2866.6,0,232,1,307,44
USR_00172,0.5175,870.1,1,0,0.212,0.5029,6,7723.6,1,335,0,297,36
USR_00173,0.7179,478.0,0,0,0.4291,0.2302,10,1556.18,0,43,1,147,19
USR_00174,0.8054,427.5,1,1,0.5287,0.0293,7,3837.34,0,187,0,247,24
USR_00175,0.7045,573.6,0,0,0.6446,0.6772,8,702.97,1,26,1,855,42
USR_00176,0.9506,315.4,0,0,0.6299,0.5279,10,7775.66,0,202,1,318,49
USR_00177,0.8442,532.2,0,0,0.5712,0.6631,6,7753.9,0,27,1,254,39
USR_00178,0.9755,489.0,0,0,0.7624,0.1785,16,634.76,1,163,1,548,43
USR_00179,0.8515,762.2,0,1,0.445,0.6768,8,1934.27,1,234,1,979,25
USR_00180,0.9977,1047.2,0,1,0.4552,0.495,7,6617.1,0,107,1,456,38
USR_00181,0.9146,840.5,0,0,0.6378,0.2914,15,1503.33,0,186,1,517,33
USR_00182,0.9183,983.7,0,0,0.3813,0.2127,6,4026.6,0,135,1,558,49
USR_00183,0.8789,417.0,1,0,0.0983,0.5918,3,778.14,0,289,1,656,32
USR_00184,0.43,829.8,0,0,0.5475,0.715,3,1834.92,0,53,0,485,30
USR_00185,0.8284,268.6,0,0,0.8159,0.832,10,1965.08,0,206,0,789,48
USR_00186,0.921,377.6,1,0,0.7616,0.0595,7,7671.75,0,258,1,401,40
USR_00187,0.865,954.4,0,0,0.4478,0.8124,9,5569.55,0,198,1,982,49
USR_00188,0.7899,501.7,0,0,0.3007,0.3909,10,853.65,1,278,1,316,44
USR_00189,0.897,399.2,1,0,0.9518,0.677,9,1001.71,2,359,1,532,46
USR_00190,0.8626,373.8,0,0,0.8401,0.3585,8,1151.62,0,113,1,413,42
USR_00191,0.5885,474.8,0,0,0.5215,0.4572,11,1862.12,1,62,1,578,54
USR_00192,0.6939,637.1,0,1,0.2708,0.4462,14,3490.25,1,143,1,273,28
USR_00193,0.7263,1393.1,0,0,0.6263,0.7534,9,2316.84,0,154,1,766,29
USR_00194,0.9288,416.5,0,0,0.3274,0.3505,5,3238.59,1,357,1,768,40
USR_00195,0.9296,444.0,0,0,0.3815,0.4034,9,2928.69,0,46,1,477,48
USR_00196,0.625,988.0,0,0,0.5771,0.4449,7,2847.56,0,256,1,602,32
USR_00197,0.9443,556.4,0,0,0.65,0.1755,9,3008.18,0,327,1,799,58
USR_00198,0.8257,338.1,0,0,0.3909,0.4374,5,1581.62,0,64,1,614,45
USR_00199,0.9949,823.7,0,0,0.4858,0.5294,5,2521.69,2,326,0,284,30
USR_00200,0.9091,217.2,0,0,0.8167,0.6929,8,4943.9,0,41,0,161,60
USR_00201,0.7671,634.6,0,0,0.5052,0.1198,6,9819.43,0,338,1,379,44
USR_00202,0.7802,476.4,0,0,0.7943,0.406,7,4087.52,0,217,1,345,59
USR_00203,0.9198,1420.1,1,0,0.5444,0.4302,8,701.9,1,324,1,369,52
USR_00204,0.9726,1335.3,0,1,0.6052,0.3038,7,2590.19,1,360,0,405,34
USR_00205,0.886,535.5,0,1,0.4994,0.8584,8,2394.01,0,16,1,622,38
USR_00206,0.9373,325.8,0,0,0.7262,0.452,14,1120.02,0,320,1,351,43
USR_00207,0.9673,1043.8,0,0,0.8057,0.4815,12,3954.76,2,311,1,128,47
USR_00208,0.7652,545.6,1,0,0.2465,0.5068,8,4783.92,0,168,1,982,25
USR_00209,0.7157,677.0,0,1,0.8502,0.3761,6,5862.58,0,197,1,727,24
USR_00210,0.8363,696.3,2,0,0.5457,0.559,8,29679.37,0,35,0,428,15
USR_00211,0.9529,306.5,1,0,0.1659,0.4105,9,7557.05,1,107,1,813,42
USR_00212,0.7108,1090.5,0,1,0.1176,0.5604,9,4388.53,0,40,1,444,22
USR_00213,0.9182,1352.9,0,0,0.8132,0.3424,8,2647.76,0,96,0,73,32
USR_00214,0.9665,362.0,1,0,0.7005,0.4651,7,859.81,0,63,1,729,38
USR_00215,0.8853,582.8,1,0,0.5557,0.5163,10,2831.34,0,125,1,338,40
USR_00216,0.9287,497.1,1,1,0.3937,0.7727,9,21749.06,0,270,1,948,31
USR_00217,0.8112,881.4,0,0,0.7411,0.2556,10,6948.02,0,292,1,713,41
USR_00218,0.9721,431.8,0,0,0.3158,0.3807,5,4279.36,0,319,1,50,32
USR_00219,0.7194,688.0,0,0,0.6775,0.5122,10,30334.02,0,38,1,947,47
USR_00220,0.913,650.1,0,1,0.6328,0.2788,7,2679.85,1,68,1,156,30
USR_00221,0.9914,777.4,0,0,0.7812,0.2143,11,19747.72,0,123,0,312,27
USR_00222,0.998,948.6,0,0,0.514,0.6234,8,8181.32,0,139,1,322,42
USR_00223,0.8721,493.8,1,0,0.4683,0.8341,6,824.09,0,357,1,758,40
USR_00224,0.8186,478.8,0,2,0.4623,0.5245,9,7631.44,0,93,1,833,29
USR_00225,0.9226,490.5,1,0,0.313,0.4737,4,594.61,0,125,1,937,51
USR_00226,0.6305,776.0,0,0,0.4399,0.3597,8,11643.5,0,240,1,626,42
USR_00227,0.6386,1496.0,0,0,0.9114,0.5101,9,2079.97,1,336,1,506,41
USR_00228,0.6694,413.6,1,0,0.6456,0.6086,7,2550.86,0,111,1,477,36
USR_00229,0.9904,913.7,0,0,0.368,0.534,6,5310.18,0,58,0,509,38
USR_00230,0.7903,1550.0,1,0,0.775,0.6831,6,3402.25,0,238,0,919,22
USR_00231,0.9396,443.0,0,0,0.8549,0.3653,9,3523.17,0,247,0,438,53
USR_00232,0.9046,261.7,0,1,0.4606,0.634,3,2671.13,0,51,1,365,46
USR_00233,0.8942,881.8,1,1,0.3894,0.2689,5,1333.84,0,261,0,585,23
USR_00234,0.9346,1372.2,3,0,0.891,0.814,5,2581.18,1,161,1,926,32
USR_00235,0.7335,441.1,2,0,0.296,0.7407,9,16924.34,0,17,1,995,28
USR_00236,0.775,784.6,2,1,0.6662,0.3874,7,3008.13,2,207,0,667,3
USR_00237,0.9939,1008.7,1,0,0.2931,0.0944,8,8026.88,0,279,1,485,35
USR_00238,0.9064,525.4,0,0,0.5342,0.5722,12,2107.55,0,102,1,526,58
USR_00239,0.9298,375.3,0,1,0.4116,0.4122,10,12438.34,0,121,1,939,35
USR_00240,0.98,3172.9,0,0,0.6782,0.2629,8,1708.11,0,134,1,994,37
USR_00241,0.6567,190.6,0,1,0.3405,0.7978,9,14548.87,3,75,1,476,30
USR_00242,0.911,1004.5,0,2,0.3598,0.4507,7,4273.75,0,254,1,206,36
USR_00243,0.879,644.9,2,0,0.4269,0.5192,5,2058.14,1,269,1,420,43
USR_00244,0.927,443.5,1,0,0.44,0.4876,12,4094.32,1,217,1,608,53
USR_00245,0.9338,720.2,0,2,0.8014,0.6945,8,13086.33,0,274,0,801,27
USR_00246,0.8985,440.1,0,0,0.7775,0.6391,7,1772.44,0,341,1,681,51
USR_00247,0.6551,728.1,0,0,0.952,0.437,11,1209.56,0,99,0,906,44
USR_00248,0.9012,981.9,1,0,0.6735,0.6502,5,2817.09,0,334,1,899,52
USR_00249,0.9241,1174.7,0,1,0.6275,0.1682,11,1203.26,1,52,1,797,39
USR_00250,0.9009,472.8,1,0,0.9285,0.6393,2,1309.68,0,220,1,54,52
USR_00251,0.8336,1003.2,0,0,0.5259,0.2076,9,4140.09,0,59,1,879,44
USR_00252,0.7755,477.5,0,1,0.3018,0.7988,7,876.47,1,266,0,378,15
USR_00253,0.9635,682.7,0,0,0.725,0.6742,6,3309.66,0,302,1,360,48
USR_00254,0.8825,353.8,1,1,0.5279,0.85,6,2160.42,0,66,0,857,28
USR_00255,0.9444,667.5,0,2,0.573,0.716,4,13538.71,1,53,1,433,29
USR_00256,0.9788,273.7,1,0,0.8252,0.6125,10,3400.58,0,330,1,102,39
USR_00257,0.7952,582.7,0,1,0.7843,0.5019,6,3083.54,0,364,0,568,33
USR_00258,0.7371,424.1,0,0,0.8263,0.1178,7,5191.15,0,47,0,719,24
USR_00259,0.9665,664.7,0,1,0.7516,0.6278,7,1348.92,0,326,1,604,54
USR_00260,0.6277,391.8,0,0,0.7336,0.4726,9,4044.94,0,120,0,242,22
USR_00261,0.6076,927.4,1,0,0.4643,0.5907,7,7435.64,0,123,1,811,14
USR_00262,0.8801,1414.3,0,0,0.9176,0.5849,6,1849.2,0,294,1,466,44
USR_00263,0.8022,1199.6,0,1,0.623,0.4506,12,380.47,0,146,1,600,19
USR_00264,0.955,659.7,0,0,0.7976,0.867,15,2016.52,1,149,1,834,45
USR_00265,0.878,412.5,0,0,0.5095,0.5236,9,1031.01,1,89,1,822,43
USR_00266,0.7742,725.7,2,0,0.4575,0.6438,13,2514.39,0,297,1,544,37
USR_00267,0.9479,585.1,0,0,0.3293,0.4774,9,5743.32,0,25,0,890,36
USR_00268,0.6917,906.2,0,0,0.8706,0.2496,10,2071.45,1,99,1,179,38
USR_00269,0.8851,426.2,1,0,0.4947,0.9489,5,4817.99,0,319,1,938,27
USR_00270,0.9766,1289.3,0,0,0.6668,0.5702,4,1624.86,0,307,1,661,46
USR_00271,0.9531,2291.6,1,1,0.9016,0.616,8,3250.85,0,51,1,650,25
USR_00272,0.6702,654.4,0,0,0.8321,0.131,4,6844.69,0,178,0,68,34
USR_00273,0.932,2098.1,2,0,0.3056,0.679,8,1177.78,0,145,0,115,42
USR_00274,0.8259,664.6,0,0,0.1864,0.1578,6,2518.44,0,98,1,359,35
USR_00275,0.7562,455.5,3,0,0.8072,0.0951,11,7433.26,0,65,1,130,19
USR_00276,0.7456,784.1,1,1,0.7156,0.5306,8,1431.34,0,17,1,230,37
USR_00277,0.8718,1349.4,0,2,0.5353,0.5668,11,1881.77,0,284,1,694,34
USR_00278,0.9249,1565.7,1,0,0.8118,0.8908,8,3091.47,0,8,1,327,40
USR_00279,0.9075,161.5,0,0,0.7382,0.2221,10,2925.37,0,348,1,400,37
USR_00280,0.6158,414.1,0,0,0.5601,0.7462,7,776.9,0,69,1,476,23
USR_00281,0.6726,383.1,0,2,0.7293,0.5645,4,532.76,1,6,1,717,30
USR_00282,0.8922,281.9,0,0,0.2485,0.3703,5,1284.33,0,299,1,53,35
USR_00283,0.9362,427.6,0,0,0.6278,0.5138,13,2984.14,1,4,1,470,47
USR_00284,0.9213,573.6,0,1,0.5471,0.6354,12,5771.54,0,310,1,512,45
USR_00285,0.9042,358.9,1,0,0.7504,0.569,9,4011.13,1,21,1,860,62
USR_00286,0.8277,436.6,0,0,0.7875,0.9061,13,4377.2,0,238,1,900,51
USR_00287,0.9741,451.1,0,0,0.4835,0.7989,11,2777.92,0,170,1,797,48
USR_00288,0.8535,1259.7,2,0,0.2008,0.8403,14,15685.08,0,231,0,454,23
USR_00289,0.6505,666.3,1,1,0.5077,0.1635,5,2787.79,0,289,1,312,14
USR_00290,0.975,501.9,1,1,0.679,0.216,7,2906.04,0,72,0,722,15
USR_00291,0.8262,596.6,0,1,0.8415,0.4366,3,1020.88,0,287,1,218,47
USR_00292,0.9262,1388.7,0,0,0.6127,0.3898,14,1475.32,0,362,1,124,42
USR_00293,0.7455,723.2,1,2,0.8361,0.2972,13,2099.87,0,60,1,187,21
USR_00294,0.8847,1392.9,0,0,0.4489,0.5163,8,1617.04,0,278,0,797,46
USR_00295,0.8557,1097.8,0,0,0.3293,0.7289,12,8546.88,0,78,1,903,43
USR_00296,0.8878,157.5,3,0,0.7244,0.7021,6,601.15,0,119,1,76,42
USR_00297,0.9425,384.7,0,2,0.5096,0.4295,4,517.16,0,7,1,160,38
USR_00298,0.9397,359.7,3,1,0.6394,0.1637,11,16235.54,0,116,1,951,23
USR_00299,0.8873,1848.4,0,0,0.9833,0.5442,7,2044.53,1,35,1,836,45
