voucher_id,days_since_issue,days_until_expiry,grant_type_encoded,amount_normalized,region_encoded,beneficiary_activity_score,similar_voucher_redemption_rate,channel_availability_score,has_used_app,has_used_ussd,nearest_agent_distance_km,notification_sent_count,expired_unredeemed
VCH_00030,70,18,0,1.0,13,0.5248,0.7908,0.822,1,1,0.5,0,0
VCH_00031,4,93,1,1.0,0,0.5256,0.2531,0.7922,1,0,2.06,4,0
VCH_00032,28,54,3,0.2143,3,0.7641,0.6813,0.8835,0,0,5.27,2,0
VCH_00033,17,66,4,1.0,2,0.5273,0.7838,0.7858,1,0,2.05,5,0
VCH_00034,87,0,0,1.0,10,0.7863,0.5444,0.9732,1,0,3.65,2,0
VCH_00035,57,23,1,1.0,12,0.0979,0.8146,0.675,1,0,2.6,2,0
VCH_00036,26,69,1,1.0,11,0.7879,0.5723,0.955,0,1,1.26,1,0
VCH_00037,85,1,0,1.0,3,0.5688,0.8536,0.6142,1,0,6.52,1,0
VCH_00038,89,0,2,0.2143,0,0.9506,0.551,0.6184,1,0,1.17,1,0
VCH_00039,22,58,2,0.2143,5,0.7253,0.8504,0.7802,1,0,3.26,1,0
VCH_00040,13,86,2,0.2143,5,0.2985,0.7533,0.5142,1,0,4.58,1,1
VCH_00041,2,94,2,0.2143,2,0.6545,0.5065,0.5293,1,0,1.83,4,0
VCH_00042,82,4,2,0.2143,0,0.7301,0.7046,0.6306,1,0,2.36,4,0
VCH_00043,3,90,0,1.0,2,0.8377,0.7844,0.8603,0,1,0.5,2,0
VCH_00044,79,13,2,0.2143,0,0.6554,0.7783,0.6639,1,0,5.63,0,0
VCH_00045,32,63,2,0.2143,13,0.8726,0.7459,0.5405,1,1,7.21,2,0
VCH_00046,66,25,0,1.0,0,0.8125,0.7875,0.6422,1,1,3.5,2,0
VCH_00047,27,55,0,1.0,3,0.4377,0.3429,0.506,0,1,2.72,2,0
VCH_00048,48,51,0,1.0,5,0.5322,0.7413,0.841,0,0,3.78,6,0
VCH_00049,36,63,3,0.2143,1,0.6434,0.7612,0.6498,1,0,1.81,5,0
VCH_00050,0,91,0,1.0,3,0.4314,0.7559,0.4384,0,0,3.98,2,0
VCH_00051,42,39,1,1.0,13,0.4107,0.3907,0.6876,1,1,2.19,1,0
VCH_00052,58,24,2,0.2143,5,0.7614,0.9238,0.4364,1,0,3.05,2,0
VCH_00053,85,0,4,1.0,13,0.2485,0.7543,0.92,0,1,3.68,4,1
VCH_00054,11,70,0,1.0,12,0.7889,0.7915,0.6682,1,1,19.38,1,0
VCH_00055,4,80,1,1.0,10,0.9284,0.845,0.4801,1,1,27.51,1,0
VCH_00056,73,12,0,1.0,0,0.472,0.8532,0.4425,0,0,2.12,3,0
VCH_00057,1,89,0,1.0,0,0.3152,0.5038,0.9149,1,0,3.61,3,0
VCH_00058,27,68,0,1.0,2,0.3686,0.9318,0.6695,0,1,21.98,2,0
VCH_00059,56,28,0,1.0,3,0.3694,0.8578,0.762,0,0,3.77,2,0
VCH_00060,42,43,2,0.2143,12,0.501,0.6307,0.6713,1,1,18.43,3,0
VCH_00061,23,61,0,1.0,6,0.4609,0.8582,0.658,0,0,5.51,1,0
VCH_00062,70,12,1,1.0,5,0.3804,0.6892,0.9293,1,0,3.41,1,0
VCH_00063,84,10,2,0.2143,1,0.5844,0.9158,0.7034,0,0,4.5,5,0
VCH_00064,58,26,1,1.0,7,0.3681,0.5533,0.647,0,0,1.01,2,1
VCH_00065,45,37,1,1.0,0,0.8416,0.8208,0.7757,0,1,0.5,4,0
VCH_00066,79,14,0,1.0,6,0.4071,0.7979,0.6373,1,0,1.06,3,0
VCH_00067,11,74,1,1.0,5,0.5838,0.6271,0.7927,1,0,5.15,2,0
VCH_00068,80,15,1,1.0,0,0.696,0.6395,0.7784,1,0,3.35,4,0
VCH_00069,8,82,3,0.2143,9,0.7016,0.7812,0.6617,1,1,0.5,1,0
VCH_00070,22,62,1,1.0,1,0.7055,0.7697,0.3694,0,0,2.96,0,0
VCH_00071,81,12,2,0.2143,4,0.4818,0.6487,0.9014,0,1,8.3,1,0
VCH_00072,28,53,2,0.2143,0,0.949,0.7454,0.6305,1,1,7.79,1,0
VCH_00073,20,70,4,1.0,0,0.1728,0.3789,0.8153,1,1,0.5,3,0
VCH_00074,23,65,2,0.2143,5,0.4419,0.8739,0.8434,0,1,7.06,1,0
VCH_00075,37,45,4,1.0,3,0.537,0.5291,0.7776,1,1,4.87,3,0
VCH_00076,49,40,0,1.0,5,0.8059,0.7264,0.5785,0,1,2.21,0,0
VCH_00077,72,11,0,1.0,13,0.719,0.8083,0.8438,0,0,6.09,3,0
VCH_00078,1,90,0,1.0,3,0.1288,0.5898,0.5795,0,1,2.23,4,1
VCH_00079,84,7,0,1.0,0,0.9506,0.8265,0.9509,1,0,3.38,4,0
VCH_00080,41,53,0,1.0,4,0.5966,0.697,0.8376,1,0,0.5,1,0
VCH_00081,60,25,1,1.0,2,0.8628,0.7465,0.882,1,1,0.93,2,0
VCH_00082,73,25,4,1.0,3,0.3041,0.5521,0.3946,1,0,7.41,2,0
VCH_00083,81,10,0,1.0,11,0.275,0.8073,0.7429,1,0,4.6,1,0
VCH_00084,52,45,4,1.0,0,0.4878,0.5741,0.5782,0,1,2.13,5,0
VCH_00085,8,87,3,0.2143,2,0.8144,0.7566,0.8998,0,0,4.23,2,0
VCH_00086,52,43,2,0.2143,3,0.2683,0.7909,0.129,1,1,9.68,2,1
VCH_00087,77,17,2,0.2143,7,0.5406,0.7585,0.848,1,1,5.28,2,0
VCH_00088,20,60,4,1.0,2,0.6039,0.5836,0.4208,1,1,18.15,2,0
VCH_00089,60,24,0,1.0,3,0.7285,0.9315,0.6295,0,1,1.5,2,0
VCH_00090,22,74,0,1.0,6,0.5875,0.6907,0.7048,1,0,1.04,5,0
VCH_00091,32,63,2,0.2143,13,0.812,0.7977,0.7367,0,0,21.73,1,0
VCH_00092,17,76,2,0.2143,1,0.633,0.7021,0.6146,1,0,3.9,2,0
VCH_00093,68,29,0,1.0,7,0.0998,0.6271,0.1901,0,1,3.17,2,0
VCH_00094,41,52,2,0.2143,11,0.4928,0.7214,0.6784,0,0,6.39,0,0
VCH_00095,42,51,3,0.2143,12,0.558,0.4488,0.9315,0,0,0.5,0,0
VCH_00096,38,54,2,0.2143,8,0.8965,0.4643,0.9332,0,1,1.41,2,0
VCH_00097,44,52,0,1.0,0,0.3304,0.8445,0.7084,1,1,1.26,0,0
VCH_00098,9,89,2,0.2143,4,0.8273,0.8769,0.4179,1,1,2.35,1,0
VCH_00099,39,41,0,1.0,0,0.3994,0.9073,0.8469,1,0,16.28,2,0
VCH_00100,48,33,2,0.2143,2,0.3146,0.8361,0.9931,1,0,1.83,1,0
VCH_00101,28,59,3,0.2143,10,0.8826,0.7476,0.5588,0,0,1.53,3,0
VCH_00102,38,57,1,1.0,3,0.4709,0.6452,0.9788,1,0,6.2,1,0
VCH_00103,40,59,1,1.0,9,0.5448,0.7534,0.4621,0,1,3.28,2,0
VCH_00104,3,90,0,1.0,0,0.6284,0.8245,0.9245,1,0,1.84,2,0
VCH_00105,42,48,1,1.0,3,0.9029,0.7818,0.6205,1,0,5.87,0,0
VCH_00106,56,43,0,1.0,6,0.8707,0.5964,0.7016,0,0,2.63,3,0
VCH_00107,58,34,1,1.0,9,0.4621,0.6662,0.8317,0,0,1.39,2,0
VCH_00108,37,53,1,1.0,11,0.8818,0.7404,0.777,1,0,1.79,2,0
VCH_00109,34,60,2,0.2143,6,0.6919,0.8137,0.8882,1,0,8.52,1,0
VCH_00110,20,75,4,1.0,10,0.4053,0.7841,0.7648,1,0,3.85,1,0
VCH_00111,73,9,2,0.2143,1,0.6616,0.5647,0.7465,1,1,2.04,1,0
VCH_00112,7,80,0,1.0,8,0.7669,0.5279,0.7032,1,0,9.58,4,0
VCH_00113,11,77,1,1.0,2,0.5856,0.2222,0.9372,1,0,5.01,1,0
VCH_00114,55,39,2,0.2143,2,0.5675,0.8773,0.763,1,1,3.77,3,0
VCH_00115,83,3,1,1.0,2,0.719,0.7412,0.745,1,1,1.51,2,0
VCH_00116,48,45,2,0.2143,4,0.2656,0.7762,0.3735,0,1,1.93,1,0
VCH_00117,46,36,2,0.2143,9,0.348,0.583,0.5553,1,0,2.76,4,0
VCH_00118,62,19,2,0.2143,10,0.4069,0.618,0.88,0,0,5.37,0,0
VCH_00119,16,76,1,1.0,0,0.841,0.7939,0.8647,0,0,8.15,0,0
VCH_00120,3,92,2,0.2143,3,0.6228,0.1453,0.6761,1,1,4.06,1,0
VCH_00121,5,88,0,1.0,0,0.3429,0.5338,0.6393,1,1,3.35,2,0
VCH_00122,84,0,0,1.0,5,0.7444,0.4556,0.7269,1,0,2.29,0,0
VCH_00123,79,4,2,0.2143,0,0.5256,0.6002,0.9137,1,1,0.5,1,0
VCH_00124,64,26,2,0.2143,9,0.5703,0.811,0.9459,1,1,0.65,4,0
VCH_00125,65,15,1,1.0,1,0.4269,0.5824,0.3093,0,0,0.73,4,0
VCH_00126,89,4,1,1.0,4,0.8524,0.7368,0.6482,0,1,0.86,1,0
VCH_00127,64,24,3,0.2143,6,0.6414,0.3537,0.2859,0,0,6.31,4,0
VCH_00128,14,67,1,1.0,1,0.8249,0.6773,0.677,1,1,1.94,3,0
VCH_00129,44,42,0,1.0,12,0.4526,0.946,0.3894,1,0,6.85,2,0
VCH_00130,27,62,1,1.0,0,0.7952,0.7303,0.7433,1,1,11.74,3,0
VCH_00131,0,97,0,1.0,2,0.4162,0.5438,0.8976,0,1,6.07,1,0
VCH_00132,75,10,4,1.0,7,0.2174,0.7024,0.9294,0,0,2.27,2,0
VCH_00133,11,73,2,0.2143,0,0.7153,0.4334,0.4562,0,0,3.66,2,0
VCH_00134,85,6,0,1.0,3,0.5792,0.7168,0.981,0,1,0.5,5,0
VCH_00135,40,50,0,1.0,0,0.7694,0.7972,0.9723,1,0,2.23,0,0
VCH_00136,68,19,0,1.0,6,0.7606,0.9901,0.5698,1,1,15.13,3,0
VCH_00137,89,7,0,1.0,0,0.9861,0.9544,0.6286,1,0,6.05,0,0
VCH_00138,9,90,2,0.2143,0,0.4236,0.869,0.9561,1,1,0.5,2,0
VCH_00139,7,80,0,1.0,12,0.6816,0.5855,0.8554,1,0,1.41,1,0
VCH_00140,80,7,0,1.0,7,0.7653,0.4507,0.9667,1,0,8.63,3,0
VCH_00141,47,44,1,1.0,4,0.7292,0.5223,0.8579,0,1,0.82,4,0
VCH_00142,14,78,1,1.0,0,0.6023,0.6158,0.8957,1,1,2.05,3,0
VCH_00143,85,2,1,1.0,3,0.7226,0.6046,0.7968,1,0,5.43,0,0
VCH_00144,58,39,4,1.0,0,0.8891,0.6426,0.9614,1,1,6.84,3,0
VCH_00145,34,59,0,1.0,5,0.3829,0.5621,0.9414,1,0,1.56,1,0
VCH_00146,32,61,0,1.0,12,0.6562,0.4557,0.2663,1,0,1.95,1,0
VCH_00147,86,0,3,0.2143,4,0.833,0.3275,0.6969,0,0,7.15,3,1
VCH_00148,65,32,2,0.2143,8,0.2938,0.3572,0.1774,0,0,1.29,7,0
VCH_00149,70,24,2,0.2143,6,0.6182,0.7599,0.7448,1,1,0.5,1,0
VCH_00150,49,32,4,1.0,5,0.8159,0.7952,0.8819,0,0,0.72,0,0
VCH_00151,36,55,2,0.2143,2,0.6725,0.5365,0.7589,1,0,10.47,1,0
VCH_00152,13,78,0,1.0,12,0.2817,0.7447,0.7776,1,1,3.21,1,0
VCH_00153,2,89,3,0.2143,6,0.8191,0.795,0.6556,0,0,8.33,4,0
VCH_00154,40,54,0,1.0,12,0.6403,0.7087,0.828,1,1,1.3,2,0
VCH_00155,67,25,0,1.0,4,0.9237,0.8846,0.6698,1,0,8.86,2,0
VCH_00156,74,7,2,0.2143,5,0.948,0.7441,0.7078,0,0,2.11,0,0
VCH_00157,47,52,1,1.0,6,0.2978,0.6949,0.9406,1,0,4.35,2,0
VCH_00158,33,48,0,1.0,1,0.5927,0.5387,0.6709,0,1,14.62,2,0
VCH_00159,1,82,0,1.0,12,0.856,0.5703,0.8129,0,1,5.22,0,0
VCH_00160,18,81,0,1.0,3,0.5521,0.7821,0.7163,1,0,2.75,2,0
VCH_00161,31,63,2,0.2143,3,0.9547,0.9319,0.8098,0,1,0.5,0,0
VCH_00162,75,13,3,0.2143,6,0.6357,0.2905,0.3749,1,0,14.08,2,0
VCH_00163,1,79,2,0.2143,1,0.3673,0.7241,0.6056,0,1,9.69,5,0
VCH_00164,6,93,0,1.0,3,0.6802,0.7184,0.4005,0,0,4.38,1,1
VCH_00165,57,41,2,0.2143,2,0.4559,0.6651,0.6223,0,0,12.91,1,0
VCH_00166,28,55,0,1.0,10,0.7225,0.93,0.8021,1,0,3.51,0,0
VCH_00167,52,41,3,0.2143,13,0.3886,0.7496,0.5774,1,1,1.37,4,0
VCH_00168,68,31,0,1.0,2,0.8473,0.7653,0.7458,1,0,4.11,2,0
VCH_00169,87,1,0,1.0,11,0.5636,0.6336,0.6817,1,1,2.06,3,0
VCH_00170,23,70,1,1.0,0,0.1475,0.4544,0.7417,1,0,20.17,2,0
VCH_00171,12,84,0,1.0,5,0.6495,0.6606,0.7107,1,0,5.66,2,0
VCH_00172,9,77,0,1.0,2,0.8592,0.7685,0.6852,1,1,5.93,0,0
VCH_00173,10,71,3,0.2143,12,0.9149,0.742,0.4816,1,1,8.11,0,0
VCH_00174,33,50,2,0.2143,11,0.2047,0.5466,0.275,1,1,1.22,1,0
VCH_00175,70,10,0,1.0,3,0.6053,0.889,0.5716,1,1,12.6,2,0
VCH_00176,0,99,0,1.0,6,0.4988,0.6267,0.6848,0,0,3.81,0,0
VCH_00177,61,29,0,1.0,7,0.5524,0.7921,0.852,0,1,3.67,2,0
VCH_00178,64,32,4,1.0,0,0.8766,0.4945,0.566,0,1,8.07,5,0
VCH_00179,23,73,3,0.2143,1,0.3187,0.7197,0.9056,1,1,10.55,3,0
VCH_00180,83,7,2,0.2143,0,0.6808,0.771,0.9181,1,0,5.88,2,0
VCH_00181,34,47,2,0.2143,6,0.3393,0.8885,0.869,0,0,1.22,3,0
VCH_00182,68,29,4,1.0,4,0.5304,0.5812,0.9022,1,0,2.55,3,0
VCH_00183,36,62,1,1.0,4,0.4301,0.8512,0.5499,1,0,10.54,1,0
VCH_00184,83,8,0,1.0,10,0.5312,0.737,0.6881,1,0,1.54,1,0
VCH_00185,88,1,1,1.0,11,0.8631,0.5198,0.9675,0,0,22.6,3,0
VCH_00186,66,25,0,1.0,13,0.4861,0.6904,0.4976,0,0,4.72,1,0
VCH_00187,22,63,2,0.2143,1,0.7578,0.5998,0.9002,1,0,1.86,2,0
VCH_00188,85,3,2,0.2143,7,0.5932,0.6237,0.7047,1,0,3.17,1,0
VCH_00189,56,35,0,1.0,10,0.3155,0.7538,0.3031,0,1,7.15,1,0
VCH_00190,27,56,0,1.0,10,0.8908,0.5293,0.2705,1,0,9.81,0,0
VCH_00191,33,58,2,0.2143,8,0.9067,0.8455,0.8813,1,1,4.05,3,0
VCH_00192,54,45,1,1.0,2,0.8493,0.9576,0.4128,1,1,0.5,2,0
VCH_00193,89,5,1,1.0,3,0.3353,0.7087,0.9293,0,0,6.72,0,1
VCH_00194,86,10,2,0.2143,1,0.1201,0.3824,0.504,1,1,3.75,1,1
VCH_00195,56,32,4,1.0,0,0.4355,0.8776,0.7124,0,0,22.79,4,0
VCH_00196,83,9,4,1.0,0,0.7841,0.8791,0.6018,1,0,4.7,1,0
VCH_00197,77,12,1,1.0,4,0.6961,0.9178,0.3959,0,0,1.77,2,0
VCH_00198,33,66,2,0.2143,13,0.5704,0.6738,0.4599,1,1,2.33,2,0
VCH_00199,3,77,2,0.2143,0,0.6854,0.6423,0.779,0,0,10.6,2,0
VCH_00200,50,37,4,1.0,3,0.3216,0.6776,0.6462,0,0,1.75,2,0
VCH_00201,56,38,0,1.0,8,0.6221,0.5224,0.9147,0,0,8.5,0,0
VCH_00202,44,46,1,1.0,0,0.8625,0.8663,0.3971,0,0,6.1,1,0
VCH_00203,37,61,1,1.0,0,0.5395,0.6981,0.6509,1,0,2.87,4,0
VCH_00204,77,9,2,0.2143,0,0.6189,0.9035,0.3735,0,0,7.4,4,0
VCH_00205,29,69,2,0.2143,5,0.8556,0.8559,0.765,1,0,4.44,0,0
VCH_00206,14,75,2,0.2143,4,0.3971,0.7583,0.8892,1,1,21.66,2,0
VCH_00207,53,44,0,1.0,4,0.9018,0.7869,0.9679,1,0,7.01,1,0
VCH_00208,57,39,4,1.0,0,0.7881,0.8869,0.421,1,0,0.5,1,0
VCH_00209,41,39,2,0.2143,0,0.4512,0.9913,0.9379,1,0,2.02,0,0
VCH_00210,1,96,1,1.0,3,0.2869,0.6454,0.7091,0,0,0.82,2,0
VCH_00211,25,57,1,1.0,5,0.2303,0.8747,0.9131,1,0,2.77,3,0
VCH_00212,3,86,0,1.0,2,0.3607,0.7162,0.6877,1,0,1.77,1,0
VCH_00213,22,69,0,1.0,1,0.8176,0.7284,0.6365,0,0,10.81,1,0
VCH_00214,78,18,0,1.0,0,0.4536,0.7394,0.2836,0,0,6.9,2,0
VCH_00215,38,51,1,1.0,9,0.8323,0.692,0.5369,1,1,0.5,2,0
VCH_00216,40,49,2,0.2143,3,0.1802,0.489,0.7489,1,1,1.78,3,1
VCH_00217,67,13,2,0.2143,3,0.4616,0.9174,0.3879,0,1,1.9,2,0
VCH_00218,21,69,2,0.2143,2,0.4949,0.7874,0.3145,1,0,1.92,0,0
VCH_00219,3,80,2,0.2143,0,0.9471,0.7201,0.9882,0,0,32.82,2,0
VCH_00220,78,18,1,1.0,2,0.2798,0.7767,0.8349,1,1,11.72,1,0
VCH_00221,75,11,2,0.2143,3,0.8923,0.8781,0.8288,1,1,1.68,1,0
VCH_00222,77,21,0,1.0,13,0.4443,0.9592,0.9414,1,0,0.66,2,0
VCH_00223,13,78,2,0.2143,10,0.847,0.7846,0.5843,1,0,3.1,0,0
VCH_00224,44,46,2,0.2143,11,0.3154,0.8233,0.8859,1,1,9.7,3,0
VCH_00225,72,24,4,1.0,9,0.5782,0.6564,0.586,1,1,1.68,0,0
VCH_00226,82,12,2,0.2143,9,0.3995,0.6584,0.3217,1,0,1.64,1,0
VCH_00227,84,5,0,1.0,8,0.6701,0.6585,0.756,1,0,6.71,1,0
VCH_00228,24,62,2,0.2143,4,0.3404,0.4889,0.8159,1,0,2.75,7,0
VCH_00229,4,87,4,1.0,2,0.2096,0.7166,0.6663,1,0,5.37,3,0
VCH_00230,29,68,0,1.0,13,0.2278,0.6762,0.5782,1,1,2.44,2,0
VCH_00231,84,5,2,0.2143,1,0.3326,0.5734,0.8916,1,0,21.43,0,0
VCH_00232,39,47,0,1.0,5,0.5604,0.956,0.4399,1,1,15.02,1,0
VCH_00233,64,28,0,1.0,4,0.7434,0.8481,0.914,0,0,3.11,1,0
VCH_00234,63,24,4,1.0,0,0.5099,0.6492,0.7571,1,0,0.5,1,0
VCH_00235,88,5,0,1.0,4,0.5712,0.6752,0.5914,1,1,0.5,1,0
VCH_00236,4,80,0,1.0,6,0.6594,0.5064,0.1671,1,0,3.4,1,0
VCH_00237,34,48,2,0.2143,3,0.8192,0.9175,0.8024,1,1,2.23,2,0
VCH_00238,89,0,4,1.0,2,0.3702,0.7507,0.9288,1,0,1.83,4,0
VCH_00239,45,53,0,1.0,4,0.6796,0.6721,0.7862,1,1,3.7,1,0
VCH_00240,48,43,0,1.0,2,0.2079,0.8011,0.5269,1,1,0.81,0,0
VCH_00241,84,5,1,1.0,13,0.5701,0.5929,0.8177,1,1,1.76,3,0
VCH_00242,29,59,1,1.0,12,0.7482,0.7239,0.9085,1,0,7.78,0,0
VCH_00243,27,59,4,1.0,2,0.7221,0.212,0.1609,1,0,1.52,1,0
VCH_00244,74,6,2,0.2143,8,0.6591,0.8298,0.2712,1,1,3.43,0,0
VCH_00245,39,45,0,1.0,5,0.6362,0.8256,0.0999,1,1,0.65,4,0
VCH_00246,58,34,0,1.0,7,0.8143,0.9791,0.9285,0,0,4.14,1,0
VCH_00247,0,84,2,0.2143,0,0.5297,0.6314,0.5392,1,1,2.83,2,0
VCH_00248,48,33,4,1.0,1,0.9539,0.7739,0.7614,1,1,0.5,1,0
VCH_00249,69,27,0,1.0,0,0.8469,0.6593,0.682,0,1,0.5,1,0
VCH_00250,86,0,4,1.0,0,0.4814,0.9576,0.3819,1,0,2.15,1,0
VCH_00251,81,2,2,0.2143,4,0.3462,0.328,0.5876,1,0,7.33,2,0
VCH_00252,57,25,0,1.0,2,0.7907,0.6619,0.8059,1,1,1.2,1,0
VCH_00253,21,59,0,1.0,0,0.4619,0.8179,0.8276,1,1,0.98,2,0
VCH_00254,59,25,0,1.0,5,0.8107,0.494,0.843,1,1,3.53,3,0
VCH_00255,73,18,2,0.2143,0,0.532,0.6822,0.5423,1,1,6.52,2,0
VCH_00256,49,34,2,0.2143,0,0.6876,0.4036,0.5298,1,1,14.38,7,0
VCH_00257,47,48,3,0.2143,5,0.4707,0.813,0.9023,1,0,0.74,1,0
VCH_00258,52,38,0,1.0,0,0.564,0.8743,0.55,1,1,2.11,1,0
VCH_00259,70,29,4,1.0,6,0.2113,0.8012,0.7617,1,0,5.66,2,0
VCH_00260,8,84,2,0.2143,5,0.4288,0.9362,0.6595,1,1,2.16,1,0
VCH_00261,66,19,2,0.2143,10,0.4168,0.7139,0.565,1,0,23.58,1,0
VCH_00262,42,56,0,1.0,0,0.6555,0.8251,0.9106,0,0,11.85,4,0
VCH_00263,59,32,4,1.0,0,0.7873,0.8866,0.3414,0,1,2.95,2,0
VCH_00264,5,94,0,1.0,5,0.8111,0.7295,0.8724,1,0,5.04,0,0
VCH_00265,34,53,0,1.0,0,0.3405,0.5961,0.7037,1,0,2.36,3,0
VCH_00266,33,60,0,1.0,1,0.6578,0.5668,0.8072,1,0,2.24,3,0
VCH_00267,28,59,0,1.0,1,0.6417,0.585,0.4979,1,0,2.42,4,0
VCH_00268,67,25,0,1.0,2,0.6815,0.2346,0.6082,0,0,2.16,3,0
VCH_00269,40,50,0,1.0,3,0.5551,0.8015,0.607,1,0,6.69,0,0
VCH_00270,14,82,0,1.0,8,0.3506,0.9105,0.844,1,1,0.91,1,0
VCH_00271,20,71,0,1.0,2,0.6009,0.8544,0.2498,1,0,5.64,3,0
VCH_00272,52,37,0,1.0,8,0.4559,0.8906,0.9844,1,0,7.22,0,0
VCH_00273,59,36,2,0.2143,0,0.5019,0.835,0.9218,1,1,2.51,1,0
VCH_00274,68,26,2,0.2143,11,0.3097,0.6158,0.8187,1,0,1.32,1,0
VCH_00275,21,74,1,1.0,2,0.497,0.586,0.6191,0,1,0.5,3,0
VCH_00276,34,60,1,1.0,0,0.5522,0.3639,0.0588,1,0,18.34,1,1
VCH_00277,48,50,1,1.0,13,0.4072,0.4996,0.8148,1,0,8.09,1,0
VCH_00278,42,54,1,1.0,0,0.6055,0.7753,0.9493,1,0,2.4,3,0
VCH_00279,56,35,1,1.0,6,0.5156,0.5449,0.4823,0,0,5.23,0,0
VCH_00280,15,77,0,1.0,10,0.8459,0.409,0.7471,0,0,6.62,2,0
VCH_00281,71,20,1,1.0,7,0.692,0.4917,0.1409,0,1,0.5,1,0
VCH_00282,57,38,0,1.0,0,0.7929,0.9357,0.7313,1,0,3.34,1,0
VCH_00283,58,28,0,1.0,0,0.5973,0.5153,0.63,1,0,3.81,4,0
VCH_00284,86,7,2,0.2143,8,0.6559,0.8118,0.8747,0,0,5.36,3,0
VCH_00285,43,37,1,1.0,3,0.9625,0.8068,0.6593,1,0,5.57,2,0
VCH_00286,52,32,4,1.0,5,0.549,0.9406,0.3704,1,1,12.51,0,0
VCH_00287,53,32,1,1.0,0,0.7598,0.8421,0.7522,0,0,3.52,1,0
VCH_00288,9,73,2,0.2143,13,0.6094,0.7238,0.8815,1,0,5.23,0,0
VCH_00289,4,94,2,0.2143,1,0.5597,0.7364,0.3697,1,1,5.99,1,0
VCH_00290,40,51,3,0.2143,4,0.8906,0.894,0.4371,0,0,2.63,3,0
VCH_00291,81,0,1,1.0,0,0.6465,0.9006,0.8694,1,0,1.57,1,0
VCH_00292,71,16,0,1.0,12,0.7241,0.751,0.6303,0,1,11.76,3,0
VCH_00293,36,46,1,1.0,3,0.5966,0.7674,0.3691,1,1,1.62,0,0
VCH_00294,66,32,2,0.2143,9,0.464,0.8594,0.733,0,1,4.0,3,0
VCH_00295,57,35,4,1.0,6,0.51,0.8592,0.3527,0,1,5.25,4,0
VCH_00296,34,47,4,1.0,10,0.6388,0.6111,0.9526,0,1,6.99,1,0
VCH_00297,24,73,2,0.2143,13,0.327,0.8647,0.3003,0,1,0.61,2,0
VCH_00298,73,9,0,1.0,12,0.7615,0.6317,0.8985,1,0,12.55,0,0
