voucher_id,days_since_issue,grant_type_encoded,amount_normalized,region_encoded,beneficiary_segment,day_of_week_issued,day_of_month_issued,is_payday_week,historical_avg_days_to_redeem,preferred_channel_encoded,nearby_agent_count,days_to_redeem,redemption_channel
VCH_00029,25,3,0.2143,8,1,5,3,1,4.3,3,2,6,merchant_payment
VCH_00030,27,2,0.2143,6,0,3,29,0,9.53,1,1,12,cash_out
VCH_00031,57,0,1.0,12,5,0,28,0,2.62,0,4,7,wallet
VCH_00032,45,0,1.0,5,5,6,28,0,5.29,2,4,9,bank_transfer
VCH_00033,28,2,0.2143,13,2,2,1,1,1.21,0,6,4,wallet
VCH_00034,5,1,1.0,4,1,5,28,0,15.99,3,4,16,merchant_payment
VCH_00035,22,0,1.0,7,1,4,28,0,10.99,0,4,14,wallet
VCH_00036,14,3,0.2143,0,4,2,3,1,2.06,2,2,4,bank_transfer
VCH_00037,59,0,1.0,1,3,1,3,1,4.06,0,5,4,wallet
VCH_00038,18,0,1.0,0,3,0,2,1,12.51,1,3,7,cash_out
VCH_00039,50,2,0.2143,4,1,1,15,0,4.76,2,3,8,bank_transfer
VCH_00040,53,3,0.2143,3,4,5,2,1,2.92,3,2,7,merchant_payment
VCH_00041,26,3,0.2143,1,4,3,30,0,3.33,0,1,4,wallet
VCH_00042,55,1,1.0,3,4,5,1,1,2.94,3,2,7,merchant_payment
VCH_00043,7,1,1.0,0,0,1,2,1,2.08,1,1,2,cash_out
VCH_00044,41,0,1.0,3,0,5,1,1,2.97,3,1,7,merchant_payment
VCH_00045,12,2,0.2143,13,3,6,30,0,11.34,0,6,14,wallet
VCH_00046,36,1,1.0,4,2,4,1,1,4.59,3,1,13,merchant_payment
VCH_00047,27,0,1.0,3,2,4,28,0,2.29,0,3,8,wallet
VCH_00048,42,0,1.0,4,3,6,29,0,6.55,4,2,11,cash_at_till
VCH_00049,31,1,1.0,1,1,4,28,0,4.93,0,1,8,wallet
VCH_00050,43,4,1.0,5,5,0,2,1,13.43,1,1,15,cash_out
VCH_00051,54,1,1.0,0,3,1,30,0,3.41,3,8,18,merchant_payment
VCH_00052,0,2,0.2143,0,4,1,3,1,2.03,1,6,4,cash_out
VCH_00053,3,1,1.0,4,2,0,1,1,5.6,1,2,8,cash_out
VCH_00054,27,0,1.0,0,1,3,1,1,3.81,2,2,6,bank_transfer
VCH_00055,39,3,0.2143,6,3,1,2,1,5.22,0,2,8,wallet
VCH_00056,33,1,1.0,5,5,4,1,1,1.97,1,4,4,cash_out
VCH_00057,37,1,1.0,3,4,3,16,0,4.94,3,4,9,merchant_payment
VCH_00058,13,1,1.0,1,0,1,15,0,5.46,2,4,7,bank_transfer
VCH_00059,19,0,1.0,3,2,1,29,0,1.0,3,5,10,merchant_payment
VCH_00060,54,1,1.0,12,1,5,15,0,8.54,1,1,12,cash_out
VCH_00061,33,1,1.0,6,0,6,30,0,7.66,1,7,11,cash_out
VCH_00062,21,0,1.0,10,3,2,3,1,8.87,0,2,12,wallet
VCH_00063,55,2,0.2143,0,0,3,1,1,3.05,1,2,5,cash_out
VCH_00064,3,2,0.2143,13,3,3,1,1,3.23,1,2,7,cash_out
VCH_00065,10,1,1.0,2,3,4,28,0,10.52,4,5,10,cash_at_till
VCH_00066,51,0,1.0,3,4,5,30,0,2.92,3,0,7,merchant_payment
VCH_00067,12,2,0.2143,3,0,2,1,1,3.0,0,1,5,wallet
VCH_00068,14,0,1.0,0,0,3,30,0,2.05,0,4,4,wallet
VCH_00069,46,3,0.2143,8,5,5,1,1,3.59,3,5,8,merchant_payment
VCH_00070,9,1,1.0,1,3,5,29,0,6.99,1,5,6,cash_out
VCH_00071,55,0,1.0,4,3,6,1,1,4.59,1,1,6,cash_out
VCH_00072,29,1,1.0,12,3,3,1,1,1.42,2,2,3,bank_transfer
VCH_00073,6,4,1.0,5,3,3,1,1,3.88,0,4,9,wallet
VCH_00074,5,1,1.0,12,4,0,16,0,18.7,1,2,16,cash_out
VCH_00075,30,0,1.0,1,4,4,1,1,3.9,0,2,4,wallet
VCH_00076,37,0,1.0,3,5,0,29,0,4.57,0,6,9,wallet
VCH_00077,56,0,1.0,6,1,0,1,1,2.21,0,3,4,wallet
VCH_00078,6,2,0.2143,2,1,1,30,0,3.63,4,6,4,cash_at_till
VCH_00079,56,1,1.0,4,2,2,2,1,2.5,0,1,6,wallet
VCH_00080,55,0,1.0,0,3,5,2,1,2.1,4,5,5,cash_at_till
VCH_00081,22,2,0.2143,5,3,3,3,1,4.99,0,6,6,wallet
VCH_00082,25,0,1.0,3,2,5,28,0,6.19,1,4,10,cash_out
VCH_00083,22,1,1.0,12,1,3,15,0,8.32,0,0,12,wallet
VCH_00084,29,1,1.0,3,5,4,28,0,4.49,0,3,9,wallet
VCH_00085,53,2,0.2143,4,2,1,15,0,5.1,0,2,8,wallet
VCH_00086,31,0,1.0,5,4,0,30,0,2.23,0,3,11,wallet
VCH_00087,31,2,0.2143,7,3,3,3,1,5.4,0,1,6,wallet
VCH_00088,49,2,0.2143,2,0,0,29,0,2.4,1,2,5,cash_out
VCH_00089,59,2,0.2143,5,3,2,29,0,1.4,0,3,6,wallet
VCH_00090,52,4,1.0,2,5,4,15,0,3.43,3,5,7,merchant_payment
VCH_00091,13,0,1.0,0,1,2,2,1,11.41,0,1,9,wallet
VCH_00092,21,3,0.2143,12,3,5,30,0,1.08,1,3,8,cash_out
VCH_00093,59,2,0.2143,9,1,2,1,1,2.12,1,4,5,cash_out
VCH_00094,46,0,1.0,2,1,3,1,1,6.39,2,5,5,bank_transfer
VCH_00095,21,0,1.0,0,4,3,30,0,4.26,1,3,12,cash_out
VCH_00096,5,1,1.0,4,3,0,1,1,4.69,1,4,7,cash_out
VCH_00097,56,2,0.2143,3,5,6,30,0,7.68,0,3,15,wallet
VCH_00098,24,2,0.2143,5,3,3,2,1,4.0,2,6,5,bank_transfer
VCH_00099,35,0,1.0,2,2,6,2,1,8.64,0,2,7,wallet
VCH_00100,23,3,0.2143,8,1,0,16,0,6.19,0,2,9,wallet
VCH_00101,2,2,0.2143,6,4,1,2,1,5.08,4,2,7,cash_at_till
VCH_00102,25,1,1.0,4,2,2,3,1,2.82,0,1,5,wallet
VCH_00103,5,0,1.0,1,0,1,1,1,5.8,3,5,5,merchant_payment
VCH_00104,42,0,1.0,0,5,6,1,1,7.13,0,5,4,wallet
VCH_00105,32,4,1.0,3,1,1,28,0,5.38,4,3,9,cash_at_till
VCH_00106,49,4,1.0,10,5,1,16,0,7.97,0,4,16,wallet
VCH_00107,42,1,1.0,3,1,5,1,1,6.81,0,0,7,wallet
VCH_00108,4,2,0.2143,2,5,2,2,1,4.41,2,4,7,bank_transfer
VCH_00109,22,4,1.0,3,5,1,28,0,1.59,1,5,6,cash_out
VCH_00110,17,4,1.0,5,5,6,1,1,1.3,3,2,4,merchant_payment
VCH_00111,17,2,0.2143,1,3,2,15,0,10.08,3,1,8,merchant_payment
VCH_00112,25,0,1.0,8,1,0,1,1,7.56,0,5,13,wallet
VCH_00113,47,0,1.0,0,0,0,1,1,4.39,2,2,3,bank_transfer
VCH_00114,22,0,1.0,11,5,2,16,0,3.34,3,3,12,merchant_payment
VCH_00115,5,0,1.0,0,2,0,2,1,9.34,1,3,7,cash_out
VCH_00116,40,0,1.0,0,2,0,16,0,3.83,2,3,6,bank_transfer
VCH_00117,19,3,0.2143,3,0,4,29,0,6.29,2,6,11,bank_transfer
VCH_00118,36,2,0.2143,4,2,3,1,1,2.49,3,4,8,merchant_payment
VCH_00119,4,0,1.0,4,0,2,1,1,1.82,0,5,4,wallet
VCH_00120,42,0,1.0,3,2,6,1,1,2.39,2,2,5,bank_transfer
VCH_00121,5,2,0.2143,0,5,1,2,1,3.12,3,1,2,merchant_payment
VCH_00122,9,2,0.2143,1,5,1,1,1,4.38,0,1,11,wallet
VCH_00123,55,4,1.0,5,4,4,2,1,2.02,3,6,9,merchant_payment
VCH_00124,31,2,0.2143,4,3,0,15,0,1.0,0,4,6,wallet
VCH_00125,18,0,1.0,7,0,3,30,0,7.03,1,7,9,cash_out
VCH_00126,49,1,1.0,2,4,4,1,1,1.5,2,5,1,bank_transfer
VCH_00127,8,0,1.0,1,1,4,1,1,2.75,0,5,1,wallet
VCH_00128,18,0,1.0,7,0,0,29,0,5.32,4,3,11,cash_at_till
VCH_00129,46,2,0.2143,0,3,3,1,1,7.17,3,3,10,merchant_payment
VCH_00130,24,2,0.2143,8,2,1,28,0,2.37,0,1,10,wallet
VCH_00131,19,1,1.0,6,2,1,2,1,1.97,0,4,4,wallet
VCH_00132,16,0,1.0,9,2,5,1,1,2.32,4,3,9,cash_at_till
VCH_00133,50,0,1.0,9,4,4,16,0,8.67,1,3,15,cash_out
VCH_00134,11,2,0.2143,3,5,3,15,0,3.43,1,4,9,cash_out
VCH_00135,52,0,1.0,1,2,6,29,0,4.91,0,1,6,wallet
VCH_00136,42,4,1.0,3,2,2,15,0,4.08,3,2,8,merchant_payment
VCH_00137,51,2,0.2143,0,5,3,1,1,1.31,0,4,4,wallet
VCH_00138,8,0,1.0,0,1,5,1,1,1.98,1,2,7,cash_out
VCH_00139,12,0,1.0,5,2,3,3,1,6.26,3,3,6,merchant_payment
VCH_00140,0,1,1.0,0,1,2,30,0,2.87,1,4,5,cash_out
VCH_00141,4,2,0.2143,0,0,0,1,1,9.47,2,4,5,bank_transfer
VCH_00142,45,4,1.0,1,1,5,3,1,3.52,1,2,2,cash_out
VCH_00143,37,0,1.0,2,3,3,2,1,9.62,0,3,16,wallet
VCH_00144,33,0,1.0,13,4,3,1,1,1.7,1,2,4,cash_out
VCH_00145,32,0,1.0,6,0,0,3,1,6.0,4,1,12,cash_at_till
VCH_00146,30,4,1.0,1,4,5,3,1,2.72,3,2,2,merchant_payment
VCH_00147,23,4,1.0,0,4,0,1,1,4.53,4,3,7,cash_at_till
VCH_00148,9,0,1.0,8,1,4,30,0,3.39,2,0,9,bank_transfer
VCH_00149,19,1,1.0,0,0,6,15,0,3.65,3,2,8,merchant_payment
VCH_00150,53,2,0.2143,13,2,0,1,1,8.78,3,8,8,merchant_payment
VCH_00151,52,2,0.2143,7,2,3,30,0,9.96,4,4,12,cash_at_till
VCH_00152,56,4,1.0,1,4,1,28,0,1.31,2,1,5,bank_transfer
VCH_00153,39,2,0.2143,0,5,0,2,1,4.22,4,6,3,cash_at_till
VCH_00154,10,0,1.0,8,2,1,15,0,3.45,0,2,7,wallet
VCH_00155,39,0,1.0,2,5,6,1,1,4.18,0,5,9,wallet
VCH_00156,31,0,1.0,6,1,6,3,1,4.97,1,4,7,cash_out
VCH_00157,38,0,1.0,9,3,2,30,0,3.08,3,2,8,merchant_payment
VCH_00158,57,2,0.2143,9,1,2,1,1,2.94,1,4,11,cash_out
VCH_00159,3,0,1.0,0,1,6,2,1,4.16,0,2,4,wallet
VCH_00160,3,0,1.0,4,3,5,1,1,4.03,0,3,5,wallet
VCH_00161,38,3,0.2143,0,4,0,1,1,7.68,2,5,4,bank_transfer
VCH_00162,55,3,0.2143,1,1,3,3,1,5.18,0,2,9,wallet
VCH_00163,16,2,0.2143,4,4,4,1,1,12.53,4,2,10,cash_at_till
VCH_00164,31,0,1.0,13,4,0,1,1,4.08,1,5,12,cash_out
VCH_00165,2,4,1.0,2,4,6,29,0,3.4,0,3,4,wallet
VCH_00166,27,0,1.0,7,1,5,2,1,3.82,2,6,12,bank_transfer
VCH_00167,14,4,1.0,12,3,4,1,1,4.57,4,6,9,cash_at_till
VCH_00168,20,0,1.0,1,4,5,2,1,6.77,1,3,6,cash_out
VCH_00169,27,2,0.2143,0,5,2,1,1,1.39,0,2,2,wallet
VCH_00170,34,1,1.0,7,2,0,3,1,8.15,4,1,7,cash_at_till
VCH_00171,11,2,0.2143,5,1,4,30,0,6.72,1,2,12,cash_out
VCH_00172,9,1,1.0,0,2,3,28,0,4.02,1,3,4,cash_out
VCH_00173,40,1,1.0,2,4,2,28,0,8.9,0,1,8,wallet
VCH_00174,3,2,0.2143,0,1,6,30,0,16.39,1,5,14,cash_out
VCH_00175,55,0,1.0,2,5,6,29,0,2.5,3,2,4,merchant_payment
VCH_00176,26,1,1.0,0,1,5,16,0,9.38,0,2,8,wallet
VCH_00177,32,3,0.2143,2,0,1,1,1,7.02,1,5,4,cash_out
VCH_00178,2,1,1.0,5,5,1,2,1,10.34,3,2,9,merchant_payment
VCH_00179,31,0,1.0,5,2,4,1,1,6.73,1,3,7,cash_out
VCH_00180,46,0,1.0,3,0,0,29,0,3.43,0,4,9,wallet
VCH_00181,42,2,0.2143,4,4,3,1,1,6.75,4,4,7,cash_at_till
VCH_00182,11,2,0.2143,0,0,1,1,1,13.42,3,1,9,merchant_payment
VCH_00183,19,2,0.2143,4,4,5,30,0,2.18,4,2,7,cash_at_till
VCH_00184,4,1,1.0,2,1,2,29,0,6.03,4,4,6,cash_at_till
VCH_00185,10,4,1.0,3,3,6,2,1,7.42,1,3,8,cash_out
VCH_00186,16,0,1.0,5,5,0,28,0,8.87,0,7,10,wallet
VCH_00187,53,3,0.2143,6,1,2,15,0,2.19,0,3,7,wallet
VCH_00188,55,2,0.2143,10,4,4,1,1,3.27,4,4,9,cash_at_till
VCH_00189,38,0,1.0,6,5,4,15,0,5.2,1,2,11,cash_out
VCH_00190,14,1,1.0,1,0,4,1,1,3.67,1,4,2,cash_out
VCH_00191,43,0,1.0,3,3,6,29,0,8.24,1,2,12,cash_out
VCH_00192,55,0,1.0,8,5,2,15,0,6.08,4,3,9,cash_at_till
VCH_00193,35,4,1.0,6,2,0,1,1,8.73,2,3,9,bank_transfer
VCH_00194,24,0,1.0,11,3,2,29,0,3.81,0,0,8,wallet
VCH_00195,28,0,1.0,5,0,0,3,1,1.47,1,6,9,cash_out
VCH_00196,26,3,0.2143,13,1,4,1,1,3.48,0,3,6,wallet
VCH_00197,18,3,0.2143,1,5,6,1,1,3.03,0,1,2,wallet
VCH_00198,47,0,1.0,0,0,6,3,1,2.85,0,0,5,wallet
VCH_00199,6,0,1.0,3,3,5,16,0,4.23,1,3,14,cash_out
VCH_00200,5,0,1.0,0,5,4,16,0,3.39,4,4,8,cash_at_till
VCH_00201,39,2,0.2143,0,3,4,1,1,3.19,2,3,3,bank_transfer
VCH_00202,33,2,0.2143,0,1,6,1,1,5.65,0,4,14,wallet
VCH_00203,28,1,1.0,0,5,6,30,0,9.25,0,2,10,wallet
VCH_00204,47,1,1.0,6,5,2,3,1,7.15,1,5,8,cash_out
VCH_00205,16,4,1.0,0,1,4,29,0,8.82,3,2,12,merchant_payment
VCH_00206,24,1,1.0,12,1,1,16,0,4.07,0,0,8,wallet
VCH_00207,3,4,1.0,4,0,6,1,1,9.09,4,3,8,cash_at_till
VCH_00208,38,4,1.0,2,0,4,16,0,6.19,0,3,7,wallet
VCH_00209,49,2,0.2143,4,3,2,15,0,16.76,4,2,15,cash_at_till
VCH_00210,57,2,0.2143,1,1,4,1,1,3.64,2,2,5,bank_transfer
VCH_00211,54,2,0.2143,12,2,1,2,1,5.96,3,1,7,merchant_payment
VCH_00212,21,2,0.2143,0,5,4,28,0,4.4,3,3,5,merchant_payment
VCH_00213,30,0,1.0,3,5,1,2,1,9.28,4,2,9,cash_at_till
VCH_00214,47,3,0.2143,2,2,3,30,0,5.78,3,1,9,merchant_payment
VCH_00215,6,2,0.2143,0,3,3,29,0,9.94,0,3,9,wallet
VCH_00216,0,2,0.2143,2,2,1,1,1,2.25,1,3,6,cash_out
VCH_00217,49,2,0.2143,4,2,1,1,1,4.03,1,2,9,cash_out
VCH_00218,15,2,0.2143,2,3,0,28,0,7.16,4,1,6,cash_at_till
VCH_00219,4,0,1.0,11,5,3,3,1,5.77,4,2,7,cash_at_till
VCH_00220,19,0,1.0,10,4,1,1,1,2.93,1,4,4,cash_out
VCH_00221,25,2,0.2143,0,3,5,1,1,2.93,3,3,2,merchant_payment
VCH_00222,5,1,1.0,3,2,0,1,1,2.55,1,4,4,cash_out
VCH_00223,20,0,1.0,13,2,1,2,1,13.18,0,4,11,wallet
VCH_00224,43,0,1.0,0,4,0,15,0,4.72,3,2,6,merchant_payment
VCH_00225,48,0,1.0,1,4,0,1,1,2.55,0,6,2,wallet
VCH_00226,38,0,1.0,5,5,0,1,1,6.93,1,2,9,cash_out
VCH_00227,15,2,0.2143,0,1,1,15,0,3.62,0,3,8,wallet
VCH_00228,0,1,1.0,4,4,2,2,1,4.54,1,1,9,cash_out
VCH_00229,37,0,1.0,1,4,1,1,1,1.42,2,4,2,bank_transfer
VCH_00230,59,2,0.2143,7,5,5,1,1,2.76,1,3,5,cash_out
VCH_00231,11,2,0.2143,2,3,5,1,1,3.93,0,0,2,wallet
VCH_00232,37,3,0.2143,8,5,4,15,0,4.51,0,3,7,wallet
VCH_00233,21,2,0.2143,1,5,0,1,1,8.29,0,2,7,wallet
VCH_00234,46,2,0.2143,7,3,1,29,0,4.45,1,2,7,cash_out
VCH_00235,45,1,1.0,0,0,4,15,0,2.71,1,3,4,cash_out
VCH_00236,33,1,1.0,4,2,1,2,1,9.27,1,6,8,cash_out
VCH_00237,39,3,0.2143,0,1,0,15,0,4.16,2,5,5,bank_transfer
VCH_00238,25,3,0.2143,1,5,0,30,0,1.9,4,4,3,cash_at_till
VCH_00239,53,0,1.0,5,2,5,29,0,9.41,2,1,12,bank_transfer
VCH_00240,10,1,1.0,8,5,2,3,1,3.6,1,1,13,cash_out
VCH_00241,8,0,1.0,0,2,4,2,1,3.17,3,7,3,merchant_payment
VCH_00242,47,4,1.0,4,3,0,1,1,2.47,0,4,6,wallet
VCH_00243,36,0,1.0,12,4,5,1,1,2.73,1,0,10,cash_out
VCH_00244,10,3,0.2143,4,4,2,1,1,5.95,0,2,10,wallet
VCH_00245,50,2,0.2143,7,4,4,30,0,11.19,3,1,12,merchant_payment
VCH_00246,37,0,1.0,13,5,6,30,0,2.41,3,7,6,merchant_payment
VCH_00247,56,3,0.2143,1,5,1,2,1,2.34,0,3,2,wallet
VCH_00248,21,0,1.0,1,2,1,29,0,4.64,1,4,5,cash_out
VCH_00249,44,2,0.2143,2,1,6,1,1,3.99,3,3,2,merchant_payment
VCH_00250,18,0,1.0,12,3,5,1,1,6.88,1,3,8,cash_out
VCH_00251,44,3,0.2143,2,3,2,30,0,9.47,0,4,9,wallet
VCH_00252,53,4,1.0,2,2,6,3,1,4.25,4,5,6,cash_at_till
VCH_00253,31,0,1.0,9,3,4,1,1,4.08,2,2,6,bank_transfer
VCH_00254,47,2,0.2143,2,2,0,3,1,2.79,1,1,2,cash_out
VCH_00255,44,2,0.2143,2,1,1,2,1,2.72,1,4,2,cash_out
VCH_00256,18,0,1.0,8,3,5,3,1,5.16,0,3,6,wallet
VCH_00257,50,1,1.0,12,1,6,2,1,7.53,0,3,7,wallet
VCH_00258,35,2,0.2143,3,3,4,1,1,3.33,2,0,7,bank_transfer
VCH_00259,22,0,1.0,4,5,6,1,1,5.45,1,4,7,cash_out
VCH_00260,39,0,1.0,4,4,0,3,1,6.32,1,6,7,cash_out
VCH_00261,5,0,1.0,3,4,0,1,1,4.41,0,3,6,wallet
VCH_00262,9,0,1.0,2,4,0,2,1,9.0,0,2,10,wallet
VCH_00263,57,0,1.0,0,4,5,30,0,6.27,3,5,6,merchant_payment
VCH_00264,2,2,0.2143,5,4,5,28,0,7.07,3,3,9,merchant_payment
VCH_00265,47,1,1.0,0,2,6,1,1,4.23,1,1,4,cash_out
VCH_00266,3,3,0.2143,10,0,3,1,1,2.93,1,3,5,cash_out
VCH_00267,22,1,1.0,6,2,3,1,1,4.38,3,5,9,merchant_payment
VCH_00268,29,2,0.2143,3,5,3,3,1,3.28,0,2,5,wallet
VCH_00269,40,2,0.2143,7,1,0,16,0,6.28,0,6,9,wallet
VCH_00270,10,2,0.2143,10,5,2,1,1,7.88,0,2,8,wallet
VCH_00271,41,3,0.2143,1,4,3,2,1,1.7,1,2,8,cash_out
VCH_00272,8,0,1.0,10,5,2,1,1,3.07,1,6,6,cash_out
VCH_00273,0,2,0.2143,5,3,4,1,1,4.14,1,6,6,cash_out
VCH_00274,47,0,1.0,2,1,5,15,0,4.32,0,1,5,wallet
VCH_00275,47,2,0.2143,1,3,4,1,1,14.93,1,1,11,cash_out
VCH_00276,47,4,1.0,11,3,0,3,1,2.6,3,5,6,merchant_payment
VCH_00277,56,0,1.0,3,3,6,2,1,7.85,0,2,8,wallet
VCH_00278,5,0,1.0,11,2,1,1,1,6.07,3,2,7,merchant_payment
VCH_00279,56,2,0.2143,0,2,3,15,0,4.02,3,5,4,merchant_payment
VCH_00280,11,4,1.0,7,2,0,28,0,3.53,0,5,7,wallet
VCH_00281,12,4,1.0,9,0,6,1,1,3.6,3,2,6,merchant_payment
VCH_00282,26,1,1.0,0,1,4,1,1,3.1,2,5,2,bank_transfer
VCH_00283,35,3,0.2143,3,5,2,29,0,3.18,2,3,7,bank_transfer
VCH_00284,24,0,1.0,0,5,2,3,1,4.27,0,3,3,wallet
VCH_00285,19,1,1.0,1,4,6,28,0,3.54,0,2,6,wallet
VCH_00286,3,1,1.0,2,5,5,28,0,1.42,1,3,7,cash_out
VCH_00287,6,2,0.2143,4,5,5,1,1,3.29,1,1,6,cash_out
VCH_00288,59,0,1.0,2,0,0,3,1,3.14,2,4,2,bank_transfer
VCH_00289,18,4,1.0,1,1,5,3,1,8.44,1,1,5,cash_out
VCH_00290,23,2,0.2143,5,5,4,3,1,4.13,2,3,7,bank_transfer
VCH_00291,11,3,0.2143,6,2,6,30,0,5.2,1,1,8,cash_out
VCH_00292,5,1,1.0,6,0,3,2,1,1.36,1,1,8,cash_out
VCH_00293,41,2,0.2143,12,0,3,1,1,3.9,4,4,5,cash_at_till
VCH_00294,1,0,1.0,4,5,5,29,0,2.92,0,2,11,wallet
VCH_00295,2,0,1.0,2,5,2,28,0,4.07,4,2,5,cash_at_till
VCH_00296,22,2,0.2143,3,1,2,2,1,5.08,1,3,7,cash_out
VCH_00297,14,0,1.0,2,5,4,3,1,2.64,0,2,2,wallet
VCH_00298,21,0,1.0,1,4,5,2,1,5.1,0,0,3,wallet
VCH_00299,18,0,1.0,6,0,2,15,0,10.97,2,0,12,bank_transfer
VCH_00300,16,3,0.2143,2,0,2,1,1,5.48,1,3,4,cash_out
VCH_00301,52,3,0.2143,11,1,4,30,0,3.77,0,2,7,wallet
VCH_00302,20,3,0.2143,12,0,6,29,0,8.14,3,3,11,merchant_payment
VCH_00303,33,2,0.2143,3,1,4,1,1,4.96,4,1,6,cash_at_till
VCH_00304,38,4,1.0,4,2,1,28,0,9.41,4,4,16,cash_at_till
VCH_00305,59,0,1.0,0,1,6,29,0,4.89,0,3,9,wallet
VCH_00306,35,1,1.0,8,2,6,2,1,1.17,0,6,4,wallet
VCH_00307,1,1,1.0,10,3,5,15,0,4.65,1,2,16,cash_out
VCH_00308,16,4,1.0,2,3,4,1,1,4.18,3,2,5,merchant_payment
VCH_00309,53,0,1.0,0,5,5,2,1,3.12,3,4,5,merchant_payment
VCH_00310,33,3,0.2143,0,3,4,29,0,3.91,0,2,7,wallet
VCH_00311,1,0,1.0,1,1,1,2,1,2.54,0,4,1,wallet
VCH_00312,6,2,0.2143,3,2,2,30,0,7.63,0,4,11,wallet
VCH_00313,21,0,1.0,7,2,1,29,0,4.55,0,3,8,wallet
VCH_00314,57,0,1.0,5,0,2,15,0,1.7,0,2,10,wallet
VCH_00315,41,0,1.0,1,2,4,15,0,4.78,0,3,5,wallet
VCH_00316,46,2,0.2143,1,4,6,1,1,5.06,0,3,5,wallet
VCH_00317,53,0,1.0,13,4,4,2,1,1.0,0,2,6,wallet
VCH_00318,49,3,0.2143,7,4,6,2,1,1.26,0,5,5,wallet
VCH_00319,12,0,1.0,8,1,5,15,0,9.97,0,1,13,wallet
VCH_00320,0,0,1.0,6,3,2,1,1,5.87,0,0,8,wallet
VCH_00321,54,2,0.2143,0,2,4,30,0,2.47,0,4,8,wallet
VCH_00322,58,0,1.0,4,5,5,2,1,3.34,0,2,6,wallet
VCH_00323,17,0,1.0,8,0,3,30,0,3.75,1,1,9,cash_out
VCH_00324,40,0,1.0,1,4,4,1,1,9.89,3,4,8,merchant_payment
VCH_00325,32,2,0.2143,11,4,3,29,0,7.89,2,3,10,bank_transfer
VCH_00326,27,4,1.0,0,4,5,29,0,4.81,1,5,4,cash_out
VCH_00327,43,1,1.0,10,0,4,1,1,3.29,0,2,5,wallet
VCH_00328,58,1,1.0,12,3,4,30,0,7.36,1,1,9,cash_out
VCH_00329,51,2,0.2143,2,5,3,29,0,1.98,2,2,7,bank_transfer
VCH_00330,41,2,0.2143,12,0,6,15,0,4.43,3,3,8,merchant_payment
VCH_00331,13,1,1.0,13,2,2,28,0,5.47,0,2,13,wallet
VCH_00332,49,3,0.2143,0,1,4,30,0,3.37,1,4,5,cash_out
VCH_00333,19,0,1.0,3,3,0,30,0,5.78,3,2,15,merchant_payment
VCH_00334,36,0,1.0,4,4,2,3,1,4.29,1,3,7,cash_out
VCH_00335,53,3,0.2143,11,3,5,1,1,2.52,4,4,5,cash_at_till
VCH_00336,29,2,0.2143,0,4,5,29,0,4.31,0,6,5,wallet
