user_id,has_used_send_money,has_used_bill_pay,has_used_savings,has_used_groups,has_used_qr_pay,has_used_ussd,has_used_cashback,session_count_30d,avg_session_duration_min,channel_diversity,features_used_count,onboarding_stage,days_since_first_use,tx_count_30d,adoption_tier
USR_00054,0,0,1,0,0,0,0,26,8.73,1,1,4,322,21,Power
USR_00055,1,0,0,0,0,0,0,8,2.59,1,1,3,203,9,Active
USR_00056,1,0,0,0,1,0,0,8,4.92,1,2,3,88,8,Active
USR_00057,1,1,0,0,0,0,1,17,4.41,2,3,3,115,10,Power
USR_00058,0,0,0,0,0,1,0,15,4.0,2,1,3,481,12,Active
USR_00059,1,0,0,0,0,0,1,11,3.95,1,2,3,334,4,Active
USR_00060,1,0,1,1,0,1,0,19,5.05,3,4,4,223,11,Power
USR_00061,1,0,0,0,0,0,0,13,4.01,1,1,3,416,12,Active
USR_00062,0,0,0,0,0,0,0,2,1.12,1,0,2,90,2,Dormant
USR_00063,0,1,0,0,1,0,1,7,1.77,2,3,2,270,5,Active
USR_00064,0,0,1,0,0,0,1,13,6.03,1,2,3,345,8,Active
USR_00065,1,0,1,0,0,0,0,5,4.76,1,2,2,122,5,Basic
USR_00066,1,0,1,0,0,0,0,16,4.88,1,2,4,356,11,Active
USR_00067,0,0,0,0,0,1,0,21,9.25,2,1,4,49,13,Power
USR_00068,0,0,1,0,1,1,0,19,10.6,3,3,4,260,15,Champion
USR_00069,0,0,1,0,1,0,1,11,3.7,2,3,3,264,9,Active
USR_00070,1,1,0,0,0,1,1,21,10.26,3,4,4,437,13,Champion
USR_00071,1,0,0,1,1,1,1,17,4.79,3,5,3,26,11,Power
USR_00072,0,0,0,0,0,0,1,2,1.23,1,1,2,165,3,Basic
USR_00073,1,0,0,0,0,1,0,5,1.58,2,2,2,160,4,Basic
USR_00074,1,1,1,0,0,0,0,16,6.58,2,3,4,152,12,Power
USR_00075,1,0,0,1,0,1,0,13,3.66,3,3,3,465,8,Active
USR_00076,1,0,0,1,0,0,0,3,3.31,1,2,2,28,1,Basic
USR_00077,1,1,1,0,0,0,0,19,5.36,2,3,3,128,12,Power
USR_00078,1,0,1,0,1,0,0,10,7.11,2,3,3,223,7,Active
USR_00079,1,0,0,1,0,0,0,12,6.39,1,2,3,417,8,Active
USR_00080,1,1,1,0,0,1,0,26,11.29,3,4,4,259,17,Champion
USR_00081,0,0,0,0,0,0,0,5,1.23,1,0,2,41,4,Basic
USR_00082,1,0,0,1,0,1,0,2,8.39,3,3,2,219,4,Active
USR_00083,0,0,1,1,0,0,0,12,5.29,1,2,3,59,7,Active
USR_00084,0,1,1,0,0,0,0,5,2.15,1,2,2,259,3,Basic
USR_00085,1,1,1,0,0,0,1,24,6.6,2,4,4,276,15,Champion
USR_00086,0,0,1,0,0,1,1,14,5.38,3,3,3,414,13,Power
USR_00087,0,0,0,0,1,0,0,4,3.88,1,1,2,85,2,Basic
USR_00088,1,0,1,0,0,0,0,15,4.3,1,2,3,381,9,Active
USR_00089,0,0,0,1,0,1,0,15,3.73,2,2,3,138,11,Active
USR_00090,1,1,0,1,0,0,1,21,8.49,2,4,4,215,19,Champion
USR_00091,0,1,0,0,0,0,0,4,1.24,1,1,2,23,3,Basic
USR_00092,0,1,1,1,0,0,1,24,6.86,2,4,4,442,16,Champion
USR_00093,1,1,1,0,0,1,0,12,6.7,3,4,3,336,10,Power
USR_00094,1,1,1,1,0,0,0,13,4.31,2,4,3,447,8,Active
USR_00095,1,0,0,1,0,0,0,10,8.19,1,2,3,449,7,Active
USR_00096,0,1,0,0,0,1,0,6,4.97,2,2,3,8,7,Active
USR_00097,1,0,0,0,1,1,0,15,5.65,3,3,3,188,11,Power
USR_00098,0,0,0,0,0,0,0,10,3.12,1,0,3,12,7,Active
USR_00099,0,1,1,0,0,0,0,16,13.03,1,2,3,474,10,Power
USR_00100,1,1,1,0,0,1,0,24,16.21,3,4,4,293,17,Champion
USR_00101,1,0,0,0,0,0,0,5,4.25,1,1,2,390,5,Basic
USR_00102,1,0,0,0,0,0,0,13,8.87,1,1,3,175,10,Active
USR_00103,1,1,1,0,1,1,1,28,7.78,3,6,4,379,18,Champion
USR_00104,1,0,0,1,0,1,1,17,7.02,3,4,3,163,15,Power
USR_00105,0,0,0,1,0,0,0,17,8.18,1,1,4,105,11,Power
USR_00106,0,1,1,0,0,0,1,11,3.28,2,3,3,15,7,Active
USR_00107,1,0,0,0,0,0,0,10,2.38,1,1,3,493,5,Active
USR_00108,0,0,0,0,0,1,1,13,4.22,2,2,3,327,8,Active
USR_00109,1,0,0,1,1,0,1,25,8.1,2,4,4,29,20,Champion
USR_00110,0,1,0,0,0,0,0,15,9.4,1,1,3,275,11,Active
USR_00111,0,0,1,0,0,0,0,7,2.87,1,1,2,378,3,Basic
USR_00112,1,0,1,0,0,1,0,27,7.94,3,3,4,458,14,Champion
USR_00113,1,0,0,0,0,0,1,12,3.47,1,2,3,340,9,Active
USR_00114,0,0,1,1,0,0,0,11,6.08,1,2,3,462,7,Active
USR_00115,0,0,0,0,0,0,0,11,2.99,1,0,3,312,10,Active
USR_00116,0,1,0,0,1,1,0,10,4.64,3,3,3,368,5,Active
USR_00117,1,0,0,1,1,0,0,13,7.39,2,3,3,37,10,Power
USR_00118,1,0,1,0,1,1,1,20,6.0,3,5,4,32,16,Champion
USR_00119,0,0,0,0,1,0,0,13,3.56,1,1,3,491,8,Active
USR_00120,1,1,0,1,1,0,0,10,3.25,2,4,3,257,6,Active
USR_00121,1,1,1,0,0,1,0,12,3.96,3,4,3,113,9,Power
USR_00122,0,0,0,0,0,0,0,4,1.34,1,0,2,168,2,Basic
USR_00123,0,1,0,0,0,0,0,9,2.79,1,1,3,203,9,Active
USR_00124,0,1,0,0,0,0,0,7,2.61,1,1,3,468,11,Active
USR_00125,0,0,0,1,0,0,0,24,5.61,1,1,4,241,16,Power
USR_00126,1,0,0,0,0,0,1,10,3.58,1,2,3,192,8,Active
USR_00127,1,0,0,1,0,1,0,17,4.45,3,3,4,150,11,Power
USR_00128,1,0,0,0,1,1,0,14,10.31,3,3,3,148,8,Power
USR_00129,1,1,0,0,1,0,0,9,6.78,2,3,3,164,5,Active
USR_00130,1,1,0,1,0,0,0,8,3.14,2,3,2,407,4,Active
USR_00131,1,1,0,0,0,0,0,21,5.25,1,2,4,478,18,Power
USR_00132,0,1,1,0,1,0,0,18,4.73,2,3,3,318,13,Power
USR_00133,1,0,0,0,1,1,0,6,2.31,3,3,2,54,7,Active
USR_00134,0,1,0,1,1,0,1,15,4.65,2,4,4,414,10,Power
USR_00135,0,1,0,0,0,0,0,8,2.98,1,1,2,249,4,Basic
USR_00136,1,0,0,0,1,0,0,9,2.68,1,2,2,174,5,Basic
USR_00137,1,0,0,0,0,0,0,16,4.78,1,1,4,408,12,Active
USR_00138,1,0,0,0,1,0,0,17,8.17,1,2,4,190,12,Power
USR_00139,0,0,0,0,0,0,0,18,5.75,1,0,4,493,12,Active
USR_00140,0,0,0,0,0,1,0,7,3.36,2,1,3,119,5,Active
USR_00141,1,0,0,0,1,0,1,21,6.76,2,3,4,365,14,Power
USR_00142,1,0,0,0,1,1,0,28,7.41,3,3,4,128,17,Champion
USR_00143,0,0,1,0,0,1,1,9,7.84,3,3,3,418,8,Active
USR_00144,1,0,0,0,0,1,0,15,7.54,2,2,3,449,12,Power
USR_00145,1,0,1,0,0,0,0,16,8.34,1,2,4,237,15,Power
USR_00146,1,0,0,1,0,0,1,10,6.9,2,3,3,326,5,Active
USR_00147,0,0,0,0,0,1,1,15,3.43,2,2,3,409,9,Active
USR_00148,1,0,0,0,0,0,1,10,5.07,1,2,3,146,9,Active
USR_00149,0,0,0,0,0,0,0,6,2.27,1,0,2,349,3,Basic
USR_00150,1,0,1,0,0,0,0,9,5.07,1,2,3,394,8,Active
USR_00151,0,1,0,0,0,0,0,17,6.91,1,1,4,302,13,Power
USR_00152,1,0,1,0,0,0,1,8,3.15,2,3,3,183,6,Active
USR_00153,0,0,0,0,1,0,0,10,7.06,1,1,3,124,6,Active
USR_00154,0,0,0,0,0,0,0,16,4.97,1,0,3,27,9,Active
USR_00155,1,0,1,0,0,0,0,8,1.95,1,2,2,387,5,Basic
USR_00156,0,1,1,0,1,0,1,17,4.58,2,4,4,130,12,Power
USR_00157,1,0,0,1,0,1,0,15,7.28,3,3,3,393,12,Power
USR_00158,0,1,1,1,1,0,0,12,4.48,2,4,3,466,8,Active
USR_00159,1,0,0,0,1,0,1,10,3.38,2,3,2,174,3,Active
USR_00160,1,0,1,1,1,0,0,13,4.01,2,4,3,47,13,Power
USR_00161,0,0,0,0,1,1,0,14,7.85,2,2,3,359,9,Active
USR_00162,0,1,0,1,0,1,0,21,7.96,3,3,4,353,15,Power
USR_00163,1,0,0,0,0,0,0,21,7.93,1,1,4,375,14,Power
USR_00164,1,0,1,0,1,0,0,15,3.48,2,3,3,402,8,Active
USR_00165,1,1,1,0,0,0,1,28,8.32,2,4,4,148,18,Champion
USR_00166,0,0,0,0,0,0,0,10,3.88,1,0,3,415,9,Active
USR_00167,1,1,0,0,1,0,1,16,4.02,2,4,3,294,8,Active
USR_00168,1,1,1,1,0,0,1,27,8.52,2,5,4,26,16,Champion
USR_00169,1,1,0,0,0,0,1,6,7.46,2,3,3,308,7,Active
USR_00170,1,1,0,0,1,1,1,12,3.1,3,5,3,213,8,Power
USR_00171,0,0,1,1,0,0,0,20,4.77,1,2,4,412,12,Power
USR_00172,1,0,0,0,0,1,0,10,8.14,2,2,3,196,6,Active
USR_00173,1,1,0,0,0,0,0,21,6.74,1,2,4,11,11,Power
USR_00174,0,0,0,0,1,1,0,6,3.51,2,2,2,302,7,Active
USR_00175,0,0,0,0,0,0,1,6,4.86,1,1,2,300,6,Basic
USR_00176,0,0,0,0,0,0,0,3,2.39,1,0,2,201,5,Basic
USR_00177,1,0,1,0,1,1,0,19,5.27,3,4,4,49,14,Power
USR_00178,1,0,0,0,0,0,1,8,4.66,1,2,3,256,6,Active
USR_00179,1,0,1,0,1,0,0,12,4.28,2,3,3,379,6,Active
USR_00180,1,1,0,1,0,0,0,19,6.49,2,3,4,254,15,Power
USR_00181,1,1,0,0,1,0,0,15,5.06,2,3,3,302,9,Active
USR_00182,0,1,0,1,0,0,0,15,6.73,1,2,3,474,9,Active
USR_00183,1,1,1,0,0,0,0,17,4.97,2,3,4,464,13,Power
USR_00184,0,1,0,0,0,0,1,5,1.59,1,2,2,442,2,Basic
USR_00185,1,0,1,0,0,0,1,18,5.24,2,3,4,432,12,Power
USR_00186,1,1,0,0,0,1,0,21,5.2,3,3,4,404,13,Power
USR_00187,0,1,1,0,0,0,1,25,7.31,2,3,4,55,19,Champion
USR_00188,1,1,0,0,0,1,0,15,3.52,3,3,3,145,13,Power
USR_00189,1,1,0,0,0,1,1,15,4.37,3,4,3,340,9,Power
USR_00190,1,0,0,1,0,0,0,10,2.8,1,2,3,179,6,Active
USR_00191,1,0,1,0,0,1,1,22,4.6,3,4,4,425,12,Power
USR_00192,1,0,0,1,1,1,0,16,4.8,3,4,4,325,13,Power
USR_00193,0,1,1,0,0,1,0,15,4.14,3,3,3,47,11,Power
USR_00194,0,1,0,0,0,1,0,5,1.27,2,2,2,329,5,Basic
USR_00195,1,0,1,1,1,0,1,27,10.79,2,5,4,458,19,Champion
USR_00196,1,1,1,0,0,0,1,25,7.72,2,4,4,19,17,Champion
USR_00197,0,0,0,1,1,1,1,12,4.33,3,4,3,437,8,Power
USR_00198,1,0,0,0,1,0,0,15,4.06,1,2,3,63,9,Active
USR_00199,1,0,1,0,1,1,1,23,9.78,3,5,4,65,17,Champion
USR_00200,0,1,1,0,0,0,0,8,2.5,1,2,2,250,6,Basic
USR_00201,0,1,1,0,0,0,0,11,1.98,1,2,3,231,4,Active
USR_00202,1,0,1,0,1,0,1,26,8.6,2,4,4,367,16,Champion
USR_00203,1,0,0,0,0,0,0,4,1.83,1,1,2,152,3,Basic
USR_00204,1,0,0,0,1,0,0,20,14.78,1,2,4,492,15,Power
USR_00205,1,0,1,1,0,0,0,5,1.63,2,3,2,154,4,Basic
USR_00206,1,1,1,0,0,0,0,2,3.13,2,3,2,172,2,Basic
USR_00207,1,0,0,1,0,1,0,6,2.67,3,3,2,245,3,Active
USR_00208,1,1,1,0,1,1,1,13,3.49,3,6,3,184,9,Power
USR_00209,0,0,1,0,1,1,0,19,5.32,3,3,4,460,14,Power
USR_00210,1,1,0,0,1,0,1,22,5.01,2,4,4,242,16,Power
USR_00211,1,0,0,0,0,0,0,11,8.02,1,1,3,138,8,Active
USR_00212,0,0,0,0,0,0,0,3,1.73,1,0,2,49,2,Dormant
USR_00213,0,1,0,0,0,0,0,7,3.18,1,1,3,482,4,Basic
USR_00214,0,0,0,0,0,0,0,11,6.11,1,0,3,36,6,Active
USR_00215,1,1,0,0,0,0,0,16,4.47,1,2,4,112,11,Active
USR_00216,1,0,0,0,0,1,0,6,2.86,2,2,2,132,3,Basic
USR_00217,0,1,0,0,0,0,0,8,1.85,1,1,3,352,4,Basic
USR_00218,1,0,1,0,0,0,1,21,11.17,2,3,4,94,14,Power
USR_00219,1,0,0,0,0,0,1,3,14.31,1,2,2,433,6,Active
USR_00220,1,0,1,0,1,1,1,20,5.03,3,5,4,301,13,Power
USR_00221,1,0,1,0,1,0,0,6,1.78,2,3,2,440,7,Active
USR_00222,1,0,0,0,0,1,1,13,5.3,3,3,3,337,8,Active
USR_00223,0,0,0,0,0,0,0,14,7.19,1,0,3,159,12,Active
USR_00224,0,0,0,0,0,0,0,4,12.89,1,0,2,81,3,Basic
USR_00225,1,1,0,1,1,1,1,26,10.48,3,6,4,12,19,Champion
USR_00226,1,0,1,0,0,0,0,20,6.17,1,2,4,358,12,Power
USR_00227,1,0,0,0,0,1,0,20,6.56,2,2,4,213,13,Power
USR_00228,1,1,1,1,0,0,0,21,10.22,2,4,4,310,18,Champion
USR_00229,0,1,0,0,0,0,0,10,6.54,1,1,3,284,8,Active
USR_00230,1,1,1,0,0,0,1,19,7.6,2,4,4,331,13,Power
USR_00231,0,0,0,0,0,0,0,14,6.28,1,0,3,495,12,Active
USR_00232,1,1,0,0,0,1,1,16,3.96,3,4,3,384,12,Power
USR_00233,1,0,0,0,0,0,1,6,1.36,1,2,2,81,1,Basic
USR_00234,1,0,1,0,0,0,1,6,1.44,2,3,2,276,7,Active
USR_00235,0,1,1,0,1,0,1,13,6.05,2,4,3,355,10,Power
USR_00236,0,0,0,0,0,0,0,16,6.12,1,0,3,48,10,Active
USR_00237,0,0,0,0,0,0,0,9,5.89,1,0,3,48,9,Active
USR_00238,1,0,0,0,0,1,1,14,4.22,3,3,3,7,10,Power
USR_00239,0,0,0,0,0,0,0,16,5.24,1,0,3,498,12,Active
USR_00240,1,1,0,1,0,1,0,21,6.8,3,4,4,268,16,Champion
USR_00241,1,0,1,0,0,1,0,18,6.85,3,3,4,207,13,Power
USR_00242,0,0,0,0,0,0,0,11,11.52,1,0,3,150,7,Active
USR_00243,1,1,1,0,1,0,0,21,6.25,2,4,4,143,12,Power
USR_00244,0,0,0,0,0,0,0,9,5.66,1,0,3,367,7,Active
USR_00245,0,0,0,0,0,0,0,11,7.53,1,0,3,143,6,Active
USR_00246,0,1,1,0,0,0,0,8,5.05,1,2,3,159,8,Active
USR_00247,1,0,0,1,0,0,0,12,3.36,1,2,3,229,8,Active
USR_00248,1,0,0,1,0,0,0,6,2.43,1,2,2,464,4,Basic
USR_00249,0,0,1,0,0,0,1,15,9.49,1,2,3,430,8,Active
USR_00250,0,1,1,0,0,1,0,17,4.77,3,3,4,33,10,Power
USR_00251,0,0,1,0,0,0,0,12,5.31,1,1,3,324,8,Active
USR_00252,0,1,0,0,0,1,1,13,9.33,3,3,3,439,12,Power
USR_00253,0,1,0,0,1,1,0,6,3.93,3,3,2,428,2,Active
USR_00254,1,1,0,1,1,0,1,16,4.68,2,5,3,93,9,Power
USR_00255,1,0,0,0,0,1,0,22,7.34,2,2,4,306,15,Power
USR_00256,1,0,1,0,1,1,1,15,4.66,3,5,3,396,12,Power
USR_00257,1,0,0,0,0,0,0,15,6.5,1,1,4,269,12,Active
USR_00258,0,0,0,1,0,0,0,6,2.03,1,1,3,202,4,Basic
USR_00259,0,0,0,0,0,0,0,10,7.56,1,0,3,464,7,Active
USR_00260,1,0,0,0,0,0,1,15,11.06,1,2,3,155,11,Power
USR_00261,1,0,0,0,1,0,0,8,4.46,1,2,2,213,3,Basic
USR_00262,0,0,0,0,1,0,1,11,3.05,1,2,3,380,7,Active
USR_00263,1,0,1,0,0,0,0,9,4.08,1,2,3,266,7,Active
USR_00264,0,0,1,0,1,1,1,17,4.68,3,4,3,400,10,Power
USR_00265,1,0,1,0,0,1,1,18,5.03,3,4,4,220,12,Power
USR_00266,0,0,0,1,0,1,1,17,5.47,3,3,3,165,14,Power
USR_00267,1,1,0,0,0,0,0,14,4.08,1,2,3,254,8,Active
USR_00268,0,1,0,0,0,0,0,17,5.86,1,1,3,459,12,Active
USR_00269,0,1,0,0,1,0,0,20,6.92,1,2,4,233,13,Power
USR_00270,0,0,0,0,0,1,1,23,6.39,2,2,4,464,17,Power
USR_00271,0,1,0,0,0,0,0,19,10.67,1,1,4,141,14,Power
USR_00272,1,0,0,0,0,1,0,8,2.93,2,2,3,249,6,Active
USR_00273,1,1,1,1,0,0,1,25,6.89,2,5,4,430,18,Champion
USR_00274,0,0,0,0,0,1,0,8,5.6,2,1,2,92,5,Active
USR_00275,1,0,1,1,0,0,0,12,4.03,2,3,3,213,8,Active
USR_00276,0,0,0,0,1,0,0,6,2.38,1,1,2,231,2,Basic
USR_00277,0,0,0,0,0,1,0,5,2.69,2,1,2,299,7,Basic
USR_00278,1,0,1,1,1,1,0,21,6.25,3,5,4,195,14,Champion
USR_00279,0,0,1,0,0,0,0,13,3.64,1,1,3,150,10,Active
USR_00280,1,0,0,0,0,0,0,6,2.57,1,1,2,245,6,Basic
USR_00281,1,0,0,0,0,1,0,14,4.09,2,2,3,290,11,Active
USR_00282,1,0,0,0,0,1,0,21,5.27,2,2,4,407,14,Power
USR_00283,0,0,0,0,0,1,0,9,1.75,2,1,2,177,4,Basic
USR_00284,0,0,1,0,0,1,0,6,1.9,2,2,2,128,3,Basic
USR_00285,0,0,0,0,0,0,1,10,4.49,1,1,3,361,7,Active
USR_00286,1,0,1,1,0,1,0,18,6.35,3,4,3,336,9,Power
USR_00287,1,1,1,0,0,0,0,17,4.13,2,3,4,217,11,Power
USR_00288,1,1,0,0,1,1,1,22,7.29,3,5,4,157,13,Champion
USR_00289,1,0,0,0,0,0,0,25,11.26,1,1,4,235,19,Power
USR_00290,0,0,0,0,0,0,0,4,7.51,1,0,2,474,6,Basic
USR_00291,1,0,0,0,1,0,1,13,4.08,2,3,3,230,8,Active
USR_00292,0,1,0,1,0,1,0,17,4.71,3,3,4,302,11,Power
USR_00293,0,1,0,0,0,0,0,20,4.5,1,1,4,111,14,Power
USR_00294,1,0,0,1,0,0,0,9,6.14,1,2,2,196,4,Basic
USR_00295,1,1,1,0,0,0,0,22,6.03,2,3,4,306,17,Power
USR_00296,1,1,0,0,0,0,1,24,10.29,2,3,4,317,14,Champion
USR_00297,1,1,0,0,0,0,1,13,3.84,2,3,3,139,12,Active
USR_00298,1,0,0,1,1,0,1,22,5.62,2,4,4,27,13,Power
USR_00299,1,0,0,0,0,0,0,7,3.4,1,1,2,104,5,Basic
USR_00300,1,0,0,1,1,0,0,12,3.22,2,3,3,182,9,Active
USR_00301,1,1,0,0,0,0,0,11,2.8,1,2,2,299,3,Basic
USR_00302,0,1,0,0,0,0,0,8,3.26,1,1,3,402,12,Active
USR_00303,0,0,0,0,0,0,0,4,3.18,1,0,2,116,6,Basic
USR_00304,1,0,1,0,0,0,0,10,4.26,1,2,3,14,8,Active
USR_00305,0,0,0,0,0,1,0,3,1.85,2,1,2,118,4,Basic
USR_00306,1,0,1,1,0,0,0,11,3.33,2,3,3,222,9,Active
USR_00307,1,1,1,0,1,1,0,14,7.03,3,5,3,14,11,Power
USR_00308,1,0,1,0,0,0,1,20,14.53,2,3,4,156,14,Champion
USR_00309,0,1,1,0,0,0,0,24,6.91,1,2,4,439,16,Power
USR_00310,1,0,1,0,0,0,0,12,3.09,1,2,3,351,9,Active
USR_00311,1,0,0,0,1,0,0,25,6.82,1,2,4,201,17,Power
USR_00312,0,1,1,1,0,0,0,6,3.27,2,3,2,59,4,Active
USR_00313,0,0,0,0,0,0,0,12,3.24,1,0,3,221,8,Active
USR_00314,1,0,1,0,0,0,0,17,4.27,1,2,3,343,11,Active
USR_00315,0,0,0,0,0,0,0,7,3.34,1,0,2,309,5,Basic
USR_00316,0,1,0,0,1,0,1,6,2.96,2,3,2,91,6,Active
USR_00317,0,0,0,1,0,0,0,8,6.13,1,1,3,40,5,Active
USR_00318,0,0,0,0,1,0,0,12,3.63,1,1,3,376,8,Active
USR_00319,0,0,0,0,0,1,0,8,10.84,2,1,3,279,8,Active
USR_00320,1,1,0,0,0,0,0,8,6.64,1,2,3,114,7,Active
USR_00321,1,1,1,1,0,0,1,26,8.71,2,5,4,446,15,Champion
USR_00322,1,1,0,0,0,1,0,7,3.87,3,3,3,240,6,Active
USR_00323,1,1,0,0,1,1,0,3,2.11,3,4,2,228,4,Active
USR_00324,1,0,1,0,1,0,0,14,4.41,2,3,3,495,12,Power
USR_00325,0,0,1,0,1,0,0,15,8.59,1,2,3,440,12,Active
USR_00326,1,0,0,0,0,1,0,14,9.04,2,2,3,492,9,Power
USR_00327,0,0,0,0,1,0,1,9,1.73,1,2,3,178,8,Active
USR_00328,0,0,0,0,0,0,0,7,1.2,1,0,2,70,3,Basic
USR_00329,0,0,0,1,0,0,0,22,8.51,1,1,4,417,13,Power
USR_00330,1,0,1,0,1,0,0,12,2.55,2,3,3,465,11,Active
USR_00331,1,0,0,0,0,0,1,14,6.0,1,2,3,439,14,Active
USR_00332,1,0,1,0,1,0,1,24,6.85,2,4,4,348,16,Champion
USR_00333,0,0,0,0,0,0,0,16,5.58,1,0,3,202,10,Active
USR_00334,1,0,0,1,0,0,0,19,6.37,1,2,4,56,14,Power
USR_00335,0,0,0,0,1,0,0,13,3.86,1,1,3,323,9,Active
USR_00336,1,1,0,1,0,0,0,19,4.64,2,3,3,322,10,Power
USR_00337,1,0,0,0,0,1,1,9,3.35,3,3,3,392,10,Active
USR_00338,1,0,0,0,0,0,0,3,0.54,1,1,2,360,3,Basic
USR_00339,0,0,0,0,1,0,0,16,3.27,1,1,3,259,9,Active
USR_00340,0,1,0,0,1,0,0,22,9.82,1,2,4,104,18,Power
USR_00341,0,0,0,0,0,0,0,5,2.98,1,0,2,442,4,Basic
USR_00342,1,0,1,0,0,1,0,19,5.42,3,3,4,371,11,Power
USR_00343,1,0,0,1,0,0,0,6,1.26,1,2,2,159,3,Basic
USR_00344,1,1,1,1,0,1,0,17,5.6,3,5,3,466,12,Power
USR_00345,1,0,0,0,0,1,0,18,5.76,2,2,4,327,13,Power
USR_00346,0,0,0,0,0,0,0,5,2.39,1,0,2,445,3,Basic
USR_00347,1,0,0,0,1,0,0,6,5.51,1,2,2,349,3,Basic
USR_00348,1,0,0,0,1,0,0,13,4.52,1,2,3,476,9,Active
USR_00349,1,1,1,1,0,0,0,20,6.54,2,4,4,107,15,Power
